Season,Date
2012/13,17/08/2012
2012/13,17/08/2012
2012/13,18/08/2012
2012/13,18/08/2012
2012/13,18/08/2012
2012/13,19/08/2012
2012/13,19/08/2012
2012/13,20/08/2012
2012/13,24/08/2012
2012/13,24/08/2012
2012/13,25/08/2012
2012/13,25/08/2012
2012/13,25/08/2012
2012/13,26/08/2012
2012/13,26/08/2012
2012/13,27/08/2012
2012/13,31/08/2012
2012/13,31/08/2012
2012/13,01/09/2012
2012/13,01/09/2012
2012/13,01/09/2012
2012/13,02/09/2012
2012/13,02/09/2012
2012/13,03/09/2012
2012/13,14/09/2012
2012/13,14/09/2012
2012/13,15/09/2012
2012/13,15/09/2012
2012/13,15/09/2012
2012/13,16/09/2012
2012/13,16/09/2012
2012/13,17/09/2012
2012/13,21/09/2012
2012/13,21/09/2012
2012/13,22/09/2012
2012/13,22/09/2012
2012/13,22/09/2012
2012/13,23/09/2012
2012/13,23/09/2012
2012/13,24/09/2012
2012/13,28/09/2012
2012/13,28/09/2012
2012/13,29/09/2012
2012/13,29/09/2012
2012/13,29/09/2012
2012/13,30/09/2012
2012/13,30/09/2012
2012/13,01/10/2012
2012/13,05/10/2012
2012/13,05/10/2012
2012/13,06/10/2012
2012/13,06/10/2012
2012/13,06/10/2012
2012/13,07/10/2012
2012/13,07/10/2012
2012/13,08/10/2012
2012/13,19/10/2012
2012/13,19/10/2012
2012/13,20/10/2012
2012/13,20/10/2012
2012/13,20/10/2012
2012/13,21/10/2012
2012/13,21/10/2012
2012/13,22/10/2012
2012/13,26/10/2012
2012/13,26/10/2012
2012/13,27/10/2012
2012/13,27/10/2012
2012/13,27/10/2012
2012/13,28/10/2012
2012/13,28/10/2012
2012/13,29/10/2012
2012/13,02/11/2012
2012/13,02/11/2012
2012/13,03/11/2012
2012/13,03/11/2012
2012/13,03/11/2012
2012/13,04/11/2012
2012/13,04/11/2012
2012/13,05/11/2012
2012/13,09/11/2012
2012/13,09/11/2012
2012/13,10/11/2012
2012/13,10/11/2012
2012/13,10/11/2012
2012/13,11/11/2012
2012/13,11/11/2012
2012/13,12/11/2012
2012/13,16/11/2012
2012/13,16/11/2012
2012/13,17/11/2012
2012/13,17/11/2012
2012/13,17/11/2012
2012/13,18/11/2012
2012/13,18/11/2012
2012/13,19/11/2012
2012/13,23/11/2012
2012/13,23/11/2012
2012/13,24/11/2012
2012/13,24/11/2012
2012/13,24/11/2012
2012/13,25/11/2012
2012/13,25/11/2012
2012/13,26/11/2012
2012/13,30/11/2012
2012/13,30/11/2012
2012/13,01/12/2012
2012/13,01/12/2012
2012/13,01/12/2012
2012/13,02/12/2012
2012/13,02/12/2012
2012/13,03/12/2012
2012/13,07/12/2012
2012/13,07/12/2012
2012/13,08/12/2012
2012/13,08/12/2012
2012/13,08/12/2012
2012/13,09/12/2012
2012/13,09/12/2012
2012/13,10/12/2012
2012/13,22/02/2013
2012/13,22/02/2013
2012/13,23/02/2013
2012/13,23/02/2013
2012/13,23/02/2013
2012/13,24/02/2013
2012/13,24/02/2013
2012/13,25/02/2013
2012/13,01/03/2013
2012/13,01/03/2013
2012/13,02/03/2013
2012/13,02/03/2013
2012/13,02/03/2013
2012/13,03/03/2013
2012/13,03/03/2013
2012/13,04/03/2013
2012/13,08/03/2013
2012/13,08/03/2013
2012/13,09/03/2013
2012/13,09/03/2013
2012/13,09/03/2013
2012/13,10/03/2013
2012/13,10/03/2013
2012/13,11/03/2013
2012/13,15/03/2013
2012/13,15/03/2013
2012/13,16/03/2013
2012/13,16/03/2013
2012/13,16/03/2013
2012/13,17/03/2013
2012/13,17/03/2013
2012/13,18/03/2013
2012/13,28/03/2013
2012/13,28/03/2013
2012/13,30/03/2013
2012/13,30/03/2013
2012/13,30/03/2013
2012/13,01/04/2013
2012/13,01/04/2013
2012/13,01/04/2013
2012/13,05/04/2013
2012/13,05/04/2013
2012/13,06/04/2013
2012/13,06/04/2013
2012/13,06/04/2013
2012/13,07/04/2013
2012/13,07/04/2013
2012/13,08/04/2013
2012/13,12/04/2013
2012/13,12/04/2013
2012/13,13/04/2013
2012/13,13/04/2013
2012/13,13/04/2013
2012/13,14/04/2013
2012/13,14/04/2013
2012/13,15/04/2013
2012/13,19/04/2013
2012/13,19/04/2013
2012/13,20/04/2013
2012/13,20/04/2013
2012/13,20/04/2013
2012/13,21/04/2013
2012/13,21/04/2013
2012/13,22/04/2013
2012/13,26/04/2013
2012/13,26/04/2013
2012/13,27/04/2013
2012/13,27/04/2013
2012/13,27/04/2013
2012/13,28/04/2013
2012/13,28/04/2013
2012/13,29/04/2013
2012/13,03/05/2013
2012/13,03/05/2013
2012/13,04/05/2013
2012/13,04/05/2013
2012/13,04/05/2013
2012/13,05/05/2013
2012/13,05/05/2013
2012/13,06/05/2013
2012/13,10/05/2013
2012/13,10/05/2013
2012/13,11/05/2013
2012/13,11/05/2013
2012/13,11/05/2013
2012/13,12/05/2013
2012/13,12/05/2013
2012/13,13/05/2013
2012/13,17/05/2013
2012/13,17/05/2013
2012/13,18/05/2013
2012/13,18/05/2013
2012/13,18/05/2013
2012/13,19/05/2013
