Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,11/08/2017,Den Haag,Utrecht,0.0,3.0,A,0.0,1.0,A,3.6,3.4,2.05,3.9,3.6,1.95,3.6,3.2,2.1,2017/18,€23.63m,€46.63m,3.8,3.5,2.0,17.0,16.0,6.0,8.0,11.0,12.0,8.0,5.0,2.0,1.0,0.0,0.0
N1,12/08/2017,Heracles,Ajax,2.0,1.0,H,0.0,0.0,D,7.0,4.33,1.44,7.25,4.75,1.42,7.0,4.33,1.4,2017/18,€22.25m,€251.00m,7.5,4.75,1.4,14.0,29.0,8.0,11.0,15.0,16.0,3.0,8.0,1.0,1.0,0.0,0.0
N1,12/08/2017,PSV Eindhoven,AZ Alkmaar,3.0,2.0,H,1.0,1.0,D,1.4,4.75,7.0,1.44,4.6,7.25,1.44,4.6,7.5,2017/18,€174.45m,€70.68m,1.4,5.0,7.0,25.0,15.0,9.0,8.0,10.0,16.0,10.0,7.0,0.0,3.0,0.0,0.0
N1,12/08/2017,Vitesse,NAC Breda,4.0,1.0,H,3.0,0.0,H,1.53,4.2,5.75,1.55,4.25,5.75,1.53,4.0,5.5,2017/18,€39.78m,€17.15m,1.53,4.3,6.0,16.0,5.0,6.0,4.0,7.0,12.0,9.0,3.0,0.0,1.0,0.0,0.0
N1,12/08/2017,VVV Venlo,Sparta Rotterdam,3.0,0.0,H,1.0,0.0,H,2.25,3.3,3.2,2.1,3.5,3.5,2.1,3.25,3.3,2017/18,€13.58m,€15.45m,2.1,3.5,3.5,12.0,8.0,6.0,2.0,15.0,15.0,3.0,5.0,0.0,1.0,0.0,1.0
N1,13/08/2017,Feyenoord,Twente,2.0,1.0,H,1.0,1.0,D,1.25,5.5,12.0,1.26,5.75,12.0,1.22,5.75,13.0,2017/18,€104.20m,€22.15m,1.22,6.25,13.0,15.0,7.0,7.0,3.0,10.0,24.0,4.0,1.0,2.0,4.0,0.0,0.0
N1,13/08/2017,Groningen,Heerenveen,3.0,3.0,D,0.0,2.0,A,2.2,3.5,3.1,2.15,3.7,3.2,2.15,3.5,3.0,2017/18,€30.30m,€39.13m,2.25,3.5,3.13,16.0,19.0,5.0,8.0,11.0,15.0,6.0,6.0,1.0,2.0,0.0,0.0
N1,13/08/2017,Willem II,Excelsior,1.0,2.0,A,0.0,1.0,A,2.05,3.5,3.4,2.0,3.4,3.9,2.0,3.3,3.5,2017/18,€18.65m,€14.80m,2.05,3.5,3.6,9.0,9.0,2.0,3.0,7.0,13.0,8.0,1.0,3.0,3.0,0.0,0.0
N1,13/08/2017,Zwolle,Roda,4.0,2.0,H,1.0,1.0,D,1.85,3.6,4.0,1.85,3.6,4.33,1.8,3.5,4.0,2017/18,€26.33m,€13.28m,1.83,3.6,4.4,29.0,10.0,10.0,6.0,8.0,9.0,7.0,2.0,0.0,1.0,0.0,0.0
N1,18/08/2017,Roda,Vitesse,1.0,3.0,A,0.0,1.0,A,3.6,3.75,1.91,4.1,3.9,1.83,4.0,3.5,1.87,2017/18,€13.28m,€39.78m,4.1,3.8,1.85,15.0,10.0,4.0,4.0,17.0,14.0,5.0,9.0,1.0,2.0,0.0,0.0
