Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,PSH,PSD,PSA,B365CH,B365CD,B365CA
G1,24/08/2019,Lamia,Panathinaikos,D,3.75,3.5,1.95,3.6,3.3,2.0,4.0,3.2,2.0,4.0,3.1,2.0,2019/20,€7.88m,€20.25m,4.21,3.19,2.05,3.75,3.4,2.0
G1,24/08/2019,Aris,OFI Crete,D,1.45,4.0,8.0,1.45,3.7,8.0,1.5,3.85,7.5,1.47,3.75,8.5,2019/20,€11.73m,€9.78m,1.47,3.93,8.99,1.4,4.2,9.5
G1,24/08/2019,Olympiakos,Asteras Tripolis,H,1.18,6.5,15.0,1.25,5.25,11.5,1.25,5.5,12.0,1.2,5.8,15.0,2019/20,€82.58m,€11.20m,1.23,6.17,13.45,1.22,5.5,15.0
G1,25/08/2019,Atromitos,Larisa,D,1.66,3.5,5.5,1.65,3.4,5.5,1.67,3.45,5.8,1.65,3.4,6.0,2019/20,€12.75m,€13.43m,1.66,3.51,6.38,1.66,3.5,5.5
G1,25/08/2019,Panionios,Volos NFC,A,2.3,3.1,3.2,2.45,2.95,3.0,2.45,2.95,3.1,2.35,3.0,3.2,2019/20,€7.13m,€8.40m,2.41,3.14,3.26,1.9,3.3,4.0
G1,25/08/2019,PAOK,Panetolikos,H,1.14,7.5,19.0,1.19,5.75,15.0,1.2,6.1,14.0,1.17,6.5,17.0,2019/20,€53.55m,€8.85m,1.18,6.81,19.06,1.14,7.0,19.0
G1,25/08/2019,AEK,Xanthi,A,1.4,4.5,8.0,1.34,4.25,10.0,1.35,4.35,10.5,1.32,4.33,12.0,2019/20,€30.53m,€9.38m,1.34,4.53,12.58,1.28,5.0,13.0
G1,31/08/2019,Panetolikos,Xanthi,A,2.15,3.1,3.6,2.15,3.0,3.6,2.15,3.05,3.65,2.1,3.0,3.8,2019/20,€8.85m,€9.38m,2.18,3.0,4.02,2.15,3.1,3.6
G1,31/08/2019,Panathinaikos,OFI Crete,A,1.53,3.6,7.5,1.53,3.7,6.5,1.57,3.8,6.1,1.52,3.9,6.5,2019/20,€20.25m,€9.78m,1.54,4.05,6.59,1.5,3.75,7.5
G1,31/08/2019,Volos NFC,Aris,H,3.5,3.1,2.25,3.2,2.9,2.35,3.55,3.0,2.25,3.6,3.0,2.2,2019/20,€8.40m,€11.73m,3.65,3.13,2.24,4.0,3.2,2.0
G1,01/09/2019,PAOK,Panionios,H,1.16,7.0,15.0,1.18,6.25,14.0,1.18,6.5,16.0,1.14,7.0,19.0,2019/20,€53.55m,€7.13m,1.15,7.59,21.11,1.14,7.0,21.0
G1,01/09/2019,Larisa,Olympiakos,A,9.0,4.5,1.36,8.75,4.4,1.36,9.0,4.55,1.36,10.0,4.33,1.35,2019/20,€13.43m,€82.58m,10.0,4.45,1.38,9.0,4.5,1.36
G1,01/09/2019,Lamia,Atromitos,D,3.6,3.1,2.15,3.5,3.0,2.15,3.75,3.0,2.15,3.7,3.0,2.15,2019/20,€7.88m,€12.75m,3.85,2.94,2.27,3.3,3.2,2.2
G1,01/09/2019,Asteras Tripolis,AEK,A,3.0,3.1,2.45,3.0,3.1,2.35,3.1,3.05,2.45,3.0,3.0,2.45,2019/20,€11.20m,€30.53m,3.18,2.98,2.56,3.2,3.1,2.3
G1,14/09/2019,Atromitos,PAOK,A,6.0,3.6,1.6,5.5,3.6,1.7,5.6,3.65,1.65,5.8,3.5,1.63,2019/20,€12.75m,€53.55m,5.92,3.68,1.66,6.0,3.6,1.6
G1,14/09/2019,OFI Crete,Panetolikos,H,1.95,3.2,4.2,2.0,3.4,3.9,2.0,3.35,3.8,2.05,3.4,3.5,2019/20,€9.78m,€8.85m,2.05,3.28,4.05,1.61,3.5,6.5
G1,14/09/2019,Olympiakos,Volos NFC,H,1.16,7.5,13.0,1.14,8.5,17.0,1.13,7.5,21.0,1.1,8.5,21.0,2019/20,€82.58m,€8.40m,1.11,9.53,23.91,1.14,8.0,15.0
G1,15/09/2019,Xanthi,Asteras Tripolis,H,2.3,3.0,3.4,2.4,3.1,3.25,2.4,2.95,3.2,2.35,3.0,3.2,2019/20,€9.38m,€11.20m,2.45,3.01,3.34,2.4,3.0,3.2
G1,15/09/2019,AEK,Lamia,H,1.2,6.0,15.0,1.25,5.75,12.5,1.25,5.4,12.5,1.2,5.8,15.0,2019/20,€30.53m,€7.88m,1.22,6.2,15.0,1.25,5.5,12.0
G1,15/09/2019,Panionios,Larisa,H,2.2,3.1,3.5,2.25,3.1,3.5,2.25,3.05,3.4,2.3,3.0,3.3,2019/20,€7.13m,€13.43m,2.39,3.07,3.38,2.37,3.1,3.3
G1,15/09/2019,Aris,Panathinaikos,H,1.95,3.1,4.33,1.95,3.3,4.2,1.93,3.25,4.25,1.91,3.25,4.2,2019/20,€11.73m,€20.25m,1.96,3.29,4.45,1.85,3.1,5.0
G1,21/09/2019,Volos NFC,OFI Crete,H,2.2,3.1,3.1,2.35,3.2,3.25,2.35,3.15,3.1,2.35,3.25,3.0,2019/20,€8.40m,€9.78m,2.37,3.39,3.09,2.75,3.1,2.45
G1,21/09/2019,Asteras Tripolis,Atromitos,H,2.15,3.1,3.6,2.15,3.1,3.8,2.2,3.05,3.6,2.15,3.1,3.5,2019/20,€11.20m,€12.75m,2.19,3.11,3.82,2.05,3.1,3.8
G1,21/09/2019,Panetolikos,AEK,A,6.5,3.8,1.53,6.25,3.7,1.62,6.3,3.65,1.57,6.0,3.6,1.6,2019/20,€8.85m,€30.53m,6.33,3.62,1.64,6.0,3.75,1.57
