Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
T1,06/08/2004,Rizespor,Fenerbahce,2.0,2.0,D,0.0,2.0,6.0,3.4,1.5,6.0,3.6,1.5,5.4,3.8,1.45,6.0,3.4,1.5,2004/5,€22.85m,€90.60m
T1,07/08/2004,Denizlispor,Gaziantepspor,2.0,1.0,H,1.0,0.0,2.2,3.25,2.75,2.1,3.3,3.0,2.0,3.1,3.2,2.1,3.2,3.0,2004/5,€27.24m,€38.60m
T1,07/08/2004,Genclerbirligi,Sakaryaspor,1.0,0.0,H,1.0,0.0,1.5,3.4,6.0,1.45,3.7,6.5,1.45,3.8,5.4,1.4,3.75,7.0,2004/5,€46.95m,€14.85m
T1,07/08/2004,Kayserispor,Trabzonspor,0.0,3.0,A,0.0,1.0,4.33,3.4,1.66,5.0,3.5,1.6,4.4,3.3,1.65,4.4,3.4,1.65,2004/5,€30.03m,€63.60m
T1,07/08/2004,Malatyaspor,Besiktas,1.0,1.0,D,1.0,0.0,3.2,3.2,2.0,3.3,3.2,2.0,3.5,3.1,1.9,2.8,3.2,2.2,2004/5,€33.95m,€76.25m
T1,08/08/2004,A. Sebatspor,Ankaraspor,1.0,3.0,A,0.0,1.0,2.2,3.25,2.75,2.2,3.35,2.75,2.2,3.0,3.9,2.0,3.2,3.2,2004/5,€26.73m,€32.75m
T1,08/08/2004,Galatasaray,Konyaspor,3.0,1.0,H,2.0,1.0,1.36,4.0,7.0,1.35,4.1,7.75,1.4,3.9,6.0,1.4,3.75,7.0,2004/5,€79.65m,€37.25m
T1,08/08/2004,Istanbulspor,Diyarbakirspor,1.0,1.0,D,0.0,0.0,2.2,3.25,2.75,2.25,3.15,2.8,2.2,3.0,2.9,2.2,3.1,2.85,2004/5,€27.55m,€22.93m
T1,08/08/2004,Samsunspor,Ankaragucu,1.0,1.0,D,0.0,1.0,1.83,3.25,3.6,2.0,3.3,3.2,1.8,3.3,3.6,2.1,3.2,3.0,2004/5,€34.65m,€32.76m
T1,13/08/2004,Gaziantepspor,Galatasaray,1.0,0.0,H,0.0,0.0,3.0,3.2,2.1,3.35,3.3,1.95,3.1,3.0,2.1,2.62,3.2,2.3,2004/5,€38.60m,€79.65m
T1,14/08/2004,Ankaragucu,Istanbulspor,0.0,0.0,D,0.0,0.0,1.72,3.4,4.0,1.85,3.3,3.7,1.85,3.2,3.5,1.75,3.3,4.0,2004/5,€32.76m,€27.55m
T1,14/08/2004,Ankaraspor,Malatyaspor,1.0,3.0,A,1.0,2.0,2.25,3.2,2.75,2.3,3.35,2.6,2.2,3.0,2.9,2.15,3.25,2.85,2004/5,€32.75m,€33.95m
T1,14/08/2004,Diyarbakirspor,Kayserispor,2.0,1.0,H,1.0,0.0,1.72,3.4,4.0,1.75,3.15,4.45,1.7,3.3,4.0,1.55,3.6,5.0,2004/5,€22.93m,€30.03m
T1,14/08/2004,Fenerbahce,Samsunspor,2.0,1.0,H,0.0,0.0,1.2,5.0,11.0,1.3,4.5,8.25,1.3,4.2,8.0,1.25,4.5,10.0,2004/5,€90.60m,€34.65m
T1,15/08/2004,Genclerbirligi,Besiktas,1.0,1.0,D,0.0,0.0,3.0,3.2,2.1,2.95,3.4,2.1,2.9,3.0,2.2,3.75,3.3,1.8,2004/5,€46.95m,€76.25m
T1,15/08/2004,Konyaspor,Rizespor,0.0,0.0,D,0.0,0.0,1.9,3.2,3.5,2.0,3.0,3.6,1.85,3.2,3.5,1.95,3.25,3.3,2004/5,€37.25m,€22.85m
T1,15/08/2004,Sakaryaspor,Denizlispor,1.0,2.0,A,1.0,1.0,2.6,3.2,2.37,2.75,3.4,2.2,2.8,3.1,2.2,2.65,3.2,2.3,2004/5,€14.85m,€27.24m
T1,15/08/2004,Trabzonspor,A. Sebatspor,3.0,1.0,H,1.0,0.0,1.22,5.0,9.0,1.3,4.5,8.25,1.3,4.2,8.0,1.3,4.3,8.0,2004/5,€63.60m,€26.73m
T1,21/08/2004,Denizlispor,Besiktas,3.0,1.0,H,1.0,0.0,3.0,3.25,2.1,3.1,3.2,2.1,2.9,3.0,2.2,3.0,3.2,2.1,2004/5,€27.24m,€76.25m
T1,21/08/2004,Genclerbirligi,Ankaraspor,1.0,1.0,D,0.0,1.0,1.615,3.5,4.5,1.55,3.5,5.5,1.6,3.4,4.6,1.7,3.4,4.15,2004/5,€46.95m,€32.75m
T1,21/08/2004,Istanbulspor,Fenerbahce,0.0,3.0,A,0.0,0.0,6.0,3.75,1.444,6.75,3.65,1.45,4.8,3.5,1.55,6.5,3.6,1.44,2004/5,€27.55m,€90.60m
T1,21/08/2004,Malatyaspor,Trabzonspor,3.0,4.0,A,1.0,2.0,3.25,3.25,2.0,3.55,3.3,1.9,2.9,3.0,2.2,3.0,3.2,2.1,2004/5,€33.95m,€63.60m
T1,21/08/2004,Samsunspor,Konyaspor,1.0,1.0,D,1.0,0.0,1.833,3.25,3.75,1.9,3.4,3.4,1.8,3.1,3.8,1.8,3.3,3.75,2004/5,€34.65m,€37.25m
T1,22/08/2004,A. Sebatspor,Diyarbakirspor,2.0,2.0,D,2.0,2.0,2.25,3.25,2.75,2.4,3.3,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2004/5,€26.73m,€22.93m
T1,22/08/2004,Galatasaray,Rizespor,2.0,1.0,H,2.0,1.0,1.25,5.0,8.5,1.3,4.5,8.25,1.3,4.2,8.0,1.33,4.0,8.0,2004/5,€79.65m,€22.85m
T1,22/08/2004,Gaziantepspor,Sakaryaspor,1.0,0.0,H,0.0,0.0,1.4,3.75,7.0,1.55,3.5,5.5,1.5,3.7,5.0,1.4,3.75,7.0,2004/5,€38.60m,€14.85m
T1,22/08/2004,Kayserispor,Ankaragucu,1.0,1.0,D,1.0,0.0,2.4,3.4,2.4,2.6,3.3,2.35,2.3,3.0,2.7,2.55,3.25,2.35,2004/5,€30.03m,€32.76m
T1,28/08/2004,Ankaraspor,Denizlispor,3.0,2.0,H,1.0,1.0,2.75,3.2,2.2,3.0,3.3,2.1,2.7,3.0,2.3,2.9,3.15,2.15,2004/5,€32.75m,€27.24m
