Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
B1,06/08/2004,Mouscron,Anderlecht,2.0,0.0,H,1.0,0.0,3.5,3.25,1.9,3.25,3.4,1.95,3.5,3.1,1.9,3.8,3.5,1.72,2004/5,€15.60m,€63.60m
B1,07/08/2004,Beveren,Club Brugge,1.0,1.0,D,1.0,1.0,4.0,3.5,1.72,4.75,3.6,1.65,5.4,3.8,1.45,4.33,3.4,1.66,2004/5,€14.30m,€53.03m
B1,07/08/2004,Cercle Brugge,Lokeren,2.0,2.0,D,1.0,1.0,2.37,3.2,2.62,2.3,3.25,2.7,2.5,3.0,2.5,2.6,3.1,2.4,2004/5,€10.98m,€18.73m
B1,07/08/2004,FC Brussels,Genk,0.0,1.0,A,0.0,0.0,3.0,3.25,2.1,3.2,3.35,2.0,3.1,3.0,2.1,3.2,3.2,2.0,2004/5,€10.22m,€30.45m
B1,07/08/2004,Gent,Germinal,0.0,1.0,A,0.0,0.0,2.0,3.25,3.25,2.1,3.25,3.0,1.9,3.1,3.5,1.8,3.4,3.6,2004/5,€26.63m,€15.67m
B1,07/08/2004,Lierse,Standard,1.0,1.0,D,0.0,1.0,2.8,3.25,2.2,3.0,3.3,2.1,2.7,3.0,2.3,2.87,3.1,2.2,2004/5,€14.83m,€43.55m
B1,07/08/2004,St Truiden,Bergen,0.0,0.0,D,0.0,0.0,1.83,3.25,3.75,2.0,3.35,3.2,1.9,3.1,3.5,1.8,3.3,3.75,2004/5,€12.10m,€15.63m
B1,08/08/2004,Charleroi,Louvieroise,2.0,5.0,A,1.0,3.0,2.3,3.2,2.7,2.3,3.25,2.7,2.2,3.0,2.9,2.15,3.2,2.9,2004/5,€12.15m,€17.80m
B1,08/08/2004,Oostende,Westerlo,3.0,3.0,D,0.0,2.0,2.7,3.2,2.3,2.9,3.2,2.2,2.6,3.0,2.4,2.5,3.25,2.4,2004/5,€8.60m,€13.40m
B1,13/08/2004,Standard,Charleroi,1.0,2.0,A,1.0,2.0,1.33,4.33,8.0,1.3,4.5,8.25,1.3,4.2,8.0,1.33,4.33,7.0,2004/5,€43.55m,€12.15m
