Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
SP1,28/08/2004,Ath Madrid,Malaga,2,0,H,1,0,1.72,3.25,4.33,1.9,3.35,3.6,1.75,3.1,4.2,1.72,3.2,4.33,2004/5,€125.65m,€32.85m
SP1,28/08/2004,Espanol,La Coruna,1,1,D,1,0,2.87,3.2,2.4,3.4,3.25,2.0,2.9,3.0,2.2,2.62,3.1,2.37,2004/5,€45.15m,€144.45m
SP1,28/08/2004,Numancia,Betis,1,1,D,1,1,2.5,3.2,2.5,2.5,3.15,2.6,2.4,2.9,2.7,2.5,3.1,2.5,2004/5,€13.40m,€85.15m
SP1,29/08/2004,Mallorca,Real Madrid,0,1,A,0,0,5.0,3.4,1.72,4.5,3.4,1.7,3.8,3.1,1.8,4.2,3.25,1.72,2004/5,€42.65m,€303.70m
SP1,29/08/2004,Osasuna,Ath Bilbao,1,1,D,1,1,2.3,3.2,2.7,2.25,3.2,2.9,2.4,2.9,2.7,2.3,3.1,2.75,2004/5,€26.70m,€53.05m
SP1,29/08/2004,Santander,Barcelona,0,2,A,0,0,5.0,3.4,1.72,4.5,3.4,1.7,3.8,3.1,1.8,3.8,3.25,1.8,2004/5,€32.90m,€273.03m
SP1,29/08/2004,Sevilla,Albacete,1,0,H,0,0,1.66,3.4,4.5,1.7,3.4,4.5,1.75,3.2,4.0,1.6,3.4,4.8,2004/5,€70.55m,€17.75m
SP1,29/08/2004,Sociedad,Levante,1,1,D,0,1,1.72,3.25,4.33,1.7,3.4,4.5,1.7,3.1,4.4,1.61,3.1,5.5,2004/5,€53.55m,€24.25m
SP1,29/08/2004,Zaragoza,Getafe,3,1,H,1,1,1.72,3.25,4.33,1.85,3.25,4.0,1.75,3.1,4.2,1.72,3.2,4.33,2004/5,€51.13m,€13.85m
SP1,11/09/2004,Ath Bilbao,Valencia,2,2,D,2,0,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€53.05m,€195.90m
SP1,11/09/2004,Barcelona,Sevilla,2,0,H,1,0,1.444,4.0,7.5,1.4,4.0,7.25,1.4,3.7,6.5,1.4,3.6,7.5,2004/5,€273.03m,€70.55m
SP1,11/09/2004,Real Madrid,Numancia,1,0,H,1,0,1.2,6.0,13.0,1.2,5.5,11.5,1.2,5.0,10.0,1.2,5.0,11.0,2004/5,€303.70m,€13.40m
SP1,12/09/2004,Albacete,Ath Madrid,0,2,A,0,0,2.75,3.2,2.5,2.4,3.15,2.7,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€17.75m,€125.65m
SP1,12/09/2004,Betis,Espanol,1,4,A,0,2,2.0,3.25,3.25,1.9,3.25,3.7,1.9,3.0,3.6,1.9,3.2,3.5,2004/5,€85.15m,€45.15m
