Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
F1,06/08/2004,Nice,Lyon,0.0,1.0,A,0.0,0.0,3.25,3.0,2.1,3.0,3.0,2.2,3.2,2.9,2.1,2.87,3.1,2.2,2004/5,€34.45m,€133.90m
F1,07/08/2004,Bastia,Strasbourg,2.0,1.0,H,1.0,0.0,2.1,3.0,3.25,2.05,3.0,3.45,2.2,2.9,3.0,2.0,3.2,3.2,2004/5,€31.85m,€35.10m
F1,07/08/2004,Caen,Istres,1.0,1.0,D,1.0,1.0,1.9,3.2,3.6,1.9,3.1,3.75,1.8,3.1,3.8,1.9,3.0,3.75,2004/5,€22.70m,€18.50m
F1,07/08/2004,Lille,Auxerre,2.0,0.0,H,1.0,0.0,2.37,3.0,2.75,2.4,3.2,2.6,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€56.25m,€47.85m
F1,07/08/2004,Marseille,Bordeaux,1.0,0.0,H,0.0,0.0,1.72,3.25,4.33,1.6,3.5,5.0,1.75,3.2,4.0,1.66,3.3,4.5,2004/5,€78.60m,€52.60m
F1,07/08/2004,Metz,Nantes,1.0,0.0,H,0.0,0.0,2.5,3.0,2.62,2.65,3.15,2.4,2.3,3.0,2.7,2.37,3.0,2.7,2004/5,€35.70m,€47.35m
F1,07/08/2004,Stade Rennais FC,Paris SG,2.0,1.0,H,2.0,1.0,2.75,3.0,2.37,3.0,3.1,2.2,2.7,2.9,2.4,2.87,3.0,2.25,2004/5,€61.30m,€81.75m
F1,07/08/2004,Sochaux,Ajaccio,1.0,0.0,H,1.0,0.0,1.57,3.4,5.5,1.55,3.55,5.5,1.6,3.4,4.6,1.57,3.5,5.0,2004/5,€49.65m,€24.55m
F1,07/08/2004,St Etienne,Monaco,0.0,1.0,A,0.0,1.0,3.25,3.0,2.1,3.5,3.2,1.95,3.0,2.9,2.2,2.87,3.0,2.25,2004/5,€37.50m,€103.80m
F1,07/08/2004,Toulouse,Lens,0.0,0.0,D,0.0,0.0,2.37,3.0,2.75,2.4,3.05,2.7,2.4,2.9,2.7,2.3,3.0,2.8,2004/5,€37.10m,€52.50m
F1,14/08/2004,Ajaccio,Metz,1.0,2.0,A,0.0,1.0,2.1,3.0,3.25,2.2,3.0,3.1,2.2,2.8,3.1,1.95,3.1,3.5,2004/5,€24.55m,€35.70m
F1,14/08/2004,Auxerre,Stade Rennais FC,3.0,1.0,H,0.0,0.0,1.72,3.25,4.33,1.7,3.3,4.5,1.85,3.1,3.6,1.8,3.1,4.0,2004/5,€47.85m,€61.30m
F1,14/08/2004,Bordeaux,Nice,5.0,1.0,H,2.0,0.0,1.83,3.1,4.0,1.8,3.1,4.3,1.8,3.0,4.0,1.72,3.1,4.5,2004/5,€52.60m,€34.45m
F1,14/08/2004,Lens,St Etienne,3.0,0.0,H,2.0,0.0,1.66,3.4,4.5,1.7,3.3,4.5,1.6,3.3,4.8,1.7,3.2,4.5,2004/5,€52.50m,€37.50m
F1,14/08/2004,Lyon,Sochaux,1.0,1.0,D,0.0,1.0,1.61,3.4,5.0,1.45,3.7,6.5,1.6,3.3,4.8,1.5,3.4,6.0,2004/5,€133.90m,€49.65m
F1,14/08/2004,Monaco,Istres,2.0,1.0,H,2.0,0.0,1.33,4.0,8.5,1.3,4.5,8.25,1.35,3.8,7.5,1.3,4.33,8.0,2004/5,€103.80m,€18.50m
F1,14/08/2004,Nantes,Bastia,1.0,1.0,D,0.0,0.0,1.72,3.25,4.33,1.6,3.5,5.0,1.65,3.2,4.6,1.66,3.3,4.5,2004/5,€47.35m,€31.85m
F1,14/08/2004,Paris SG,Caen,2.0,2.0,D,1.0,1.0,1.33,4.33,7.5,1.3,4.5,9.0,1.3,4.0,8.5,1.3,4.33,8.0,2004/5,€81.75m,€22.70m
F1,14/08/2004,Strasbourg,Toulouse,1.0,4.0,A,0.0,3.0,2.1,3.0,3.25,2.0,3.05,3.5,2.1,2.8,3.3,2.05,3.1,3.2,2004/5,€35.10m,€37.10m
F1,15/08/2004,Marseille,Lille,3.0,0.0,H,1.0,0.0,1.61,3.4,5.0,1.55,3.5,5.5,1.6,3.3,4.8,1.57,3.3,5.5,2004/5,€78.60m,€56.25m
F1,21/08/2004,Bastia,Ajaccio,1.0,0.0,H,0.0,0.0,1.9,3.1,3.75,1.95,3.0,3.75,1.9,3.0,3.6,1.9,3.0,3.75,2004/5,€31.85m,€24.55m
F1,21/08/2004,Caen,Monaco,1.0,0.0,H,1.0,0.0,3.25,3.25,2.0,3.6,3.0,2.0,3.2,2.9,2.1,3.5,3.1,1.95,2004/5,€22.70m,€103.80m
F1,21/08/2004,Istres,Lens,0.0,2.0,A,0.0,1.0,2.75,3.0,2.37,2.85,2.9,2.4,3.1,2.8,2.2,2.9,3.0,2.25,2004/5,€18.50m,€52.50m
F1,21/08/2004,Lille,Bordeaux,0.0,0.0,D,0.0,0.0,2.1,3.25,3.0,2.3,3.0,2.9,2.3,2.8,2.9,2.25,3.1,2.8,2004/5,€56.25m,€52.60m
F1,21/08/2004,Nice,Marseille,1.0,1.0,D,0.0,0.0,2.75,3.0,2.37,2.9,3.0,2.3,2.9,2.8,2.3,2.75,2.9,2.4,2004/5,€34.45m,€78.60m
F1,21/08/2004,Stade Rennais FC,Nantes,1.0,0.0,H,1.0,0.0,2.1,3.25,3.0,2.0,3.25,3.25,2.1,2.9,3.2,2.0,3.1,3.3,2004/5,€61.30m,€47.35m
F1,21/08/2004,Sochaux,Auxerre,1.0,2.0,A,1.0,1.0,2.0,3.25,3.25,2.15,3.0,3.2,2.1,2.9,3.2,2.05,3.1,3.2,2004/5,€49.65m,€47.85m
F1,21/08/2004,St Etienne,Strasbourg,1.0,1.0,D,1.0,0.0,2.0,3.25,3.25,2.1,3.0,3.3,2.1,2.9,3.2,1.9,3.1,3.6,2004/5,€37.50m,€35.10m
F1,21/08/2004,Toulouse,Paris SG,2.0,1.0,H,0.0,0.0,2.75,3.25,2.25,3.1,3.0,2.2,2.9,2.8,2.3,2.8,3.1,2.25,2004/5,€37.10m,€81.75m
F1,22/08/2004,Metz,Lyon,1.0,1.0,D,1.0,0.0,3.0,3.1,2.2,3.5,3.05,2.0,3.2,2.9,2.1,3.0,3.0,2.2,2004/5,€35.70m,€133.90m
F1,27/08/2004,Nice,Bastia,1.0,1.0,D,1.0,0.0,1.83,3.25,3.75,2.0,3.05,3.5,1.9,3.1,3.5,1.9,3.1,3.6,2004/5,€34.45m,€31.85m
F1,28/08/2004,Ajaccio,Stade Rennais FC,1.0,1.0,D,1.0,1.0,2.37,3.0,2.75,2.25,3.0,3.0,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€24.55m,€61.30m
F1,28/08/2004,Auxerre,Caen,1.0,0.0,H,0.0,0.0,1.57,3.4,5.5,1.6,3.5,5.0,1.65,3.3,4.4,1.57,3.3,5.5,2004/5,€47.85m,€22.70m
F1,28/08/2004,Bordeaux,Sochaux,2.0,0.0,H,1.0,0.0,2.0,3.0,3.5,1.85,3.1,4.0,1.9,3.1,3.5,1.83,3.2,3.75,2004/5,€52.60m,€49.65m
