Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
P1,28/08/2004,Belenenses,Maritimo,3.0,0.0,H,2.0,0.0,2.25,3.2,2.75,2.25,3.2,2.8,2.2,3.0,2.9,2.15,3.2,2.9,2004/5,€24.35m,€21.20m
P1,28/08/2004,Sp Lisbon,Gil Vicente,3.0,2.0,H,2.0,0.0,1.25,4.5,10.0,1.35,4.0,8.0,1.3,4.2,8.0,1.25,4.5,10.0,2004/5,€89.40m,€8.20m
P1,29/08/2004,Beira Mar,Benfica,2.0,3.0,A,0.0,2.0,4.33,3.4,1.66,4.5,3.5,1.65,4.4,3.3,1.65,4.5,3.3,1.66,2004/5,€8.10m,€120.05m
P1,29/08/2004,Boavista,Nacional,1.0,0.0,H,0.0,0.0,1.72,3.4,4.0,2.0,3.2,3.35,1.8,3.1,3.8,1.8,3.3,3.75,2004/5,€29.10m,€10.25m
P1,29/08/2004,Estoril,Rio Ave,0.0,0.0,D,0.0,0.0,2.25,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,2.15,3.2,2.9,2004/5,€6.63m,€11.10m
P1,29/08/2004,Moreirense,Guimaraes,0.0,0.0,D,0.0,0.0,1.9,3.2,3.5,1.85,3.25,3.75,2.0,3.1,3.2,2.0,3.25,3.15,2004/5,€6.15m,€20.40m
P1,29/08/2004,Penafiel,Setubal,1.0,4.0,A,1.0,1.0,1.9,3.2,3.5,1.85,3.25,3.75,2.1,2.9,3.2,1.95,3.25,3.3,2004/5,€5.73m,€9.58m
P1,30/08/2004,Academica,Sp Braga,2.0,2.0,D,1.0,2.0,2.3,3.25,2.62,2.3,3.2,2.75,2.4,2.9,2.7,2.35,3.1,2.65,2004/5,€13.73m,€33.05m
P1,10/09/2004,Gil Vicente,Boavista,0.0,1.0,A,0.0,1.0,2.6,3.1,2.4,2.55,3.2,2.45,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€8.20m,€29.10m
P1,11/09/2004,Benfica,Moreirense,2.0,0.0,H,1.0,0.0,1.25,5.0,8.0,1.25,5.0,9.0,1.3,4.2,8.0,1.22,5.0,9.5,2004/5,€120.05m,€6.15m
P1,11/09/2004,Leiria,Estoril,4.0,2.0,H,2.0,1.0,1.615,3.3,5.0,1.75,3.4,4.05,1.85,3.1,3.6,1.61,3.5,4.5,2004/5,€17.83m,€6.63m
P1,11/09/2004,Maritimo,Penafiel,3.0,0.0,H,1.0,0.0,1.5,3.4,6.0,1.6,3.55,4.9,1.7,3.2,4.2,1.57,3.5,5.0,2004/5,€21.20m,€5.73m
P1,11/09/2004,Sp Braga,Porto,1.0,1.0,D,0.0,1.0,4.0,3.4,1.727,4.05,3.4,1.75,3.5,3.1,1.9,3.75,3.3,1.8,2004/5,€33.05m,€158.15m
P1,12/09/2004,Nacional,Beira Mar,2.0,1.0,H,1.0,1.0,1.615,3.5,4.5,1.65,3.5,4.55,1.7,3.2,4.2,1.72,3.4,4.0,2004/5,€10.25m,€8.10m
P1,12/09/2004,Setubal,Sp Lisbon,2.0,0.0,H,0.0,0.0,4.0,3.2,1.8,3.65,3.35,1.85,3.5,3.1,1.9,3.75,3.3,1.8,2004/5,€9.58m,€89.40m
