Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA
E0,13/08/2005,Aston Villa,Bolton,2.0,2.0,D,2.0,2.0,D,M Riley,3.0,13.0,2.0,6.0,14.0,16.0,7.0,8.0,0.0,2.0,0.0,0.0,2.3,3.25,3.0,2.1,3.25,3.15,2.1,3.0,3.2,2005/6,€89.00m,€61.85m,2.2,3.25,3.1
E0,13/08/2005,Everton,Man United,0.0,2.0,A,0.0,1.0,A,G Poll,10.0,12.0,5.0,5.0,15.0,14.0,8.0,6.0,3.0,1.0,0.0,0.0,5.0,3.4,1.72,4.35,3.35,1.75,3.75,3.2,1.83,2005/6,€92.92m,€254.58m,4.5,3.3,1.8
E0,13/08/2005,Fulham,Birmingham,0.0,0.0,D,0.0,0.0,D,R Styles,15.0,7.0,7.0,4.0,12.0,13.0,6.0,6.0,1.0,2.0,0.0,0.0,2.37,3.25,2.87,2.3,3.2,2.8,2.25,3.0,2.88,2005/6,€70.88m,€81.83m,2.35,3.25,2.8
E0,13/08/2005,Man City,West Brom,0.0,0.0,D,0.0,0.0,D,C Foy,15.0,13.0,8.0,3.0,13.0,11.0,3.0,6.0,2.0,3.0,0.0,0.0,1.72,3.4,5.0,1.65,3.45,4.8,1.67,3.25,4.5,2005/6,€91.90m,€65.55m,1.75,3.25,5.0
E0,13/08/2005,Middlesbrough,Liverpool,0.0,0.0,D,0.0,0.0,D,M Halsey,4.0,16.0,2.0,7.0,17.0,11.0,5.0,0.0,2.0,3.0,1.0,0.0,2.87,3.2,2.4,2.9,3.35,2.2,2.75,3.1,2.3,2005/6,€94.38m,€216.35m,2.8,3.25,2.35
E0,13/08/2005,Portsmouth,Tottenham,0.0,2.0,A,0.0,1.0,A,B Knight,11.0,11.0,7.0,6.0,13.0,23.0,7.0,2.0,0.0,2.0,0.0,0.0,2.75,3.2,2.5,2.65,3.25,2.4,2.75,3.2,2.25,2005/6,€86.13m,€154.33m,2.75,3.25,2.4
E0,13/08/2005,Sunderland,Charlton,1.0,3.0,A,1.0,1.0,D,H Webb,12.0,14.0,8.0,4.0,15.0,17.0,5.0,5.0,2.0,0.0,0.0,1.0,2.37,3.2,2.9,2.25,3.25,2.85,2.38,3.0,2.75,2005/6,€34.35m,€82.43m,2.4,3.25,2.75
E0,13/08/2005,West Ham,Blackburn,3.0,1.0,H,0.0,1.0,A,A Wiley,13.0,11.0,5.0,5.0,11.0,14.0,2.0,6.0,0.0,1.0,0.0,1.0,2.5,3.2,2.75,2.2,3.3,2.9,2.38,3.0,2.75,2005/6,€62.55m,€63.80m,2.4,3.25,2.75
E0,14/08/2005,Arsenal,Newcastle,2.0,0.0,H,0.0,0.0,D,S Bennett,15.0,2.0,12.0,1.0,15.0,17.0,8.0,3.0,0.0,1.0,0.0,1.0,1.4,4.2,8.0,1.35,4.0,9.0,1.4,3.75,7.0,2005/6,€232.33m,€150.48m,1.45,3.8,7.5
E0,14/08/2005,Wigan,Chelsea,0.0,1.0,A,0.0,0.0,D,M Clattenburg,12.0,20.0,5.0,9.0,14.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,10.0,4.5,1.33,9.0,4.6,1.3,8.0,4.0,1.33,2005/6,€51.92m,€363.43m,11.0,4.5,1.3
E0,20/08/2005,Birmingham,Man City,1.0,2.0,A,1.0,1.0,D,M Clattenburg,9.0,9.0,2.0,6.0,7.0,12.0,9.0,4.0,3.0,1.0,0.0,0.0,2.2,3.2,3.25,2.15,3.1,3.2,2.1,3.2,3.0,2005/6,€81.83m,€91.90m,2.1,3.25,3.4
E0,20/08/2005,Blackburn,Fulham,2.0,1.0,H,1.0,0.0,H,H Webb,16.0,8.0,9.0,4.0,26.0,14.0,8.0,1.0,2.0,2.0,0.0,0.0,2.0,3.2,3.75,1.9,3.1,4.0,1.91,3.2,3.5,2005/6,€63.80m,€70.88m,1.9,3.3,4.0
E0,20/08/2005,Charlton,Wigan,1.0,0.0,H,1.0,0.0,H,R Styles,21.0,4.0,10.0,0.0,10.0,11.0,4.0,4.0,0.0,1.0,0.0,0.0,1.8,3.4,4.33,1.7,3.2,5.0,1.62,3.5,4.5,2005/6,€82.43m,€51.92m,1.75,3.5,4.5
E0,20/08/2005,Liverpool,Sunderland,1.0,0.0,H,1.0,0.0,H,B Knight,15.0,2.0,6.0,0.0,8.0,20.0,5.0,5.0,2.0,3.0,0.0,1.0,1.28,5.0,10.0,1.3,4.5,9.0,1.22,5.0,10.0,2005/6,€216.35m,€34.35m,1.28,4.5,12.0
E0,20/08/2005,Man United,Aston Villa,1.0,0.0,H,0.0,0.0,D,P Dowd,18.0,3.0,12.0,3.0,13.0,21.0,11.0,7.0,2.0,1.0,0.0,0.0,1.22,5.5,13.0,1.25,5.0,10.0,1.25,4.5,10.0,2005/6,€254.58m,€89.00m,1.25,5.0,13.0
E0,20/08/2005,Newcastle,West Ham,0.0,0.0,D,0.0,0.0,D,D Gallagher,14.0,6.0,6.0,1.0,9.0,11.0,10.0,2.0,1.0,1.0,0.0,1.0,1.61,3.6,5.5,1.6,3.5,5.25,1.57,3.5,5.0,2005/6,€150.48m,€62.55m,1.55,3.6,6.0
E0,20/08/2005,Tottenham,Middlesbrough,2.0,0.0,H,0.0,0.0,D,M Atkinson,18.0,12.0,8.0,3.0,16.0,10.0,5.0,6.0,3.0,1.0,0.0,0.0,1.9,3.3,4.0,1.9,3.1,4.0,1.8,3.2,4.0,2005/6,€154.33m,€94.38m,1.9,3.25,4.0
E0,20/08/2005,West Brom,Portsmouth,2.0,1.0,H,1.0,0.0,H,M Riley,6.0,10.0,2.0,2.0,21.0,19.0,3.0,3.0,4.0,3.0,0.0,0.0,2.2,3.2,3.25,2.25,3.0,3.1,2.1,3.2,3.0,2005/6,€65.55m,€86.13m,2.1,3.25,3.4
