Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA
SC0,30/07/2005,Dundee United,Aberdeen,1,1,D,1,0,H,D McDonald,4,16,3,7,10,7,7,5,1,0,0,0,2.5,3.2,2.5,2.45,3.1,2.65,2.4,3.25,2.5,2005/6,€9.25m,€6.45m,2.6,3.2,2.4
SC0,30/07/2005,Falkirk,Inverness C,0,2,A,0,0,D,J Underhill,9,8,6,2,11,12,6,1,0,3,0,0,2.37,3.2,2.62,2.4,3.1,2.7,2.38,3.2,2.6,2005/6,€8.08m,€8.05m,2.4,3.2,2.6
SC0,30/07/2005,Hibernian,Dunfermline,1,1,D,0,1,A,C Richmond,12,9,5,6,7,19,6,3,2,3,1,0,1.61,3.4,5.0,1.5,3.5,6.25,1.62,3.5,4.5,2005/6,€17.43m,€8.43m,1.6,3.4,5.0
SC0,30/07/2005,Kilmarnock,Hearts,2,4,A,1,1,D,A Freeland,4,11,2,10,27,19,1,8,5,1,0,0,2.62,3.2,2.37,2.3,3.1,2.8,2.38,3.2,2.6,2005/6,€6.33m,€30.53m,2.5,3.2,2.5
SC0,30/07/2005,Motherwell,Celtic,4,4,D,1,3,A,M McCurry,11,10,6,9,20,19,1,5,2,2,0,0,7.5,4.0,1.44,9.0,5.0,1.25,8.0,4.33,1.3,2005/6,€9.18m,€72.83m,8.0,4.5,1.3
SC0,31/07/2005,Rangers,Livingston,3,0,H,1,0,H,C Thomson,18,6,12,1,14,20,10,3,0,2,0,1,1.14,6.5,21.0,1.08,9.0,13.0,1.1,6.5,17.0,2005/6,€77.98m,€10.08m,1.14,6.0,13.0
SC0,06/08/2005,Aberdeen,Kilmarnock,1,2,A,1,1,D,I Fyfe,8,7,4,3,14,20,9,1,1,1,0,0,1.66,3.6,4.33,1.65,3.5,4.5,1.67,3.4,4.33,2005/6,€6.45m,€6.33m,1.65,3.4,4.5
SC0,06/08/2005,Celtic,Dundee United,2,0,H,1,0,H,Ian Brines,19,4,11,3,14,7,9,3,1,2,0,0,1.22,5.5,9.5,1.25,5.0,9.0,1.29,4.5,8.0,2005/6,€72.83m,€9.25m,1.22,5.5,8.5
SC0,06/08/2005,Inverness C,Rangers,0,1,A,0,0,D,C Murray,14,14,5,6,13,16,7,7,1,4,0,0,8.0,5.5,1.25,10.5,5.5,1.2,10.0,4.5,1.25,2005/6,€8.05m,€77.98m,8.5,5.0,1.25
SC0,06/08/2005,Livingston,Falkirk,0,2,A,0,1,A,E Smith,9,11,3,7,17,12,6,4,3,0,0,0,2.0,3.4,3.25,1.9,3.2,3.65,1.91,3.25,3.4,2005/6,€10.08m,€8.08m,1.9,3.25,3.5
SC0,06/08/2005,Motherwell,Dunfermline,1,0,H,0,0,D,S Conroy,15,7,7,3,13,11,7,0,1,1,0,1,1.8,3.3,4.0,1.7,3.3,4.5,1.8,3.25,3.75,2005/6,€9.18m,€8.43m,1.8,3.25,4.0
SC0,07/08/2005,Hearts,Hibernian,4,0,H,1,0,H,S Dougal,11,4,5,1,21,19,12,2,2,3,0,0,2.2,3.2,3.25,2.2,3.2,2.9,2.2,3.2,2.8,2005/6,€30.53m,€17.43m,2.1,3.1,3.2
SC0,13/08/2005,Celtic,Falkirk,3,1,H,0,1,A,A Freeland,13,5,8,1,9,13,10,0,1,3,0,0,1.11,7.0,13.0,1.12,6.5,15.0,1.12,6.5,12.0,2005/6,€72.83m,€8.08m,1.1,7.5,17.0
SC0,13/08/2005,Dunfermline,Inverness C,0,1,A,0,1,A,C Thompson,9,6,4,3,11,12,11,3,1,3,0,0,2.3,3.2,2.7,2.1,3.25,3.05,2.2,3.25,2.75,2005/6,€8.43m,€8.05m,2.25,3.25,2.75
SC0,13/08/2005,Hibernian,Livingston,3,0,H,2,0,H,K Turner,10,9,7,1,9,16,7,5,0,5,0,0,1.57,3.4,5.5,1.65,3.5,4.5,1.67,3.4,4.33,2005/6,€17.43m,€10.08m,1.65,3.4,4.5
SC0,13/08/2005,Kilmarnock,Motherwell,4,1,H,2,1,H,D McDonald,9,8,6,4,17,14,4,6,0,3,0,0,2.25,3.25,2.75,2.2,3.2,2.9,2.0,3.2,3.2,2005/6,€6.33m,€9.18m,2.1,3.25,3.0
SC0,14/08/2005,Aberdeen,Rangers,3,2,H,2,1,H,J Underhill,3,7,3,2,11,19,4,3,2,4,0,1,7.5,4.33,1.4,7.25,4.5,1.33,7.0,4.0,1.36,2005/6,€6.45m,€77.98m,7.5,4.0,1.35
SC0,14/08/2005,Dundee United,Hearts,0,3,A,0,2,A,C Richmond,13,19,6,11,14,23,8,8,4,3,0,0,3.0,3.4,2.1,2.9,3.2,2.2,2.62,3.4,2.25,2005/6,€9.25m,€30.53m,2.8,3.25,2.2
SC0,20/08/2005,Falkirk,Hibernian,0,2,A,0,1,A,B Winter,18,12,7,7,13,15,9,5,3,2,0,0,3.1,3.25,2.1,2.9,3.2,2.2,2.75,3.25,2.2,2005/6,€8.08m,€17.43m,2.8,3.25,2.2
