Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue
I1,11/09/2004,Chievo,Inter,2.0,2.0,D,2.0,1.0,4.5,3.2,1.727,5.35,3.25,1.65,4.2,3.1,1.75,4.5,3.2,1.7,2004/5,€46.28m,€240.63m
I1,11/09/2004,Milan,Livorno,2.0,2.0,D,1.0,1.0,1.167,6.5,15.0,1.15,6.0,13.0,1.15,6.0,12.0,1.16,5.5,12.0,2004/5,€273.70m,€25.00m
I1,12/09/2004,Atalanta,Lecce,2.0,2.0,D,1.0,1.0,2.0,3.0,3.5,2.0,3.1,3.6,1.9,3.0,3.6,2.05,2.9,3.4,2004/5,€41.70m,€44.90m
I1,12/09/2004,Brescia,Juventus,0.0,3.0,A,0.0,2.0,4.0,3.1,1.833,4.5,3.1,1.8,3.8,3.0,1.85,4.0,3.0,1.83,2004/5,€45.25m,€304.90m
I1,12/09/2004,Cagliari,Bologna,1.0,0.0,H,1.0,0.0,2.375,2.875,2.875,2.3,2.9,3.1,2.2,2.9,3.0,2.3,2.9,2.9,2004/5,€23.90m,€29.94m
I1,12/09/2004,Palermo,Siena,1.0,0.0,H,1.0,0.0,1.727,3.2,4.5,1.66,3.15,5.5,1.8,3.0,4.0,1.72,3.1,4.5,2004/5,€78.75m,€54.90m
I1,12/09/2004,Parma,Messina,0.0,0.0,D,0.0,0.0,1.533,3.4,6.0,1.55,3.25,6.5,1.55,3.4,5.0,1.5,3.4,6.0,2004/5,€110.05m,€32.65m
I1,12/09/2004,Reggina,Udinese,0.0,0.0,D,0.0,0.0,2.6,2.875,2.6,2.7,2.9,2.55,2.6,2.8,2.6,2.6,2.8,2.6,2004/5,€29.30m,€83.95m
I1,12/09/2004,Roma,Fiorentina,1.0,0.0,H,0.0,0.0,1.571,3.4,5.5,1.55,3.5,5.75,1.45,3.6,5.8,1.57,3.5,5.0,2004/5,€201.60m,€111.83m
I1,12/09/2004,Sampdoria,Lazio,0.0,1.0,A,0.0,1.0,2.1,3.0,3.75,2.0,3.05,3.5,2.0,2.9,3.4,2.1,3.0,3.2,2004/5,€51.00m,€77.05m
I1,18/09/2004,Inter,Palermo,1.0,1.0,D,0.0,0.0,1.36,4.33,9.0,1.35,4.0,8.0,1.35,4.0,7.0,1.4,3.4,8.5,2004/5,€240.63m,€78.75m
I1,18/09/2004,Lecce,Brescia,4.0,1.0,H,1.0,1.0,2.0,3.0,3.5,1.95,3.25,3.55,2.1,2.8,3.3,2.0,2.87,3.6,2004/5,€44.90m,€45.25m
I1,19/09/2004,Bologna,Milan,0.0,2.0,A,0.0,0.0,5.5,3.2,1.61,5.55,3.35,1.6,4.2,3.2,1.7,5.0,3.1,1.66,2004/5,€29.94m,€273.70m
I1,19/09/2004,Fiorentina,Cagliari,2.0,1.0,H,1.0,0.0,1.57,3.4,5.5,1.55,3.4,6.1,1.6,3.3,4.8,1.6,3.0,6.0,2004/5,€111.83m,€23.90m
I1,19/09/2004,Juventus,Atalanta,2.0,0.0,H,1.0,0.0,1.2,5.0,12.0,1.2,5.75,9.0,1.2,5.0,10.0,1.2,5.0,11.0,2004/5,€304.90m,€41.70m
I1,19/09/2004,Lazio,Reggina,1.0,1.0,D,1.0,1.0,1.5,3.4,6.5,1.57,3.2,6.5,1.55,3.4,5.0,1.53,3.25,6.0,2004/5,€77.05m,€29.30m
I1,19/09/2004,Livorno,Chievo,1.0,2.0,A,1.0,0.0,2.37,2.75,3.0,2.3,2.9,3.1,2.3,2.8,2.9,2.3,2.9,2.9,2004/5,€25.00m,€46.28m
I1,19/09/2004,Messina,Roma,4.0,3.0,H,1.0,1.0,3.25,3.0,2.1,3.8,3.05,1.95,3.3,3.0,2.0,3.75,2.9,1.95,2004/5,€32.65m,€201.60m
I1,19/09/2004,Siena,Sampdoria,2.0,1.0,H,1.0,1.0,2.37,2.87,2.87,2.7,2.7,2.8,2.5,2.7,2.8,2.5,2.8,2.75,2004/5,€54.90m,€51.00m
I1,19/09/2004,Udinese,Parma,4.0,0.0,H,1.0,0.0,2.25,3.0,3.4,2.2,2.8,3.45,2.2,2.8,3.1,2.15,2.87,3.25,2004/5,€83.95m,€110.05m
I1,22/09/2004,Atalanta,Inter,2.0,3.0,A,1.0,0.0,4.0,3.2,1.8,4.75,3.3,1.7,4.0,3.0,1.8,4.8,3.0,1.72,2004/5,€41.70m,€240.63m
I1,22/09/2004,Brescia,Lazio,0.0,2.0,A,0.0,2.0,2.62,3.0,2.5,2.9,2.9,2.45,2.7,2.9,2.4,2.37,3.1,2.62,2004/5,€45.25m,€77.05m
I1,22/09/2004,Cagliari,Siena,2.0,0.0,H,1.0,0.0,2.0,2.87,3.75,2.05,2.85,3.9,1.9,3.0,3.6,1.8,3.0,4.2,2004/5,€23.90m,€54.90m
