Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
D1,05/08/2005,Bayern Munich,M'gladbach,H,1.3,5.0,9.5,1.35,4.2,8.0,1.35,4.0,7.5,1.33,4.0,8.0,1.33,4.0,8.0,2005/6,€177.88m,€49.90m,1.35,4.0,8.0
D1,06/08/2005,Duisburg,Stuttgart,D,2.75,3.25,2.25,2.85,3.35,2.2,2.7,3.0,2.3,3.0,3.2,2.1,2.87,3.25,2.15,2005/6,€24.18m,€69.80m,2.7,3.25,2.25
D1,06/08/2005,FC Koln,Mainz,H,2.1,3.25,3.0,1.95,3.3,3.5,1.9,3.1,3.5,2.0,3.2,3.2,1.95,3.25,3.3,2005/6,€43.63m,€37.75m,1.85,3.3,3.6
D1,06/08/2005,Hamburg,Nurnberg,H,1.57,3.4,5.5,1.55,3.7,5.35,1.55,3.5,4.8,1.53,3.4,5.5,1.57,3.5,5.0,2005/6,€106.90m,€52.13m,1.55,3.5,5.0
D1,06/08/2005,Hannover,Hertha,D,2.4,3.2,2.6,2.5,3.15,2.6,2.5,3.0,2.5,2.5,3.25,2.4,2.4,3.25,2.5,2005/6,€45.35m,€72.70m,2.4,3.2,2.5
D1,06/08/2005,Werder Bremen,Bielefeld,H,1.44,3.75,6.5,1.4,4.0,7.2,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.0,2005/6,€111.60m,€32.85m,1.45,3.75,6.0
D1,06/08/2005,Wolfsburg,Dortmund,D,2.37,3.2,2.62,2.5,3.35,2.5,2.4,3.0,2.6,2.37,3.2,2.6,2.3,3.2,2.62,2005/6,€61.38m,€78.53m,2.4,3.2,2.5
D1,07/08/2005,Ein Frankfurt,Leverkusen,A,2.75,3.25,2.25,2.7,3.35,2.3,2.7,3.0,2.3,2.75,3.2,2.25,2.62,3.2,2.3,2005/6,€39.95m,€81.23m,2.6,3.25,2.3
D1,07/08/2005,Schalke 04,Kaiserslautern,H,1.5,3.5,6.0,1.5,3.8,5.8,1.5,3.7,5.0,1.5,3.4,6.0,1.44,3.75,6.0,2005/6,€87.18m,€37.38m,1.55,3.5,5.0
D1,13/08/2005,Bielefeld,Hamburg,A,3.0,3.25,2.1,3.15,3.4,2.05,2.9,3.0,2.2,2.8,3.2,2.2,2.9,3.2,2.15,2005/6,€32.85m,€106.90m,2.7,3.25,2.25
