Season,Date,PSCH,PSCD,PSCA
2012/13,17/08/2012,3.23,3.21,2.47
2012/13,17/08/2012,2.72,3.12,2.98
2012/13,18/08/2012,1.74,3.6,5.63
2012/13,18/08/2012,2.7,3.11,2.95
2012/13,18/08/2012,2.12,3.29,3.89
2012/13,19/08/2012,1.5,4.13,8.31
2012/13,19/08/2012,1.63,3.67,7.21
2012/13,20/08/2012,2.45,2.99,3.54
2012/13,24/08/2012,1.85,3.64,4.76
2012/13,24/08/2012,2.24,3.22,3.7
2012/13,25/08/2012,4.48,3.35,1.96
2012/13,25/08/2012,2.47,3.05,3.36
2012/13,25/08/2012,2.97,3.2,2.62
2012/13,26/08/2012,2.45,3.19,3.24
2012/13,26/08/2012,4.78,3.38,1.93
2012/13,27/08/2012,2.02,3.27,4.05
2012/13,31/08/2012,2.23,3.3,3.65
2012/13,31/08/2012,1.95,3.45,4.47
2012/13,01/09/2012,2.21,3.22,3.74
2012/13,01/09/2012,2.06,3.2,4.32
2012/13,01/09/2012,2.41,3.33,3.18
2012/13,02/09/2012,1.65,3.88,5.98
2012/13,02/09/2012,2.0,3.49,4.09
2012/13,03/09/2012,1.31,5.57,11.22
2012/13,14/09/2012,3.63,3.27,2.22
2012/13,14/09/2012,3.08,3.0,2.68
2012/13,15/09/2012,1.71,3.84,5.18
2012/13,15/09/2012,1.92,3.35,4.72
2012/13,15/09/2012,1.99,3.46,4.21
2012/13,16/09/2012,2.06,3.32,4.2
2012/13,16/09/2012,3.71,3.23,2.21
2012/13,17/09/2012,3.53,3.12,2.34
2012/13,21/09/2012,1.87,3.66,4.59
2012/13,21/09/2012,1.85,3.68,4.71
2012/13,22/09/2012,1.94,3.56,4.32
2012/13,22/09/2012,2.15,3.41,3.77
2012/13,22/09/2012,1.92,3.46,4.68
2012/13,23/09/2012,1.61,3.96,6.56
2012/13,23/09/2012,1.68,3.7,6.37
2012/13,24/09/2012,2.7,3.3,2.81
2012/13,28/09/2012,3.35,3.25,2.35
2012/13,28/09/2012,2.04,3.32,4.3
2012/13,29/09/2012,2.63,3.12,3.04
2012/13,29/09/2012,2.06,3.39,4.01
2012/13,29/09/2012,4.07,3.38,2.04
2012/13,30/09/2012,2.36,3.26,3.39
2012/13,30/09/2012,3.39,3.15,2.43
2012/13,01/10/2012,3.08,3.15,2.56
2012/13,05/10/2012,1.72,3.69,5.74
2012/13,05/10/2012,1.61,4.05,6.37
2012/13,06/10/2012,2.35,3.31,3.3
2012/13,06/10/2012,3.98,3.41,2.06
2012/13,06/10/2012,1.73,3.58,5.76
2012/13,07/10/2012,1.98,3.28,4.55
2012/13,07/10/2012,2.31,3.35,3.32
2012/13,08/10/2012,2.29,3.14,3.71
2012/13,19/10/2012,1.74,3.83,5.33
2012/13,19/10/2012,3.45,3.18,2.37
2012/13,20/10/2012,2.04,3.3,4.3
2012/13,20/10/2012,2.29,3.17,3.69
2012/13,20/10/2012,1.87,3.48,4.86
2012/13,21/10/2012,2.37,3.13,3.47
2012/13,21/10/2012,2.0,3.53,4.04
2012/13,22/10/2012,4.04,3.5,2.0
2012/13,26/10/2012,3.33,3.2,2.39
2012/13,26/10/2012,3.1,3.11,2.58
2012/13,27/10/2012,2.11,3.37,3.84
