Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
N1,12/08/2005,AZ Alkmaar,Sparta Rotterdam,3.0,0.0,H,1.0,0.0,1.36,4.0,7.0,1.4,4.0,6.75,1.45,3.8,5.4,1.4,3.75,7.0,1.36,3.75,8.0,2005/6,€49.50m,€11.38m,1.35,4.0,7.0
N1,13/08/2005,Heracles,PSV Eindhoven,1.0,1.0,D,0.0,0.0,8.0,4.5,1.28,8.25,4.5,1.3,7.0,4.0,1.35,8.0,4.5,1.29,8.0,4.33,1.3,2005/6,€9.75m,€96.65m,8.0,4.6,1.28
N1,13/08/2005,Roda,Twente,2.0,0.0,H,1.0,0.0,2.1,3.2,3.0,2.1,3.3,3.0,1.9,3.1,3.5,2.1,3.2,3.0,1.9,3.3,3.3,2005/6,€25.85m,€22.75m,1.9,3.4,3.25
N1,13/08/2005,Vitesse,Heerenveen,2.0,2.0,D,1.0,0.0,2.0,3.2,3.2,2.15,3.3,2.9,2.2,3.0,2.9,2.0,3.2,3.2,2.2,3.2,2.8,2005/6,€25.75m,€41.08m,2.2,3.4,2.7
N1,13/08/2005,Willem II,Waalwijk,1.0,2.0,A,0.0,1.0,1.83,3.4,3.5,1.85,3.35,3.65,1.85,3.1,3.6,1.83,3.3,3.6,1.9,3.3,3.3,2005/6,€18.58m,€16.67m,1.8,3.4,3.6
N1,14/08/2005,Feyenoord,NAC Breda,2.0,0.0,H,1.0,0.0,1.44,3.75,6.0,1.33,4.4,7.5,1.4,3.9,6.0,1.36,4.0,7.0,1.36,3.75,8.0,2005/6,€76.88m,€18.35m,1.4,4.0,6.0
N1,14/08/2005,Groningen,Roosendaal,1.0,0.0,H,0.0,0.0,1.66,3.4,4.33,1.6,3.6,4.75,1.65,3.3,4.4,1.67,3.4,4.33,1.66,3.4,4.33,2005/6,€13.48m,€10.85m,1.65,3.6,4.0
N1,14/08/2005,Nijmegen,Utrecht,0.0,0.0,D,0.0,0.0,2.0,3.4,3.0,1.95,3.35,3.3,2.2,3.0,2.9,2.1,3.2,3.0,2.2,3.2,2.8,2005/6,€17.88m,€18.45m,2.1,3.4,2.8
N1,19/08/2005,NAC Breda,Willem II,1.0,0.0,H,0.0,0.0,1.9,3.5,3.75,2.0,3.2,3.35,2.0,3.1,3.2,1.91,3.2,3.5,1.9,3.4,3.25,2005/6,€18.35m,€18.58m,2.0,3.25,3.2
N1,20/08/2005,Den Haag,Heracles,1.0,2.0,A,0.0,0.0,1.72,3.4,4.0,1.7,3.3,4.5,1.75,3.2,4.0,1.8,3.25,3.75,1.8,3.4,3.6,2005/6,€17.50m,€9.75m,1.8,3.4,3.75
N1,20/08/2005,Roosendaal,Ajax,0.0,2.0,A,0.0,0.0,8.5,4.5,1.28,8.25,4.5,1.3,7.0,4.0,1.35,8.0,4.0,1.33,8.0,4.5,1.28,2005/6,€10.85m,€87.25m,7.5,4.0,1.35
N1,20/08/2005,Twente,Nijmegen,0.0,1.0,A,0.0,0.0,1.61,3.5,4.5,1.55,3.5,5.5,1.65,3.3,4.4,1.67,3.25,4.5,1.72,3.4,4.0,2005/6,€22.75m,€17.88m,1.65,3.4,4.5
N1,21/08/2005,PSV Eindhoven,Vitesse,2.0,1.0,H,2.0,1.0,1.25,5.0,8.5,1.2,5.5,10.5,1.33,4.0,7.5,1.25,4.5,10.0,1.3,4.33,8.0,2005/6,€96.65m,€25.75m,1.28,4.6,8.0
N1,21/08/2005,Sparta Rotterdam,Feyenoord,1.0,3.0,A,1.0,1.0,5.5,3.6,1.5,5.5,3.5,1.55,5.0,3.7,1.5,5.0,3.25,1.62,5.0,3.5,1.57,2005/6,€11.38m,€76.88m,5.0,3.8,1.53
