Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
T1,05/08/2005,Genclerbirligi,Fenerbahce,D,5.0,3.6,1.57,5.0,3.5,1.6,3.6,3.1,1.85,4.33,3.5,1.67,4.33,3.4,1.66,2005/6,€25.68m,€73.00m,4.0,3.4,1.75
T1,12/08/2005,Ankaragucu,Galatasaray,A,5.0,3.6,1.53,7.0,3.9,1.4,4.8,3.5,1.55,4.33,3.4,1.67,5.5,3.5,1.53,2005/6,€27.16m,€64.95m,4.5,3.5,1.6
T1,13/08/2005,Fenerbahce,Diyarbakirspor,D,1.14,6.0,12.0,1.08,7.5,19.0,1.2,5.0,10.0,1.2,5.0,11.0,1.14,6.0,12.0,2005/6,€73.00m,€21.98m,1.14,6.5,10.0
T1,13/08/2005,Gaziantepspor,Sivasspor,D,1.61,3.5,4.5,1.55,3.5,5.5,1.6,3.4,4.6,1.67,3.5,4.33,1.7,3.4,4.1,2005/6,€32.20m,€21.15m,1.55,3.5,5.0
T1,13/08/2005,Malatyaspor,Manisaspor,A,1.66,3.3,4.5,1.65,3.5,4.5,1.7,3.2,4.2,1.73,3.4,4.0,1.7,3.4,4.2,2005/6,€25.08m,€22.87m,1.6,3.5,4.5
T1,13/08/2005,Rizespor,Samsunspor,A,1.9,3.2,3.5,1.85,3.25,3.75,1.9,3.1,3.5,2.0,3.2,3.25,1.9,3.2,3.5,2005/6,€17.42m,€25.79m,1.9,3.25,3.4
T1,14/08/2005,Ankaraspor,Genclerbirligi,D,2.25,3.2,2.75,2.3,3.25,2.7,2.4,3.0,2.6,2.2,3.2,2.8,2.3,3.2,2.65,2005/6,€32.53m,€25.68m,2.3,3.1,2.7
T1,14/08/2005,Besiktas,Denizlispor,H,1.22,5.0,9.0,1.2,5.5,10.5,1.3,4.2,8.0,1.29,4.5,8.5,1.25,5.0,8.0,2005/6,€69.65m,€29.21m,1.28,4.5,8.0
T1,14/08/2005,Kayserispor,Erciyesspor,A,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.0,2.7,2.1,3.2,3.0,2.3,3.1,2.75,2005/6,€23.43m,€22.76m,2.2,3.1,2.9
T1,14/08/2005,Konyaspor,Trabzonspor,D,3.5,3.4,1.83,4.0,3.45,1.75,3.8,3.1,1.8,3.5,3.25,1.91,3.25,3.4,1.9,2005/6,€28.52m,€64.14m,3.4,3.25,1.9
T1,20/08/2005,Samsunspor,Sivasspor,A,1.83,3.25,3.6,1.7,3.3,4.5,1.85,3.1,3.6,1.83,3.4,3.5,1.85,3.25,3.6,2005/6,€25.79m,€21.15m,1.85,3.25,3.6
T1,21/08/2005,Diyarbakirspor,Ankaraspor,A,2.25,3.2,2.75,2.2,3.35,2.8,2.3,3.0,2.7,2.25,3.2,2.75,2.2,3.25,2.75,2005/6,€21.98m,€32.53m,2.3,3.2,2.65
T1,21/08/2005,Erciyesspor,Konyaspor,D,2.1,3.3,2.87,2.3,3.35,2.65,2.1,3.0,3.1,2.2,3.25,2.8,2.15,3.2,2.9,2005/6,€22.76m,€28.52m,2.2,3.25,2.75
T1,21/08/2005,Galatasaray,Malatyaspor,H,1.16,5.5,11.0,1.1,7.5,14.0,1.2,5.0,10.0,1.22,5.0,10.0,1.14,6.0,12.0,2005/6,€64.95m,€25.08m,1.17,5.5,12.0
T1,21/08/2005,Manisaspor,Gaziantepspor,A,2.25,3.2,2.75,2.25,3.2,2.8,2.3,3.0,2.7,2.25,3.2,2.75,2.3,3.25,2.6,2005/6,€22.87m,€32.20m,2.2,3.1,2.9
T1,21/08/2005,Rizespor,Fenerbahce,A,6.0,3.75,1.44,7.0,3.9,1.4,4.8,3.5,1.55,6.5,3.6,1.44,5.5,3.6,1.5,2005/6,€17.42m,€73.00m,7.5,3.75,1.4
T1,26/08/2005,Gaziantepspor,Galatasaray,D,4.0,3.4,1.72,4.5,3.5,1.65,4.0,3.2,1.75,4.5,3.6,1.62,4.33,3.4,1.66,2005/6,€32.20m,€64.95m,4.35,3.2,1.75
T1,27/08/2005,Ankaraspor,Rizespor,D,1.66,3.3,4.5,1.6,3.5,4.9,1.7,3.2,4.2,1.57,3.6,5.0,1.65,3.4,4.5,2005/6,€32.53m,€17.42m,1.65,3.4,4.5
T1,27/08/2005,Fenerbahce,Samsunspor,H,1.16,5.5,12.0,1.12,7.0,13.0,1.2,5.0,10.0,1.17,5.5,12.0,1.14,6.5,10.0,2005/6,€73.00m,€25.79m,1.17,5.5,13.0
T1,27/08/2005,Konyaspor,Denizlispor,H,1.9,3.2,3.5,1.9,3.35,3.45,2.0,3.1,3.2,1.83,3.4,3.5,1.8,3.3,3.75,2005/6,€28.52m,€29.21m,1.9,3.25,3.5
T1,27/08/2005,Sivasspor,Manisaspor,H,2.1,3.2,3.0,2.0,3.3,3.25,2.2,3.1,2.8,2.1,3.2,3.0,2.1,3.3,2.9,2005/6,€21.15m,€22.87m,2.1,3.2,3.0
T1,28/08/2005,Ankaragucu,Erciyesspor,A,2.1,3.2,3.0,2.1,3.25,3.05,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.3,2.9,2005/6,€27.16m,€22.76m,2.1,3.25,3.1
T1,28/08/2005,Besiktas,Diyarbakirspor,D,1.2,5.5,9.0,1.15,6.5,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.22,5.0,9.5,2005/6,€69.65m,€21.98m,1.2,5.5,9.0
T1,28/08/2005,Kayserispor,Genclerbirligi,H,2.3,3.2,2.62,2.25,3.2,2.8,2.3,3.0,2.7,2.25,3.25,2.75,2.3,3.3,2.6,2005/6,€23.43m,€25.68m,2.35,3.0,2.75
T1,28/08/2005,Malatyaspor,Trabzonspor,D,4.0,3.4,1.72,4.9,3.5,1.6,4.0,3.2,1.75,4.33,3.5,1.67,4.2,3.4,1.7,2005/6,€25.08m,€64.14m,4.0,3.4,1.75
