Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
B1,05/08/2005,Club Brugge,Mouscron,2.0,0.0,H,2.0,0.0,1.25,4.5,10.0,1.25,5.0,9.0,1.35,4.0,7.0,1.25,4.5,10.0,1.2,5.0,11.0,2005/6,€50.60m,€14.65m,1.22,5.0,9.0
B1,06/08/2005,Anderlecht,Louvieroise,6.0,0.0,H,3.0,0.0,1.25,4.5,10.0,1.25,5.0,9.0,1.25,4.5,9.0,1.2,5.0,11.0,1.22,5.0,9.5,2005/6,€71.95m,€11.80m,1.22,5.0,9.0
B1,06/08/2005,Beveren,FC Brussels,0.0,2.0,A,0.0,1.0,2.0,3.2,3.2,2.1,3.25,3.05,2.1,3.0,3.1,2.25,3.2,2.75,2.05,3.2,3.1,2005/6,€16.75m,€14.25m,2.1,3.4,2.8
B1,06/08/2005,Gent,Waregem,1.0,3.0,A,1.0,1.0,1.44,3.75,6.5,1.4,4.0,6.75,1.55,3.5,4.8,1.5,3.6,5.5,1.4,3.75,7.0,2005/6,€22.35m,€10.88m,1.45,3.6,6.5
B1,06/08/2005,Lokeren,Genk,1.0,1.0,D,0.0,0.0,2.75,3.2,2.25,2.9,3.2,2.2,2.9,3.0,2.2,2.5,3.25,2.4,2.62,3.3,2.25,2005/6,€23.40m,€35.15m,2.6,3.4,2.25
B1,06/08/2005,St Truiden,Roeselare,1.0,0.0,H,1.0,0.0,1.5,3.6,5.5,1.45,3.8,6.25,1.55,3.5,4.8,1.5,3.6,5.5,1.53,3.5,5.5,2005/6,€13.90m,€9.28m,1.55,3.5,5.0
B1,06/08/2005,Westerlo,Cercle Brugge,2.0,0.0,H,2.0,0.0,1.9,3.25,3.4,1.95,3.25,3.45,1.85,3.1,3.6,1.8,3.25,3.75,1.83,3.4,3.5,2005/6,€17.55m,€12.00m,1.8,3.4,3.6
B1,07/08/2005,Charleroi,Germinal,2.0,0.0,H,0.0,0.0,1.83,3.2,3.75,1.8,3.4,3.8,1.9,3.1,3.5,1.8,3.25,3.75,1.8,3.4,3.6,2005/6,€15.10m,€23.18m,1.65,3.6,4.0
B1,12/08/2005,Louvieroise,Gent,1.0,1.0,D,0.0,1.0,2.3,3.25,2.62,2.3,3.2,2.75,2.3,3.0,2.7,2.38,3.2,2.6,2.4,3.4,2.4,2005/6,€11.80m,€22.35m,2.4,3.4,2.4
B1,13/08/2005,FC Brussels,Club Brugge,1.0,1.0,D,1.0,1.0,5.0,3.6,1.53,5.5,3.5,1.55,4.8,3.5,1.55,5.5,3.6,1.5,5.75,3.5,1.5,2005/6,€14.25m,€50.60m,5.5,3.6,1.5
B1,13/08/2005,Germinal,Westerlo,0.0,1.0,A,0.0,0.0,1.9,3.2,3.5,1.9,3.25,3.6,1.9,3.1,3.5,1.91,3.25,3.4,1.95,3.4,3.2,2005/6,€23.18m,€17.55m,1.9,3.4,3.25
