Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
SP1,27/08/2005,Alaves,Barcelona,D,7.0,3.75,1.5,7.0,3.7,1.45,5.4,3.5,1.5,6.5,3.6,1.44,6.0,3.4,1.5,2005/6,€34.83m,€327.50m,6.5,3.75,1.45
SP1,27/08/2005,Valencia,Betis,H,2.0,3.25,3.25,1.75,3.3,4.4,1.9,3.0,3.6,1.91,3.2,3.5,1.95,3.1,3.5,2005/6,€213.55m,€85.95m,1.85,3.25,3.75
SP1,28/08/2005,Ath Madrid,Zaragoza,D,1.72,3.4,4.0,1.65,3.4,4.9,1.7,3.1,4.4,1.67,3.25,4.5,1.7,3.2,4.5,2005/6,€134.15m,€66.55m,1.65,3.4,4.5
SP1,28/08/2005,Cadiz,Real Madrid,A,7.5,4.0,1.44,8.0,4.25,1.35,5.4,3.5,1.5,6.5,4.0,1.4,6.5,3.6,1.44,2005/6,€22.15m,€281.60m,6.5,3.6,1.45
SP1,28/08/2005,Celta,Malaga,H,2.1,3.25,3.0,2.1,3.1,3.3,2.1,2.9,3.2,2.1,3.2,3.0,2.15,3.1,3.0,2005/6,€48.30m,€28.03m,2.0,3.2,3.25
SP1,28/08/2005,Espanol,Getafe,A,1.61,3.4,5.0,1.65,3.5,4.75,1.7,3.1,4.4,1.67,3.2,5.0,1.66,3.3,4.5,2005/6,€58.98m,€36.38m,1.6,3.3,5.0
SP1,28/08/2005,Mallorca,La Coruna,A,2.7,3.2,2.3,2.65,3.1,2.5,2.3,3.0,2.7,2.6,3.2,2.38,2.37,3.1,2.62,2005/6,€42.15m,€133.80m,2.5,3.1,2.5
SP1,28/08/2005,Osasuna,Villarreal,H,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.75,3.2,2.25,2.75,3.2,2.25,2005/6,€40.70m,€82.00m,2.9,3.0,2.25
SP1,28/08/2005,Sevilla,Santander,H,1.66,3.4,4.5,1.65,3.5,4.7,1.6,3.3,4.8,1.67,3.2,5.0,1.57,3.3,5.5,2005/6,€96.85m,€30.35m,1.6,3.3,5.0
SP1,10/09/2005,Betis,Osasuna,H,1.66,3.4,4.5,1.65,3.35,5.0,1.75,3.2,4.0,1.67,3.25,4.5,1.61,3.3,5.0,2005/6,€85.95m,€40.70m,1.65,3.3,4.6
SP1,10/09/2005,La Coruna,Ath Madrid,H,2.0,3.25,3.25,2.15,3.1,3.2,2.0,3.1,3.2,2.0,3.2,3.2,2.0,3.1,3.3,2005/6,€133.80m,€134.15m,1.9,3.2,3.6
SP1,10/09/2005,Real Madrid,Celta,A,1.25,5.0,9.0,1.2,5.5,11.5,1.25,4.5,9.0,1.2,5.0,11.0,1.2,5.0,11.0,2005/6,€281.60m,€48.30m,1.25,4.5,10.0
SP1,11/09/2005,Barcelona,Mallorca,H,1.2,5.0,12.0,1.2,5.5,11.5,1.25,4.5,9.0,1.17,5.5,12.0,1.2,5.0,11.0,2005/6,€327.50m,€42.15m,1.18,5.5,11.0
SP1,11/09/2005,Getafe,Ath Bilbao,D,2.3,3.2,2.7,2.4,3.15,2.7,2.3,3.0,2.7,2.25,3.2,2.75,2.25,3.1,2.8,2005/6,€36.38m,€47.23m,2.3,3.1,2.75
SP1,11/09/2005,Malaga,Espanol,A,2.1,3.25,3.0,2.2,3.05,3.15,2.2,3.0,2.9,2.0,3.2,3.2,2.0,3.2,3.2,2005/6,€28.03m,€58.98m,2.2,3.1,2.9
SP1,11/09/2005,Santander,Cadiz,A,1.9,3.25,3.5,1.9,3.1,3.95,1.9,3.1,3.5,1.73,3.2,4.33,1.83,3.2,3.75,2005/6,€30.35m,€22.15m,1.84,3.2,3.75
SP1,11/09/2005,Sociedad,Alaves,H,1.9,3.25,3.5,1.8,3.25,4.2,1.8,3.1,3.8,1.8,3.2,4.0,1.9,3.1,3.6,2005/6,€53.83m,€34.83m,1.84,3.25,3.75
SP1,11/09/2005,Villarreal,Sevilla,D,1.8,3.25,4.0,1.85,3.2,4.0,1.8,3.1,3.8,1.83,3.2,3.75,1.9,3.2,3.5,2005/6,€82.00m,€96.85m,1.84,3.25,3.75
SP1,11/09/2005,Zaragoza,Valencia,D,2.5,3.2,2.5,2.5,3.15,2.6,2.5,3.0,2.5,2.6,3.2,2.38,2.4,3.1,2.6,2005/6,€66.55m,€213.55m,2.6,3.0,2.5
SP1,17/09/2005,Mallorca,Sociedad,H,2.3,3.2,3.0,2.3,3.1,2.9,2.2,3.0,2.9,2.38,3.2,2.6,2.15,3.1,3.0,2005/6,€42.15m,€53.83m,2.25,3.2,2.8
SP1,17/09/2005,Valencia,La Coruna,D,2.0,3.2,3.75,1.8,3.25,4.15,1.9,3.1,3.5,1.83,3.0,4.0,1.83,3.2,3.75,2005/6,€213.55m,€133.80m,1.8,3.25,4.0
SP1,18/09/2005,Alaves,Getafe,A,2.2,3.25,3.2,2.1,3.1,3.3,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.1,3.3,2005/6,€34.83m,€36.38m,2.1,3.2,3.0
SP1,18/09/2005,Ath Bilbao,Malaga,A,1.72,3.3,5.0,1.7,3.35,4.65,1.75,3.2,4.0,1.62,3.25,5.0,1.66,3.3,4.5,2005/6,€47.23m,€28.03m,1.73,3.4,4.0
SP1,18/09/2005,Ath Madrid,Barcelona,H,3.75,3.2,2.0,3.65,3.15,1.95,3.2,3.1,2.0,4.33,3.2,1.73,3.1,3.1,2.1,2005/6,€134.15m,€327.50m,3.6,3.4,1.84
SP1,18/09/2005,Betis,Zaragoza,D,1.8,3.3,4.5,1.7,3.25,4.85,1.75,3.2,4.0,1.73,3.2,4.33,1.72,3.2,4.33,2005/6,€85.95m,€66.55m,1.75,3.2,4.5
SP1,18/09/2005,Cadiz,Villarreal,D,3.0,3.2,2.3,3.5,3.15,2.0,2.6,3.0,2.4,2.8,3.2,2.2,2.75,3.1,2.3,2005/6,€22.15m,€82.00m,2.8,3.2,2.2
SP1,18/09/2005,Celta,Santander,A,1.8,3.4,4.5,1.8,3.25,4.15,1.85,3.1,3.6,1.62,3.25,5.0,1.72,3.2,4.33,2005/6,€48.30m,€30.35m,1.7,3.25,4.5
SP1,18/09/2005,Espanol,Real Madrid,H,4.0,3.3,1.9,4.15,3.2,1.8,3.5,3.1,1.9,3.75,3.25,1.8,3.75,3.3,1.8,2005/6,€58.98m,€281.60m,3.6,3.4,1.84
SP1,18/09/2005,Osasuna,Sevilla,H,2.5,3.2,2.75,2.7,3.0,2.5,2.4,3.0,2.6,2.5,3.2,2.5,2.37,3.1,2.62,2005/6,€40.70m,€96.85m,2.4,3.25,2.5
SP1,21/09/2005,Barcelona,Valencia,D,1.57,3.6,6.0,1.5,3.6,6.25,1.55,3.5,4.8,1.53,3.5,5.5,1.61,3.3,5.0,2005/6,€327.50m,€213.55m,1.5,3.5,6.0
SP1,21/09/2005,Getafe,Mallorca,D,1.9,3.25,4.0,1.8,3.4,3.95,1.9,3.1,3.5,1.8,3.25,3.75,1.9,3.25,3.4,2005/6,€36.38m,€42.15m,1.85,3.25,3.75
SP1,21/09/2005,La Coruna,Betis,D,2.0,3.3,3.5,2.0,3.15,3.5,2.0,3.1,3.2,2.1,3.0,3.2,1.95,3.1,3.5,2005/6,€133.80m,€85.95m,2.0,3.1,3.4
SP1,21/09/2005,Malaga,Alaves,D,1.83,3.3,4.33,2.0,3.15,3.5,1.9,3.1,3.5,1.91,3.2,3.5,1.72,3.3,4.2,2005/6,€28.03m,€34.83m,1.85,3.25,3.75
SP1,21/09/2005,Santander,Espanol,H,2.3,3.25,2.87,2.4,3.05,2.8,2.4,3.0,2.6,2.38,3.2,2.6,2.3,3.2,2.62,2005/6,€30.35m,€58.98m,2.4,3.1,2.6
SP1,21/09/2005,Sevilla,Cadiz,D,1.57,3.6,6.0,1.55,3.5,5.75,1.6,3.4,4.6,1.5,3.4,6.0,1.5,3.4,6.0,2005/6,€96.85m,€22.15m,1.55,3.3,5.5
SP1,21/09/2005,Sociedad,Ath Madrid,H,2.37,3.2,2.8,2.7,3.0,2.5,2.5,3.0,2.5,2.25,3.2,2.75,2.25,3.2,2.75,2005/6,€53.83m,€134.15m,2.4,3.2,2.65
SP1,21/09/2005,Villarreal,Celta,A,1.66,3.6,5.0,1.7,3.3,4.75,1.75,3.2,4.0,1.73,3.2,4.33,1.66,3.3,4.5,2005/6,€82.00m,€48.30m,1.65,3.25,5.0
