Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HY,AY,HR,AR,VCH,VCD,VCA,HC,AC,HF,AF,PSCH,PSCD,PSCA
F1,10/08/2012,Montpellier,Toulouse,1.0,1.0,D,1.0,0.0,H,1.83,3.4,4.5,1.78,3.4,4.6,1.78,3.4,4.6,1.73,3.2,4.5,2012/13,€78.70m,€82.00m,9.0,12.0,2.0,3.0,1.0,1.0,1.0,2.0,1.87,3.4,5.0,2.0,5.0,18.0,25.0,2.15,3.17,4.16
F1,11/08/2012,Evian Thonon Gaillard,Bordeaux,2.0,3.0,A,1.0,2.0,A,2.75,3.2,2.6,2.8,3.1,2.55,2.8,3.1,2.55,2.5,3.2,2.5,2012/13,€34.55m,€80.95m,9.0,12.0,3.0,9.0,3.0,3.0,0.0,0.0,2.9,3.25,2.62,5.0,6.0,11.0,11.0,3.29,3.13,2.52
F1,11/08/2012,Nancy,Brest,1.0,0.0,H,0.0,0.0,D,2.1,3.2,3.6,2.15,3.0,3.7,2.15,3.0,3.7,2.1,3.0,3.4,2012/13,€36.85m,€36.10m,11.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,2.15,3.2,4.0,11.0,3.0,23.0,22.0,1.89,3.34,5.19
F1,11/08/2012,Nice,Ajaccio,0.0,1.0,A,0.0,1.0,A,1.91,3.25,4.33,1.9,3.25,4.25,1.9,3.25,4.25,1.83,3.2,3.75,2012/13,€59.15m,€34.10m,8.0,3.0,2.0,2.0,2.0,4.0,0.0,1.0,1.98,3.3,4.6,7.0,2.0,15.0,18.0,2.19,3.18,4.01
F1,11/08/2012,Paris SG,Lorient,2.0,2.0,D,0.0,2.0,A,1.33,4.75,10.0,1.3,4.75,10.5,1.3,4.75,10.5,1.33,4.0,8.0,2012/13,€313.60m,€63.75m,20.0,12.0,9.0,6.0,1.0,1.0,0.0,1.0,1.33,4.5,11.5,9.0,2.0,11.0,12.0,1.37,5.18,10.5
F1,11/08/2012,Stade Rennais FC,Lyon,0.0,1.0,A,0.0,1.0,A,2.5,3.0,3.0,2.55,3.1,2.8,2.55,3.1,2.8,2.5,3.0,2.62,2012/13,€97.80m,€155.65m,6.0,9.0,1.0,2.0,0.0,5.0,1.0,0.0,2.55,3.25,3.0,4.0,2.0,9.0,16.0,2.06,3.31,4.23
F1,11/08/2012,Sochaux,Bastia,2.0,3.0,A,1.0,0.0,H,2.2,3.2,3.4,2.25,3.1,3.3,2.25,3.1,3.3,2.0,3.0,3.4,2012/13,€46.85m,€36.05m,10.0,10.0,5.0,7.0,1.0,2.0,0.0,0.0,2.38,3.2,3.4,4.0,5.0,13.0,24.0,3.05,3.04,2.76
F1,11/08/2012,St Etienne,Lille,1.0,2.0,A,0.0,0.0,D,3.0,3.0,2.5,3.1,3.1,2.35,3.1,3.1,2.35,3.1,3.0,2.2,2012/13,€97.60m,€114.60m,9.0,10.0,4.0,4.0,2.0,2.0,0.0,0.0,3.12,3.1,2.55,3.0,1.0,23.0,12.0,2.99,3.3,2.61
F1,11/08/2012,Troyes,Valenciennes,0.0,1.0,A,0.0,1.0,A,2.4,3.1,3.1,2.45,3.0,3.0,2.45,3.0,3.0,2.38,3.0,2.88,2012/13,€21.80m,€49.75m,12.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,2.6,3.1,3.12,5.0,2.0,9.0,8.0,2.5,3.16,3.29
F1,12/08/2012,Reims,Marseille,0.0,1.0,A,0.0,0.0,D,3.5,3.1,2.2,3.6,3.2,2.1,3.6,3.2,2.1,3.5,3.0,2.0,2012/13,€29.50m,€150.65m,14.0,17.0,4.0,8.0,2.0,1.0,0.0,0.0,3.6,3.25,2.25,10.0,7.0,13.0,8.0,3.6,3.35,2.25
F1,17/08/2012,Lille,Nancy,1.0,1.0,D,1.0,1.0,D,1.44,4.0,8.0,1.44,4.2,7.25,1.44,4.2,7.25,1.4,4.33,8.5,2012/13,€114.60m,€36.85m,12.0,5.0,4.0,1.0,2.0,2.0,0.0,1.0,1.45,4.4,9.0,0.0,2.0,18.0,18.0,1.51,4.21,8.42
F1,18/08/2012,Bastia,Reims,2.0,1.0,H,0.0,1.0,A,1.7,3.5,5.25,1.7,3.4,5.25,1.7,3.4,5.25,1.67,3.1,5.0,2012/13,€36.05m,€29.50m,9.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.73,3.6,5.75,7.0,2.0,13.0,14.0,1.7,3.65,6.35
F1,18/08/2012,Brest,Evian Thonon Gaillard,1.0,0.0,H,0.0,0.0,D,2.38,3.0,3.2,2.35,3.0,3.2,2.35,3.0,3.2,2.25,2.8,3.1,2012/13,€36.10m,€34.55m,15.0,8.0,4.0,3.0,2.0,3.0,0.0,0.0,2.5,3.12,3.25,10.0,8.0,12.0,15.0,2.54,3.08,3.29
F1,18/08/2012,Lorient,Montpellier,2.0,1.0,H,0.0,1.0,A,2.7,3.0,2.75,2.8,3.2,2.65,2.8,3.2,2.65,2.6,3.0,2.5,2012/13,€63.75m,€78.70m,12.0,6.0,3.0,4.0,1.0,3.0,0.0,0.0,2.75,3.1,2.9,4.0,4.0,8.0,17.0,3.02,3.21,2.65
F1,18/08/2012,Lyon,Troyes,4.0,1.0,H,0.0,0.0,D,1.44,4.2,7.5,1.44,4.1,7.5,1.44,4.1,7.5,1.4,3.8,7.0,2012/13,€155.65m,€21.80m,24.0,6.0,10.0,2.0,2.0,0.0,0.0,1.0,1.44,4.6,9.0,10.0,3.0,16.0,12.0,1.45,4.51,9.05
F1,18/08/2012,Toulouse,St Etienne,2.0,1.0,H,1.0,0.0,H,2.15,3.0,3.75,2.15,3.1,3.5,2.15,3.1,3.5,2.1,2.8,3.4,2012/13,€82.00m,€97.60m,9.0,11.0,7.0,5.0,3.0,2.0,0.0,0.0,2.2,3.1,4.0,4.0,4.0,14.0,12.0,2.35,3.22,3.48
