Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,14/08/2004,Aston Villa,Southampton,2.0,0.0,H,2.0,0.0,H,U Rennie,14.0,6.0,5.0,2.0,14.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,1.9,3.1,4.33,1.9,3.25,4.0,2.0,3.25,3.5,1.73,3.2,4.33,,,,,,
E0,14/08/2004,Blackburn,West Brom,1.0,1.0,D,0.0,1.0,A,C Foy,12.0,4.0,4.0,2.0,15.0,17.0,4.0,5.0,1.0,0.0,0.0,0.0,1.8,3.1,5.0,1.8,3.25,4.5,1.77,3.3,4.75,1.67,3.25,4.5,,,,,,
E0,14/08/2004,Bolton,Charlton,4.0,1.0,H,2.0,0.0,H,P Dowd,21.0,9.0,11.0,5.0,10.0,12.0,9.0,5.0,1.0,1.0,0.0,0.0,2.25,3.2,3.1,2.1,3.2,3.3,2.25,3.2,3.1,2.2,3.0,3.0,,,,,,
E0,14/08/2004,Man City,Fulham,1.0,1.0,D,1.0,0.0,H,M Messias,12.0,4.0,5.0,2.0,14.0,12.0,9.0,4.0,0.0,2.0,0.0,0.0,2.1,3.25,3.4,2.1,3.2,3.3,2.1,3.25,3.25,2.1,3.2,3.0,,,,,,
E0,14/08/2004,Middlesbrough,Newcastle,2.0,2.0,D,0.0,1.0,A,S Bennett,15.0,11.0,8.0,4.0,16.0,13.0,6.0,7.0,3.0,1.0,0.0,0.0,2.3,3.25,3.0,2.4,3.2,2.7,2.35,3.15,2.95,2.25,3.2,2.75,,,,,,
E0,14/08/2004,Norwich,Crystal Palace,1.0,1.0,D,1.0,0.0,H,P Walton,14.0,14.0,10.0,8.0,14.0,16.0,6.0,11.0,0.0,1.0,0.0,0.0,2.1,3.25,3.4,2.1,3.2,3.3,2.15,3.2,3.2,1.91,3.2,3.5,,,,,,
E0,14/08/2004,Portsmouth,Birmingham,1.0,1.0,D,1.0,1.0,D,H Webb,14.0,16.0,8.0,11.0,13.0,16.0,8.0,4.0,2.0,4.0,0.0,0.0,2.4,3.2,2.87,2.25,3.2,3.0,2.45,3.2,2.8,2.38,3.2,2.6,,,,,,
E0,14/08/2004,Tottenham,Liverpool,1.0,1.0,D,0.0,1.0,A,D Gallagher,14.0,16.0,7.0,8.0,17.0,11.0,3.0,8.0,3.0,1.0,0.0,0.0,3.1,3.2,2.25,3.0,3.2,2.25,2.75,3.2,2.4,2.75,3.2,2.25,,,,,,
E0,15/08/2004,Chelsea,Man United,1.0,0.0,H,1.0,0.0,H,G Poll,8.0,11.0,5.0,3.0,17.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,2.1,3.25,3.4,2.15,3.1,3.2,2.1,3.25,3.35,2.1,3.2,3.0,,,,,,
E0,15/08/2004,Everton,Arsenal,1.0,4.0,A,0.0,2.0,A,M Riley,9.0,18.0,5.0,14.0,14.0,19.0,0.0,7.0,2.0,1.0,0.0,0.0,6.0,3.4,1.61,5.0,3.4,1.7,4.75,3.3,1.77,5.0,3.25,1.62,,,,,,
E0,21/08/2004,Birmingham,Chelsea,0.0,1.0,A,0.0,0.0,D,B Knight,9.0,7.0,3.0,3.0,10.0,16.0,8.0,2.0,0.0,0.0,0.0,0.0,4.5,3.2,1.83,4.25,3.4,1.75,4.5,3.25,1.83,4.33,3.2,1.73,,,,,,
E0,21/08/2004,Charlton,Portsmouth,2.0,1.0,H,1.0,0.0,H,A Wiley,18.0,10.0,14.0,6.0,9.0,11.0,5.0,6.0,0.0,1.0,0.0,0.0,2.0,3.2,3.75,1.9,3.25,3.75,2.05,3.3,3.5,1.8,3.25,3.75,,,,,,
E0,21/08/2004,Crystal Palace,Everton,1.0,3.0,A,1.0,1.0,D,M Clattenburg,15.0,14.0,9.0,7.0,6.0,18.0,6.0,6.0,1.0,1.0,0.0,1.0,2.3,3.25,3.0,2.25,3.1,3.0,2.35,3.2,2.95,2.2,3.2,2.8,,,,,,
E0,21/08/2004,Fulham,Bolton,2.0,0.0,H,1.0,0.0,H,R Styles,23.0,10.0,12.0,4.0,11.0,13.0,8.0,4.0,0.0,0.0,0.0,0.0,2.25,3.2,3.1,2.2,3.2,3.0,2.25,3.2,3.1,2.1,3.2,3.0,,,,,,
E0,21/08/2004,Liverpool,Man City,2.0,1.0,H,0.0,1.0,A,G Poll,15.0,7.0,10.0,4.0,9.0,17.0,8.0,3.0,1.0,3.0,0.0,1.0,1.57,3.5,6.5,1.6,3.5,5.25,1.61,3.5,5.75,1.57,3.25,5.5,,,,,,
E0,21/08/2004,Man United,Norwich,2.0,1.0,H,1.0,0.0,H,N Barry,17.0,7.0,7.0,2.0,8.0,23.0,11.0,5.0,0.0,1.0,0.0,0.0,1.25,5.0,13.0,1.25,5.0,10.0,1.31,4.75,9.5,1.22,5.0,10.0,,,,,,
E0,21/08/2004,Newcastle,Tottenham,0.0,1.0,A,0.0,0.0,D,M Dean,13.0,15.0,6.0,8.0,10.0,12.0,13.0,3.0,1.0,2.0,0.0,0.0,1.66,3.4,5.5,1.7,3.45,4.45,1.73,3.3,5.0,1.62,3.25,5.0,,,,,,
E0,21/08/2004,Southampton,Blackburn,3.0,2.0,H,1.0,0.0,H,A D'Urso,13.0,10.0,7.0,6.0,12.0,18.0,3.0,6.0,0.0,3.0,0.0,0.0,2.3,3.25,3.0,2.2,3.2,3.0,2.3,3.2,3.0,2.1,3.2,3.0,,,,,,
E0,22/08/2004,Arsenal,Middlesbrough,5.0,3.0,H,1.0,1.0,D,S Dunn,16.0,9.0,11.0,5.0,8.0,14.0,7.0,5.0,1.0,1.0,0.0,0.0,1.36,4.33,9.0,1.35,4.0,9.0,1.36,4.25,9.0,1.25,4.5,10.0,,,,,,
E0,22/08/2004,West Brom,Aston Villa,1.0,1.0,D,1.0,1.0,D,M Halsey,14.0,9.0,5.0,4.0,12.0,20.0,12.0,4.0,2.0,2.0,0.0,0.0,2.87,3.2,2.4,2.65,3.1,2.5,2.8,3.2,2.45,2.88,3.0,2.25,,,,,,
E0,24/08/2004,Birmingham,Man City,1.0,0.0,H,1.0,0.0,H,P Dowd,6.0,4.0,2.0,1.0,20.0,13.0,2.0,5.0,1.0,1.0,0.0,0.0,1.9,3.1,4.33,1.95,3.25,3.6,1.93,3.25,3.95,1.91,3.2,3.5,,,,,,
E0,24/08/2004,Crystal Palace,Chelsea,0.0,2.0,A,0.0,1.0,A,C Foy,7.0,16.0,4.0,10.0,9.0,12.0,1.0,6.0,1.0,1.0,0.0,0.0,8.5,3.75,1.44,7.5,3.6,1.45,7.5,3.75,1.47,6.5,3.6,1.44,,,,,,
E0,25/08/2004,Arsenal,Blackburn,3.0,0.0,H,0.0,0.0,D,N Barry,15.0,3.0,9.0,0.0,11.0,18.0,6.0,5.0,2.0,4.0,0.0,0.0,1.28,5.0,10.0,1.25,5.0,10.0,1.3,4.8,10.0,1.22,5.0,10.0,,,,,,
E0,25/08/2004,Charlton,Aston Villa,3.0,0.0,H,2.0,0.0,H,H Webb,7.0,9.0,5.0,4.0,6.0,7.0,4.0,12.0,0.0,1.0,0.0,0.0,2.5,3.2,2.75,2.4,3.2,2.7,2.35,3.2,2.95,2.5,3.2,2.5,,,,,,
E0,25/08/2004,Fulham,Middlesbrough,0.0,2.0,A,0.0,0.0,D,D Gallagher,6.0,10.0,2.0,5.0,10.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,2.5,3.2,2.75,2.3,3.25,2.8,2.4,3.2,2.85,2.2,3.25,2.75,,,,,,
E0,25/08/2004,Newcastle,Norwich,2.0,2.0,D,1.0,0.0,H,M Halsey,23.0,13.0,15.0,5.0,17.0,10.0,12.0,6.0,0.0,1.0,0.0,0.0,1.44,4.0,7.5,1.45,3.7,7.0,1.51,3.5,7.5,1.44,3.6,6.5,,,,,,
E0,25/08/2004,Southampton,Bolton,1.0,2.0,A,0.0,2.0,A,S Dunn,10.0,9.0,6.0,5.0,9.0,8.0,9.0,6.0,1.0,1.0,0.0,0.0,2.25,3.2,3.1,2.1,3.2,3.2,2.35,3.2,2.95,2.2,3.25,2.75,,,,,,
E0,25/08/2004,West Brom,Tottenham,1.0,1.0,D,1.0,1.0,D,B Knight,4.0,12.0,2.0,6.0,13.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,2.75,3.2,2.5,2.5,3.25,2.55,2.85,3.2,2.4,2.5,3.25,2.4,,,,,,
E0,28/08/2004,Aston Villa,Newcastle,4.0,2.0,H,1.0,2.0,A,M Riley,16.0,12.0,13.0,10.0,23.0,11.0,9.0,4.0,3.0,1.0,0.0,0.0,2.4,3.2,2.87,2.25,3.2,2.9,2.4,3.25,2.8,2.2,3.2,2.8,,,,,,
E0,28/08/2004,Blackburn,Man United,1.0,1.0,D,1.0,0.0,H,A Wiley,8.0,24.0,4.0,15.0,25.0,17.0,4.0,14.0,3.0,1.0,1.0,0.0,5.0,3.4,1.72,4.0,3.2,1.85,4.2,3.3,1.85,4.5,3.25,1.67,,,,,,
E0,28/08/2004,Chelsea,Southampton,2.0,1.0,H,2.0,1.0,H,S Bennett,16.0,6.0,7.0,2.0,11.0,12.0,9.0,0.0,0.0,4.0,0.0,0.0,1.28,5.0,10.0,1.3,4.5,9.0,1.3,4.7,10.0,1.29,4.0,10.0,,,,,,
E0,28/08/2004,Everton,West Brom,2.0,1.0,H,1.0,1.0,D,P Walton,16.0,12.0,10.0,8.0,11.0,16.0,7.0,6.0,0.0,1.0,0.0,0.0,2.0,3.2,3.75,1.85,3.2,4.0,2.0,3.25,3.65,1.91,3.2,3.5,,,,,,
E0,28/08/2004,Man City,Charlton,4.0,0.0,H,2.0,0.0,H,M Halsey,16.0,6.0,10.0,3.0,11.0,8.0,6.0,4.0,0.0,1.0,0.0,0.0,2.25,3.2,3.1,1.9,3.25,3.75,2.15,3.25,3.25,2.0,3.2,3.2,,,,,,
E0,28/08/2004,Middlesbrough,Crystal Palace,2.0,1.0,H,0.0,0.0,D,M Dean,24.0,6.0,15.0,2.0,16.0,16.0,4.0,2.0,1.0,2.0,0.0,0.0,1.44,4.0,7.5,1.55,3.45,6.0,1.55,3.5,6.5,1.5,3.4,6.0,,,,,,
E0,28/08/2004,Norwich,Arsenal,1.0,4.0,A,0.0,3.0,A,G Poll,5.0,18.0,5.0,15.0,15.0,5.0,4.0,10.0,1.0,1.0,0.0,0.0,9.0,4.33,1.36,7.0,3.75,1.45,7.5,4.1,1.42,7.0,3.75,1.4,,,,,,
E0,28/08/2004,Tottenham,Birmingham,1.0,0.0,H,1.0,0.0,H,M Clattenburg,6.0,10.0,3.0,2.0,15.0,5.0,2.0,8.0,4.0,1.0,0.0,0.0,2.0,3.2,3.75,1.9,3.25,3.75,2.1,3.25,3.4,1.83,3.2,3.75,,,,,,
