Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
I1,27/08/2005,Fiorentina,Sampdoria,2.0,1.0,H,2.0,0.0,2.2,2.87,3.25,2.25,2.9,3.2,2.2,2.8,3.1,2.2,2.8,3.2,2.25,2.87,3.0,2005/6,€138.68m,€61.50m,2.2,2.9,3.1
I1,27/08/2005,Livorno,Lecce,2.0,1.0,H,1.0,1.0,1.9,2.9,4.0,1.9,3.2,3.8,1.9,3.0,3.6,1.91,3.0,3.75,1.9,2.87,4.0,2005/6,€56.38m,€52.15m,1.9,3.0,3.75
I1,28/08/2005,Ascoli,Milan,1.0,1.0,D,0.0,0.0,7.5,3.75,1.4,9.0,4.5,1.3,6.5,3.7,1.4,8.0,3.75,1.36,8.0,3.75,1.36,2005/6,€24.55m,€269.75m,8.5,3.75,1.35
I1,28/08/2005,Inter,Treviso,3.0,0.0,H,1.0,0.0,1.16,5.5,13.0,1.16,5.9,15.0,1.17,5.5,11.0,1.17,5.5,12.0,1.16,5.0,15.0,2005/6,€234.93m,€23.53m,1.17,5.5,12.0
I1,28/08/2005,Juventus,Chievo,1.0,0.0,H,1.0,0.0,1.25,5.0,13.0,1.22,5.5,10.0,1.2,5.0,10.0,1.2,5.0,11.0,1.22,5.0,9.5,2005/6,€308.90m,€49.55m,1.22,5.0,10.0
I1,28/08/2005,Lazio,Messina,1.0,0.0,H,1.0,0.0,1.9,3.1,3.75,1.9,3.1,4.0,1.9,3.0,3.6,1.83,3.0,4.0,1.83,3.0,4.0,2005/6,€83.05m,€39.98m,1.8,3.0,4.35
I1,28/08/2005,Parma,Palermo,1.0,1.0,D,0.0,1.0,2.4,2.87,2.87,2.55,2.9,2.75,2.4,2.8,2.8,2.38,2.88,2.8,2.3,2.8,3.0,2005/6,€57.05m,€94.20m,2.4,2.9,2.8
I1,28/08/2005,Reggina,Roma,0.0,3.0,A,0.0,1.0,3.5,3.0,2.0,3.9,3.15,1.9,3.6,2.8,2.0,3.4,2.88,2.1,3.6,2.87,2.0,2005/6,€43.65m,€193.20m,3.5,3.0,2.0
I1,28/08/2005,Siena,Cagliari,2.0,1.0,H,1.0,1.0,2.2,3.0,3.1,2.2,2.9,3.3,2.1,2.8,3.3,2.2,2.8,3.2,2.2,2.87,3.1,2005/6,€34.98m,€35.65m,2.25,2.8,3.1
I1,28/08/2005,Udinese,Empoli,1.0,0.0,H,1.0,0.0,1.57,3.25,6.0,1.6,3.4,5.5,1.55,3.4,5.0,1.57,3.2,6.0,1.53,3.5,5.5,2005/6,€89.60m,€37.00m,1.55,3.3,5.5
I1,10/09/2005,Milan,Siena,3.0,1.0,H,2.0,1.0,1.2,5.0,12.0,1.16,6.4,12.5,1.22,4.8,9.5,1.17,5.5,12.0,1.2,5.0,11.0,2005/6,€269.75m,€34.98m,1.18,5.0,13.0
I1,10/09/2005,Palermo,Inter,3.0,2.0,H,1.0,0.0,3.5,3.0,2.0,3.65,3.05,2.0,3.4,2.9,2.0,3.75,3.0,1.91,3.6,2.87,2.0,2005/6,€94.20m,€234.93m,3.5,3.2,1.9
I1,11/09/2005,Cagliari,Lazio,1.0,1.0,D,1.0,1.0,2.25,3.0,3.0,2.15,2.9,3.45,2.2,2.8,3.1,2.25,2.88,3.0,2.3,3.0,2.8,2005/6,€35.65m,€83.05m,2.2,2.9,3.1
I1,11/09/2005,Chievo,Parma,1.0,0.0,H,1.0,0.0,2.2,2.87,3.2,2.25,2.75,3.45,2.1,2.8,3.4,2.25,2.88,3.0,2.15,2.8,3.3,2005/6,€49.55m,€57.05m,2.2,2.9,3.1
I1,11/09/2005,Empoli,Juventus,0.0,4.0,A,0.0,3.0,5.5,3.75,1.5,6.75,3.75,1.45,5.2,3.3,1.55,7.0,3.75,1.4,6.5,3.6,1.44,2005/6,€37.00m,€308.90m,7.5,3.4,1.45
I1,11/09/2005,Lecce,Ascoli,0.0,0.0,D,0.0,0.0,1.72,3.2,4.5,1.75,3.1,4.9,1.8,2.9,4.2,1.67,3.25,4.5,1.72,3.2,4.33,2005/6,€52.15m,€24.55m,1.7,3.0,5.0
I1,11/09/2005,Messina,Fiorentina,2.0,2.0,D,0.0,2.0,2.5,2.87,2.75,2.7,2.8,2.7,2.4,2.8,2.8,2.5,2.88,2.62,2.6,2.8,2.6,2005/6,€39.98m,€138.68m,2.5,2.8,2.8
I1,11/09/2005,Roma,Udinese,0.0,1.0,A,0.0,1.0,1.83,3.0,4.33,1.77,3.2,4.5,1.75,3.0,4.4,1.8,3.2,4.0,1.83,3.0,4.0,2005/6,€193.20m,€89.60m,1.8,3.0,4.35
I1,11/09/2005,Sampdoria,Reggina,3.0,2.0,H,1.0,1.0,1.53,3.5,5.5,1.5,3.6,6.5,1.55,3.3,5.2,1.5,3.25,6.5,1.5,3.4,6.0,2005/6,€61.50m,€43.65m,1.55,3.2,6.0
I1,11/09/2005,Treviso,Livorno,0.0,1.0,A,0.0,0.0,2.5,2.87,2.75,2.5,2.8,2.9,2.4,2.8,2.8,2.5,2.88,2.62,2.5,2.8,2.75,2005/6,€23.53m,€56.38m,2.5,2.9,2.7
I1,17/09/2005,Inter,Lecce,3.0,0.0,H,2.0,0.0,1.22,5.5,13.0,1.2,5.2,14.0,1.22,4.8,9.5,1.2,5.0,11.0,1.22,5.0,9.5,2005/6,€234.93m,€52.15m,1.2,5.0,12.0
I1,17/09/2005,Parma,Empoli,1.0,0.0,H,1.0,0.0,1.8,3.1,5.0,1.75,3.15,4.7,1.85,2.8,4.2,1.67,3.2,5.0,1.7,3.0,5.0,2005/6,€57.05m,€37.00m,1.7,3.1,5.0
I1,18/09/2005,Cagliari,Messina,1.0,1.0,D,1.0,1.0,2.1,2.9,3.8,2.25,2.85,3.25,2.1,2.8,3.3,2.1,2.8,3.5,2.0,2.87,3.6,2005/6,€35.65m,€39.98m,2.0,3.0,3.6
