Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
N1,13/08/2004,Roda,Vitesse,A,1.66,3.4,4.5,1.6,3.6,4.75,1.7,3.3,4.0,1.66,3.3,4.5,2004/5,€20.93m,€21.40m,60.241,62.5,60.241,58.8235,29.4118,27.7778,30.303,30.303,22.2222,21.0526,22.2222,25.0,H,60.4514,1.5205,29.4489,1.1906,22.6242,1.6771
N1,14/08/2004,AZ Alkmaar,Heerenveen,D,1.9,3.25,3.5,1.95,3.35,3.3,1.9,3.2,3.4,1.8,3.3,3.75,2004/5,€50.00m,€31.20m,52.6316,51.2821,55.5556,52.6316,30.7692,29.8507,30.303,31.25,28.5714,30.303,26.6667,29.4118,H,53.0252,1.8029,30.5432,0.6022,28.7382,1.5515
N1,14/08/2004,NAC Breda,Utrecht,H,2.0,3.25,3.25,1.9,3.4,3.4,2.2,3.0,2.9,2.0,3.2,3.2,2004/5,€17.45m,€20.30m,50.0,52.6316,50.0,45.4545,30.7692,29.4118,31.25,33.3333,30.7692,29.4118,31.25,34.4828,H,49.5215,2.9817,31.1911,1.6265,31.4784,2.1488
N1,14/08/2004,Nijmegen,Willem II,H,2.2,3.25,2.8,2.2,3.25,2.85,2.1,3.1,3.0,2.25,3.2,2.75,2004/5,€16.88m,€13.98m,45.4545,45.4545,44.4444,47.619,30.7692,30.7692,31.25,32.2581,35.7143,35.0877,36.3636,33.3333,H,45.7431,1.3382,31.2616,0.7019,35.1247,1.3029
N1,14/08/2004,Roosendaal,PSV Eindhoven,A,5.0,3.6,1.57,4.5,3.55,1.65,3.8,3.3,1.75,6.0,3.4,1.5,2004/5,€10.70m,€86.85m,20.0,22.2222,16.6667,26.3158,27.7778,28.169,29.4118,30.303,63.6943,60.6061,66.6667,57.1429,A,21.3012,4.0483,28.9154,1.158,62.0275,4.0898
N1,15/08/2004,Den Bosch,Den Haag,H,2.2,3.25,2.8,2.1,3.3,3.0,2.3,3.0,2.7,2.15,3.3,2.8,2004/5,€8.35m,€9.92m,45.4545,47.619,46.5116,43.4783,30.7692,30.303,30.303,33.3333,35.7143,33.3333,35.7143,37.037,H,45.7658,1.7626,31.1771,1.4542,35.4497,1.5426
N1,15/08/2004,Feyenoord,Graafschap,H,1.16,5.5,13.0,1.25,5.25,8.0,1.2,5.0,10.0,1.16,6.0,10.0,2004/5,€66.43m,€12.28m,86.2069,80.0,86.2069,83.3333,18.1818,19.0476,16.6667,20.0,7.6923,12.5,10.0,10.0,H,83.9368,2.9535,18.474,1.4153,10.0481,1.9635
N1,15/08/2004,Groningen,Waalwijk,D,2.1,3.25,3.0,2.0,3.35,3.2,2.2,3.0,2.9,1.95,3.3,3.25,2004/5,€12.95m,€19.33m,47.619,50.0,51.2821,45.4545,30.7692,29.8507,30.303,33.3333,33.3333,31.25,30.7692,34.4828,H,48.5889,2.5826,31.064,1.5586,32.4588,1.749
N1,15/08/2004,Twente,Ajax,A,4.0,3.5,1.72,4.0,3.45,1.75,3.8,3.3,1.75,4.5,3.5,1.61,2004/5,€13.25m,€114.50m,25.0,25.0,22.2222,26.3158,28.5714,28.9855,28.5714,30.303,58.1395,57.1429,62.1118,57.1429,A,24.6345,1.7237,29.1078,0.8203,58.6343,2.3655
N1,20/08/2004,Vitesse,Groningen,H,1.8,3.3,3.75,1.8,3.3,3.75,1.8,3.1,3.8,1.72,3.4,4.0,2004/5,€21.40m,€12.95m,55.5556,55.5556,58.1395,55.5556,30.303,30.303,29.4118,32.2581,26.6667,26.6667,25.0,26.3158,H,56.2016,1.292,30.569,1.2019,26.1623,0.7923
N1,21/08/2004,Den Haag,Nijmegen,A,2.2,3.25,2.75,2.1,3.3,3.0,2.3,3.0,2.7,1.95,3.3,3.25,2004/5,€9.92m,€16.88m,45.4545,47.619,51.2821,43.4783,30.7692,30.303,30.303,33.3333,36.3636,33.3333,30.7692,37.037,H,46.9585,3.3418,31.1771,1.4542,34.3758,2.8941
