Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
T1,11/08/2017,Buyuksehyr,Bursaspor,1.0,0.0,H,1.0,0.0,H,1.36,4.75,8.5,1.4,4.25,7.75,1.33,4.75,8.5,2017/18,€51.80m,€31.90m,1.33,5.0,9.0,5.0,4.0,3.0,1.0,15.0,9.0,0.0,3.0,1.0,1.0,0.0,0.0,73.52941176470587,71.42857142857143,75.18796992481202,75.18796992481202,21.052631578947366,23.52941176470588,21.052631578947366,20.0,11.76470588235294,12.903225806451612,11.76470588235294,11.11111111111111,73.83348076072534,1.7837534061147329,21.408668730650152,1.4983795153423438,11.88593717056715,0.7448994656095093
T1,12/08/2017,Akhisar Belediyespor,Sivasspor,1.0,0.0,H,0.0,0.0,D,2.0,3.4,3.75,2.05,3.25,3.5,2.0,3.2,3.6,2017/18,€18.60m,€22.93m,2.0,3.4,3.75,9.0,5.0,3.0,1.0,17.0,15.0,3.0,4.0,3.0,2.0,0.0,0.0,50.0,48.78048780487806,50.0,50.0,29.411764705882355,30.76923076923077,31.25,29.411764705882355,26.666666666666668,28.57142857142857,27.77777777777778,26.666666666666668,49.69512195121951,0.6097560975609717,30.210690045248867,0.9431677684192463,27.42063492063492,0.9289444373586991
T1,12/08/2017,Alanyaspor,Kasimpasa,1.0,3.0,A,1.0,2.0,A,2.15,3.4,3.3,2.2,3.4,3.0,2.15,3.5,3.0,2017/18,€29.18m,€23.80m,2.2,3.6,3.1,16.0,7.0,7.0,3.0,12.0,23.0,5.0,3.0,2.0,4.0,0.0,0.0,46.51162790697674,45.45454545454545,46.51162790697674,45.45454545454545,29.411764705882355,29.411764705882355,28.57142857142857,27.77777777777778,30.303030303030305,33.33333333333333,33.33333333333333,32.25806451612903,45.98308668076109,0.6103068384668341,28.793183940242763,0.7843276198137937,32.3069403714565,1.4288701172551745
T1,12/08/2017,Genclerbirligi,Karabukspor,1.0,1.0,D,1.0,1.0,D,2.0,3.5,3.6,1.9,3.3,4.0,2.0,3.1,3.75,2017/18,€16.90m,€14.75m,2.0,3.3,3.9,6.0,6.0,3.0,1.0,20.0,19.0,4.0,1.0,2.0,3.0,0.0,0.0,50.0,52.63157894736842,50.0,50.0,28.57142857142857,30.303030303030305,32.25806451612903,30.303030303030305,27.77777777777778,25.0,26.666666666666668,25.641025641025646,50.6578947368421,1.315789473684209,30.35888842340455,1.506444247538522,26.271367521367523,1.2164483185889128
T1,12/08/2017,Goztep,Fenerbahce,2.0,2.0,D,1.0,1.0,D,4.75,3.6,1.73,4.75,3.6,1.7,4.6,3.5,1.7,2017/18,€24.60m,€74.93m,4.75,3.7,1.73,6.0,8.0,4.0,5.0,20.0,12.0,0.0,4.0,4.0,1.0,0.0,0.0,21.052631578947366,21.052631578947366,21.73913043478261,21.052631578947366,27.77777777777778,27.77777777777778,28.57142857142857,27.027027027027025,57.80346820809249,58.82352941176471,58.82352941176471,57.80346820809249,21.224256292906176,0.3432494279176215,27.78850278850279,0.6306209026547155,58.313498809928596,0.5889326105300502
T1,13/08/2017,Besiktas,Antalyaspor,2.0,0.0,H,1.0,0.0,H,1.4,4.5,7.5,1.4,4.5,6.75,1.36,4.6,7.5,2017/18,€122.55m,€30.15m,1.44,4.6,7.0,9.0,6.0,5.0,2.0,23.0,16.0,3.0,3.0,3.0,4.0,0.0,0.0,71.42857142857143,71.42857142857143,73.52941176470587,69.44444444444444,22.22222222222222,22.22222222222222,21.73913043478261,21.73913043478261,13.333333333333334,14.814814814814813,13.333333333333334,14.285714285714285,71.4577497665733,1.6680212334216167,21.980676328502415,0.27891317352155753,13.941798941798941,0.7350499465317345
T1,13/08/2017,Trabzonspor,Konyaspor,2.0,1.0,H,1.0,1.0,D,1.65,3.5,5.75,1.67,3.7,4.75,1.67,3.5,5.2,2017/18,€64.55m,€26.28m,1.67,3.7,5.25,9.0,11.0,6.0,4.0,20.0,20.0,1.0,6.0,4.0,2.0,0.0,0.0,60.60606060606061,59.88023952095809,59.88023952095809,59.88023952095809,28.57142857142857,27.027027027027025,28.57142857142857,27.027027027027025,17.391304347826086,21.052631578947366,19.23076923076923,19.047619047619047,60.06169479223372,0.36291054255125843,27.7992277992278,0.8916606473971057,19.18058105129043,1.4973623528770572
T1,13/08/2017,Yeni Malatyaspor,Osmanlispor,3.0,1.0,H,1.0,0.0,H,2.88,3.2,2.5,2.8,3.25,2.4,2.8,3.25,2.37,2017/18,€18.73m,€25.50m,2.8,3.4,2.45,10.0,9.0,6.0,5.0,14.0,13.0,3.0,5.0,1.0,3.0,0.0,1.0,34.72222222222222,35.714285714285715,35.714285714285715,35.714285714285715,31.25,30.76923076923077,30.76923076923077,29.411764705882355,40.0,41.66666666666667,42.19409282700421,40.81632653061224,35.46626984126984,0.496031746031747,30.550056561085974,0.7919814459807936,41.16927150607078,0.9642659896236132
T1,14/08/2017,Galatasaray,Kayserispor,4.0,1.0,H,3.0,1.0,H,1.53,3.75,7.0,1.55,4.25,5.0,1.57,4.0,5.2,2017/18,€96.05m,€22.65m,1.6,4.0,5.5,13.0,6.0,8.0,2.0,14.0,18.0,2.0,2.0,2.0,4.0,0.0,1.0,65.359477124183,64.51612903225806,63.69426751592356,62.5,26.666666666666668,23.52941176470588,25.0,25.0,14.285714285714285,20.0,19.23076923076923,18.181818181818183,64.01746841809116,1.2188545166690525,25.049019607843135,1.282029101041376,17.924575424575426,2.5377820796700274
T1,18/08/2017,Kasimpasa,Besiktas,2.0,2.0,D,1.0,2.0,A,4.75,4.0,1.67,4.75,3.75,1.67,4.5,3.8,1.67,2017/18,€23.80m,€122.55m,4.75,4.1,1.65,7.0,11.0,4.0,5.0,14.0,20.0,4.0,4.0,4.0,2.0,0.0,0.0,21.052631578947366,21.052631578947366,22.22222222222222,21.052631578947366,25.0,26.666666666666668,26.31578947368421,24.39024390243903,59.88023952095809,59.88023952095809,59.88023952095809,60.60606060606061,21.34502923976608,0.5847953216374275,25.593175010697475,1.0760198018755556,60.06169479223372,0.36291054255125843
T1,19/08/2017,Bursaspor,Alanyaspor,3.0,2.0,H,2.0,0.0,H,2.0,3.6,3.5,2.0,3.4,3.5,2.0,3.5,3.25,2017/18,€31.90m,€29.18m,2.05,3.6,3.4,11.0,11.0,6.0,6.0,16.0,15.0,1.0,2.0,2.0,2.0,0.0,0.0,50.0,50.0,50.0,48.78048780487806,27.77777777777778,29.411764705882355,28.57142857142857,27.77777777777778,28.57142857142857,28.57142857142857,30.76923076923077,29.411764705882355,49.69512195121951,0.6097560975609717,28.38468720821662,0.7802646210222024,29.330963154492565,1.03745332233184
T1,19/08/2017,Karabukspor,Buyuksehyr,3.0,1.0,H,2.0,1.0,H,3.5,3.4,2.05,3.6,3.3,2.0,3.4,3.25,2.1,2017/18,€14.75m,€51.80m,3.5,3.4,2.1,8.0,4.0,3.0,2.0,14.0,8.0,5.0,1.0,2.0,1.0,0.0,0.0,28.57142857142857,27.77777777777778,29.411764705882355,28.57142857142857,29.411764705882355,30.303030303030305,30.76923076923077,29.411764705882355,48.78048780487806,50.0,47.61904761904761,47.61904761904761,28.583099906629318,0.6672084933686492,29.973947621006445,0.6764786169501713,48.50464576074332,1.1373567706639127
T1,19/08/2017,Osmanlispor,Galatasaray,1.0,3.0,A,0.0,2.0,A,4.5,3.5,1.8,4.0,3.5,1.85,3.7,3.6,1.83,2017/18,€25.50m,€96.05m,4.0,3.6,1.87,7.0,8.0,4.0,6.0,16.0,17.0,4.0,5.0,2.0,2.0,0.0,0.0,22.22222222222222,25.0,27.027027027027025,25.0,28.57142857142857,28.57142857142857,27.77777777777778,27.77777777777778,55.55555555555556,54.05405405405405,54.64480874316939,53.475935828877,24.81231231231231,1.9734894036178547,28.17460317460317,0.4582144993568442,54.432588545414,0.8877997333123363
T1,19/08/2017,Sivasspor,Yeni Malatyaspor,2.0,0.0,H,1.0,0.0,H,2.1,3.3,3.5,2.1,3.2,3.4,2.1,3.1,3.4,2017/18,€22.93m,€18.73m,2.1,3.3,3.6,8.0,8.0,2.0,2.0,19.0,16.0,4.0,7.0,3.0,2.0,0.0,0.0,47.61904761904761,47.61904761904761,47.61904761904761,47.61904761904761,30.303030303030305,31.25,32.25806451612903,30.303030303030305,28.57142857142857,29.411764705882355,29.411764705882355,27.77777777777778,47.61904761904761,0.0,31.028531280547412,0.9333637568587311,28.793183940242763,0.7843276198137937
T1,20/08/2017,Antalyaspor,Akhisar Belediyespor,2.0,2.0,D,1.0,1.0,D,1.91,3.5,3.9,2.0,3.3,3.6,1.95,3.3,3.7,2017/18,€30.15m,€18.60m,1.95,3.5,3.8,7.0,10.0,3.0,4.0,15.0,10.0,3.0,4.0,3.0,2.0,0.0,0.0,52.35602094240838,50.0,51.28205128205129,51.28205128205129,28.57142857142857,30.303030303030305,30.303030303030305,28.57142857142857,25.641025641025646,27.77777777777778,27.027027027027025,26.31578947368421,51.230030876627744,0.9637153505842467,29.437229437229437,0.9997407258694839,26.69040497987866,0.9196426440979175
T1,20/08/2017,Fenerbahce,Trabzonspor,2.0,2.0,D,1.0,1.0,D,1.8,3.5,4.5,1.8,3.4,4.25,1.8,3.4,4.25,2017/18,€74.93m,€64.55m,1.83,3.5,4.4,8.0,5.0,3.0,3.0,17.0,28.0,4.0,9.0,2.0,4.0,0.0,0.0,55.55555555555556,55.55555555555556,55.55555555555556,54.64480874316939,28.57142857142857,29.411764705882355,29.411764705882355,28.57142857142857,22.22222222222222,23.52941176470588,23.52941176470588,22.727272727272727,55.32786885245902,0.45537340619308253,28.991596638655462,0.4851682934366627,23.00207961972668,0.6428724007243726
T1,20/08/2017,Kayserispor,Goztep,1.0,0.0,H,1.0,0.0,H,2.0,3.4,3.75,2.0,3.2,3.8,2.0,3.3,3.5,2017/18,€22.65m,€24.60m,2.0,3.4,3.7,6.0,8.0,2.0,4.0,15.0,19.0,3.0,5.0,3.0,1.0,0.0,0.0,50.0,50.0,50.0,50.0,29.411764705882355,31.25,30.303030303030305,29.411764705882355,26.666666666666668,26.31578947368421,28.57142857142857,27.027027027027025,50.0,0.0,30.094139928698752,0.8776710815835959,27.145227934701616,0.994151021165565
T1,21/08/2017,Konyaspor,Genclerbirligi,3.0,0.0,H,2.0,0.0,H,2.2,3.2,3.4,2.2,3.1,3.3,2.2,3.0,3.3,2017/18,€26.28m,€16.90m,2.2,3.2,3.4,9.0,6.0,6.0,3.0,14.0,15.0,1.0,2.0,1.0,1.0,0.0,0.0,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,31.25,32.25806451612903,33.33333333333333,31.25,29.411764705882355,30.303030303030305,30.303030303030305,29.411764705882355,45.45454545454545,0.0,32.02284946236559,0.9945328351444026,29.85739750445633,0.5145724324328212
