Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SP1,28/08/2004,Ath Madrid,Malaga,H,1.72,3.25,4.33,1.9,3.35,3.6,1.75,3.1,4.2,1.72,3.2,4.33,2004/5,€125.65m,€32.85m,58.1395,52.6316,58.1395,57.1429,30.7692,29.8507,31.25,32.2581,23.0947,27.7778,23.0947,23.8095,H,56.5134,2.6301,31.032,1.0026,24.4442,2.2478
SP1,28/08/2004,Espanol,La Coruna,D,2.87,3.2,2.4,3.4,3.25,2.0,2.9,3.0,2.2,2.62,3.1,2.37,2004/5,€45.15m,€144.45m,34.8432,29.4118,38.1679,34.4828,31.25,30.7692,32.2581,33.3333,41.6667,50.0,42.1941,45.4545,A,34.2264,3.613,31.9026,1.1378,44.8288,3.8329
SP1,28/08/2004,Numancia,Betis,D,2.5,3.2,2.5,2.5,3.15,2.6,2.4,2.9,2.7,2.5,3.1,2.5,2004/5,€13.40m,€85.15m,40.0,40.0,40.0,41.6667,31.25,31.746,32.2581,34.4828,40.0,38.4615,40.0,37.037,H,40.4167,0.8333,32.4342,1.4264,38.8746,1.4237
SP1,29/08/2004,Mallorca,Real Madrid,A,5.0,3.4,1.72,4.5,3.4,1.7,3.8,3.1,1.8,4.2,3.25,1.72,2004/5,€42.65m,€303.70m,20.0,22.2222,23.8095,26.3158,29.4118,29.4118,30.7692,32.2581,58.1395,58.8235,58.1395,55.5556,A,23.0869,2.6599,30.4627,1.3572,57.6645,1.4425
SP1,29/08/2004,Osasuna,Ath Bilbao,D,2.3,3.2,2.7,2.25,3.2,2.9,2.4,2.9,2.7,2.3,3.1,2.75,2004/5,€26.70m,€53.05m,43.4783,44.4444,43.4783,41.6667,31.25,31.25,32.2581,34.4828,37.037,34.4828,36.3636,37.037,H,43.2669,1.16,32.3102,1.5244,36.2301,1.2073
SP1,29/08/2004,Santander,Barcelona,A,5.0,3.4,1.72,4.5,3.4,1.7,3.8,3.1,1.8,3.8,3.25,1.8,2004/5,€32.90m,€273.03m,20.0,22.2222,26.3158,26.3158,29.4118,29.4118,30.7692,32.2581,58.1395,58.8235,55.5556,55.5556,A,23.7134,3.1389,30.4627,1.3572,57.0186,1.7122
SP1,29/08/2004,Sevilla,Albacete,H,1.66,3.4,4.5,1.7,3.4,4.5,1.75,3.2,4.0,1.6,3.4,4.8,2004/5,€70.55m,€17.75m,60.241,58.8235,62.5,57.1429,29.4118,29.4118,29.4118,31.25,22.2222,22.2222,20.8333,25.0,H,59.6768,2.2684,29.8714,0.9191,22.5694,1.7477
SP1,29/08/2004,Sociedad,Levante,D,1.72,3.25,4.33,1.7,3.4,4.5,1.7,3.1,4.4,1.61,3.1,5.5,2004/5,€53.55m,€24.25m,58.1395,58.8235,62.1118,58.8235,30.7692,29.4118,32.2581,32.2581,23.0947,22.2222,18.1818,22.7273,H,59.4746,1.7875,31.1743,1.3687,21.5565,2.2781
SP1,29/08/2004,Zaragoza,Getafe,H,1.72,3.25,4.33,1.85,3.25,4.0,1.75,3.1,4.2,1.72,3.2,4.33,2004/5,€51.13m,€13.85m,58.1395,54.0541,58.1395,57.1429,30.7692,30.7692,31.25,32.2581,23.0947,25.0,23.0947,23.8095,H,56.869,1.9345,31.2616,0.7019,23.7497,0.8991
SP1,11/09/2004,Ath Bilbao,Valencia,D,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€53.05m,€195.90m,37.037,37.037,40.0,40.0,31.25,31.746,32.2581,33.3333,43.4783,41.6667,40.0,40.0,A,38.5185,1.7107,32.1468,0.8916,41.2862,1.6592
SP1,11/09/2004,Barcelona,Sevilla,H,1.444,4.0,7.5,1.4,4.0,7.25,1.4,3.7,6.5,1.4,3.6,7.5,2004/5,€273.03m,€70.55m,69.2521,71.4286,71.4286,71.4286,25.0,25.0,27.7778,27.027,13.3333,13.7931,13.3333,15.3846,H,70.8845,1.0883,26.2012,1.4205,13.9611,0.9735
SP1,11/09/2004,Real Madrid,Numancia,H,1.2,6.0,13.0,1.2,5.5,11.5,1.2,5.0,10.0,1.2,5.0,11.0,2004/5,€303.70m,€13.40m,83.3333,83.3333,83.3333,83.3333,16.6667,18.1818,20.0,20.0,7.6923,8.6957,9.0909,10.0,H,83.3333,0.0,18.7121,1.6106,8.8697,0.9562
SP1,12/09/2004,Albacete,Ath Madrid,A,2.75,3.2,2.5,2.4,3.15,2.7,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€17.75m,€125.65m,36.3636,41.6667,40.0,40.0,31.25,31.746,32.2581,33.3333,40.0,37.037,40.0,40.0,A,39.5076,2.2384,32.1468,0.8916,39.2592,1.4815
