Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
F1,06/08/2004,Nice,Lyon,A,3.25,3.0,2.1,3.0,3.0,2.2,3.2,2.9,2.1,2.87,3.1,2.2,2004/5,€34.45m,€133.90m,30.7692,33.3333,34.8432,31.25,33.3333,33.3333,32.2581,34.4828,47.619,45.4545,45.4545,47.619,A,32.5489,1.8915,33.3519,0.9085,46.5368,1.2497
F1,07/08/2004,Bastia,Strasbourg,H,2.1,3.0,3.25,2.05,3.0,3.45,2.2,2.9,3.0,2.0,3.2,3.2,2004/5,€31.85m,€35.10m,47.619,48.7805,50.0,45.4545,33.3333,33.3333,31.25,34.4828,30.7692,28.9855,31.25,33.3333,H,47.9635,1.9346,33.0999,1.347,31.0845,1.7879
F1,07/08/2004,Caen,Istres,D,1.9,3.2,3.6,1.9,3.1,3.75,1.8,3.1,3.8,1.9,3.0,3.75,2004/5,€22.70m,€18.50m,52.6316,52.6316,52.6316,55.5556,31.25,32.2581,33.3333,32.2581,27.7778,26.6667,26.6667,26.3158,H,53.3626,1.462,32.2749,0.8507,26.8568,0.6359
F1,07/08/2004,Lille,Auxerre,H,2.37,3.0,2.75,2.4,3.2,2.6,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€56.25m,€47.85m,42.1941,41.6667,42.1941,41.6667,33.3333,31.25,33.3333,34.4828,36.3636,38.4615,37.037,37.037,H,41.9304,0.3045,33.0999,1.347,37.2248,0.8835
F1,07/08/2004,Marseille,Bordeaux,H,1.72,3.25,4.33,1.6,3.5,5.0,1.75,3.2,4.0,1.66,3.3,4.5,2004/5,€78.60m,€52.60m,58.1395,62.5,60.241,57.1429,30.7692,28.5714,30.303,31.25,23.0947,20.0,22.2222,25.0,H,59.5058,2.3774,30.2234,1.1672,22.5792,2.0741
F1,07/08/2004,Metz,Nantes,H,2.5,3.0,2.62,2.65,3.15,2.4,2.3,3.0,2.7,2.37,3.0,2.7,2004/5,€35.70m,€47.35m,40.0,37.7358,42.1941,43.4783,33.3333,31.746,33.3333,33.3333,38.1679,41.6667,37.037,37.037,H,40.852,2.5256,32.9365,0.7937,38.4772,2.1922
F1,07/08/2004,Stade Rennais FC,Paris SG,H,2.75,3.0,2.37,3.0,3.1,2.2,2.7,2.9,2.4,2.87,3.0,2.25,2004/5,€61.30m,€81.75m,36.3636,33.3333,34.8432,37.037,33.3333,32.2581,33.3333,34.4828,42.1941,45.4545,44.4444,41.6667,A,35.3943,1.6522,33.3519,0.9085,43.4399,1.8041
F1,07/08/2004,Sochaux,Ajaccio,H,1.57,3.4,5.5,1.55,3.55,5.5,1.6,3.4,4.6,1.57,3.5,5.0,2004/5,€49.65m,€24.55m,63.6943,64.5161,63.6943,62.5,29.4118,28.169,28.5714,29.4118,18.1818,18.1818,20.0,21.7391,H,63.6012,0.8301,28.891,0.6234,19.5257,1.7065
F1,07/08/2004,St Etienne,Monaco,A,3.25,3.0,2.1,3.5,3.2,1.95,3.0,2.9,2.2,2.87,3.0,2.25,2004/5,€37.50m,€103.80m,30.7692,28.5714,34.8432,33.3333,33.3333,31.25,33.3333,34.4828,47.619,51.2821,44.4444,45.4545,A,31.8793,2.7733,33.0999,1.347,47.2,3.0265
F1,07/08/2004,Toulouse,Lens,D,2.37,3.0,2.75,2.4,3.05,2.7,2.4,2.9,2.7,2.3,3.0,2.8,2004/5,€37.10m,€52.50m,42.1941,41.6667,43.4783,41.6667,33.3333,32.7869,33.3333,34.4828,36.3636,37.037,35.7143,37.037,H,42.2514,0.8549,33.4841,0.7139,36.538,0.6343
