Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
P1,06/08/2017,AVS,Sp Lisbon,0.0,2.0,A,0.0,1.0,A,9.0,4.2,1.4,7.5,4.5,1.4,8.0,4.2,1.4,2017/18,€12.15m,€259.08m,9.0,4.4,1.4,12.0,12.0,2.0,9.0,15.0,16.0,6.0,3.0,1.0,0.0,0.0,0.0,11.11111111111111,13.333333333333334,12.5,11.11111111111111,23.809523809523807,22.22222222222222,23.809523809523807,22.727272727272727,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,12.01388888888889,1.096548081696946,23.142135642135642,0.7977396965186129,71.42857142857143,0.0
P1,06/08/2017,Setubal,Moreirense,1.0,1.0,D,1.0,0.0,H,2.5,3.0,3.0,2.45,3.0,3.0,2.37,2.87,3.1,2017/18,€23.95m,€17.80m,2.5,3.0,3.13,6.0,12.0,2.0,4.0,18.0,22.0,4.0,8.0,1.0,3.0,1.0,0.0,40.0,40.81632653061224,42.19409282700421,40.0,33.33333333333333,33.33333333333333,34.843205574912886,33.33333333333333,33.33333333333333,33.33333333333333,32.25806451612903,31.948881789137378,40.752604839404114,1.0351773054111373,33.71080139372822,0.7549361207897789,32.718403242983264,0.7211918476630054
P1,07/08/2017,Feirense,Tondela,1.0,1.0,D,0.0,1.0,A,2.2,3.2,3.4,2.0,3.25,3.8,2.2,3.0,3.3,2017/18,€12.85m,€17.48m,2.25,3.2,3.4,12.0,13.0,5.0,6.0,19.0,25.0,5.0,3.0,4.0,1.0,0.0,0.0,45.45454545454545,50.0,45.45454545454545,44.44444444444444,31.25,30.76923076923077,33.33333333333333,31.25,29.411764705882355,26.31578947368421,30.303030303030305,29.411764705882355,46.338383838383834,2.4870853034838656,31.650641025641026,1.1444596840613517,28.860587297119807,1.747782486402228
P1,07/08/2017,Portimonense,Boavista,2.0,1.0,H,0.0,1.0,A,2.4,2.9,3.25,2.4,3.0,3.1,2.4,2.9,3.1,2017/18,€35.78m,€16.43m,2.45,3.0,3.2,12.0,5.0,4.0,2.0,14.0,10.0,9.0,4.0,1.0,1.0,0.0,0.0,41.66666666666667,41.66666666666667,41.66666666666667,40.81632653061224,34.48275862068966,33.33333333333333,34.48275862068966,33.33333333333333,30.76923076923077,32.25806451612903,32.25806451612903,31.25,41.454081632653065,0.42517006802721724,33.9080459770115,0.6636209990685399,31.633839950372206,0.7470374289160256
P1,07/08/2017,Rio Ave,Belenenses,1.0,0.0,H,1.0,0.0,H,1.91,3.4,4.0,1.87,3.3,4.4,1.87,3.2,4.33,2017/18,€32.95m,€19.88m,1.87,3.4,4.5,11.0,10.0,5.0,3.0,17.0,23.0,4.0,8.0,2.0,2.0,0.0,0.0,52.35602094240838,53.475935828877,53.475935828877,53.475935828877,29.411764705882355,30.303030303030305,31.25,29.411764705882355,25.0,22.727272727272727,23.094688221709006,22.22222222222222,53.195957107259844,0.5599574432343104,30.094139928698752,0.8776710815835959,23.261045792800992,1.2132195009516653
P1,08/08/2017,Maritimo,Pacos Ferreira,1.0,0.0,H,0.0,0.0,D,2.0,3.2,4.0,1.9,3.4,4.0,1.95,3.1,3.9,2017/18,€28.55m,€15.73m,2.0,3.25,4.2,7.0,4.0,3.0,1.0,13.0,14.0,0.0,7.0,2.0,2.0,0.0,0.0,50.0,52.63157894736842,51.28205128205129,50.0,31.25,29.411764705882355,32.25806451612903,30.76923076923077,25.0,25.0,25.641025641025646,23.809523809523807,50.97840755735493,1.2569457496759209,30.92226499781054,1.1827652897387233,24.862637362637365,0.7643457891055533
P1,09/08/2017,Benfica,Sp Braga,3.0,1.0,H,2.0,1.0,H,1.36,4.75,8.5,1.28,5.25,9.75,1.33,4.6,9.5,2017/18,€229.08m,€94.80m,1.33,5.0,10.0,15.0,6.0,9.0,1.0,13.0,18.0,6.0,2.0,2.0,3.0,0.0,0.0,73.52941176470587,78.125,75.18796992481202,75.18796992481202,21.052631578947366,19.047619047619047,21.73913043478261,20.0,11.76470588235294,10.256410256410255,10.526315789473683,10.0,75.50758790358248,1.912096425706625,20.459845265337258,1.182343254788284,10.63685798205922,0.7820036282530031
P1,09/08/2017,Porto,Estoril,4.0,0.0,H,1.0,0.0,H,1.18,6.5,15.0,1.18,6.5,14.5,1.18,6.0,17.0,2017/18,€276.50m,€26.20m,1.18,6.5,19.0,17.0,10.0,8.0,4.0,18.0,12.0,10.0,5.0,1.0,1.0,0.0,0.0,84.74576271186442,84.74576271186442,84.74576271186442,84.74576271186442,15.384615384615385,15.384615384615385,16.666666666666664,15.384615384615385,6.666666666666667,6.896551724137931,5.88235294117647,5.263157894736842,84.74576271186442,0.0,15.705128205128204,0.6410256410256396,6.1771823066794775,0.7482094799890758
P1,10/08/2017,Guimaraes,Chaves,3.0,2.0,H,2.0,0.0,H,1.65,3.6,5.5,1.62,3.8,5.25,1.61,3.5,5.25,2017/18,€50.33m,€23.75m,1.67,3.6,5.75,16.0,15.0,8.0,3.0,21.0,13.0,9.0,7.0,1.0,4.0,0.0,0.0,60.60606060606061,61.72839506172839,62.11180124223602,59.88023952095809,27.77777777777778,26.31578947368421,28.57142857142857,27.77777777777778,18.181818181818183,19.047619047619047,19.047619047619047,17.391304347826086,61.08162410774578,1.0245426890159635,27.610693400167087,0.9408546870802649,18.41709015622059,0.796392447733132
P1,11/08/2017,Sp Lisbon,Setubal,1.0,0.0,H,0.0,0.0,D,1.2,6.5,13.0,1.2,6.25,13.0,1.2,5.8,15.0,2017/18,€259.08m,€23.95m,1.22,6.25,13.0,12.0,3.0,5.0,1.0,16.0,24.0,7.0,1.0,1.0,2.0,0.0,0.0,83.33333333333334,83.33333333333334,83.33333333333334,81.9672131147541,15.384615384615385,16.0,17.24137931034483,16.0,7.6923076923076925,7.6923076923076925,6.666666666666667,7.6923076923076925,82.99180327868854,0.6830601092896202,16.156498673740053,0.7792632155813788,7.435897435897436,0.5128205128205128
