Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,VCH,VCD,VCA,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
E0,13/08/2005,Aston Villa,Bolton,2.0,2.0,D,2.0,2.0,D,M Riley,3.0,13.0,2.0,6.0,14.0,16.0,7.0,8.0,0.0,2.0,0.0,0.0,2.3,3.25,3.0,2.1,3.25,3.15,2.1,3.0,3.2,2005/6,€89.00m,€61.85m,2.2,3.25,3.1,43.47826086956522,47.61904761904761,47.61904761904761,45.45454545454545,30.76923076923077,30.76923076923077,33.33333333333333,30.76923076923077,33.33333333333333,31.746031746031743,31.25,32.25806451612903,H,46.04272539055148,1.9909811193328262,31.41025641025641,1.2820512820512793,32.14685739887353,0.8916476441343052
E0,13/08/2005,Everton,Man United,0.0,2.0,A,0.0,1.0,A,G Poll,10.0,12.0,5.0,5.0,15.0,14.0,8.0,6.0,3.0,1.0,0.0,0.0,5.0,3.4,1.72,4.35,3.35,1.75,3.75,3.2,1.83,2005/6,€92.92m,€254.58m,4.5,3.3,1.8,20.0,22.98850574712644,26.666666666666668,22.22222222222222,29.411764705882355,29.850746268656714,31.25,30.303030303030305,58.139534883720934,57.14285714285714,54.64480874316939,55.55555555555556,A,22.969348659003835,2.7716274891044947,30.20388531939234,0.7866273807136669,56.37068908132575,1.567180546328284
E0,13/08/2005,Fulham,Birmingham,0.0,0.0,D,0.0,0.0,D,R Styles,15.0,7.0,7.0,4.0,12.0,13.0,6.0,6.0,1.0,2.0,0.0,0.0,2.37,3.25,2.87,2.3,3.2,2.8,2.25,3.0,2.88,2005/6,€70.88m,€81.83m,2.35,3.25,2.8,42.19409282700421,43.47826086956522,44.44444444444444,42.5531914893617,30.76923076923077,31.25,33.33333333333333,30.76923076923077,34.843205574912886,35.714285714285715,34.72222222222222,35.714285714285715,H,43.16749740759389,1.0086386705036103,31.53044871794872,1.2231039681469322,35.248499806426636,0.5401063270796992
E0,13/08/2005,Man City,West Brom,0.0,0.0,D,0.0,0.0,D,C Foy,15.0,13.0,8.0,3.0,13.0,11.0,3.0,6.0,2.0,3.0,0.0,0.0,1.72,3.4,5.0,1.65,3.45,4.8,1.67,3.25,4.5,2005/6,€91.90m,€65.55m,1.75,3.25,5.0,58.139534883720934,60.60606060606061,59.88023952095809,57.14285714285714,29.411764705882355,28.985507246376812,30.76923076923077,30.76923076923077,20.0,20.833333333333336,22.22222222222222,20.0,H,58.9421730383992,1.5843249101551398,29.983933372680177,0.9233301531248393,20.76388888888889,1.048588116009826
E0,13/08/2005,Middlesbrough,Liverpool,0.0,0.0,D,0.0,0.0,D,M Halsey,4.0,16.0,2.0,7.0,17.0,11.0,5.0,0.0,2.0,3.0,1.0,0.0,2.87,3.2,2.4,2.9,3.35,2.2,2.75,3.1,2.3,2005/6,€94.38m,€216.35m,2.8,3.25,2.35,34.843205574912886,34.48275862068966,36.36363636363637,35.714285714285715,31.25,29.850746268656714,32.25806451612903,30.76923076923077,41.66666666666667,45.45454545454545,43.47826086956522,42.5531914893617,A,35.35097156838116,0.8503150754917489,31.03201038850413,1.0025245206860733,43.28816612003476,1.6226299249264091
E0,13/08/2005,Portsmouth,Tottenham,0.0,2.0,A,0.0,1.0,A,B Knight,11.0,11.0,7.0,6.0,13.0,23.0,7.0,2.0,0.0,2.0,0.0,0.0,2.75,3.2,2.5,2.65,3.25,2.4,2.75,3.2,2.25,2005/6,€86.13m,€154.33m,2.75,3.25,2.4,36.36363636363637,37.735849056603776,36.36363636363637,36.36363636363637,31.25,30.76923076923077,31.25,30.76923076923077,40.0,41.66666666666667,44.44444444444444,41.66666666666667,A,36.70668953687822,0.6861063464837045,31.009615384615387,0.2775722448027042,41.94444444444444,1.8425693279752209
E0,13/08/2005,Sunderland,Charlton,1.0,3.0,A,1.0,1.0,D,H Webb,12.0,14.0,8.0,4.0,15.0,17.0,5.0,5.0,2.0,0.0,0.0,1.0,2.37,3.2,2.9,2.25,3.25,2.85,2.38,3.0,2.75,2005/6,€34.35m,€82.43m,2.4,3.25,2.75,42.19409282700421,44.44444444444444,42.016806722689076,41.66666666666667,31.25,30.76923076923077,33.33333333333333,30.76923076923077,34.48275862068966,35.08771929824561,36.36363636363637,36.36363636363637,H,42.580502665201095,1.261803057438854,31.53044871794872,1.2231039681469322,35.574437661552004,0.9441622523311468
E0,13/08/2005,West Ham,Blackburn,3.0,1.0,H,0.0,1.0,A,A Wiley,13.0,11.0,5.0,5.0,11.0,14.0,2.0,6.0,0.0,1.0,0.0,1.0,2.5,3.2,2.75,2.2,3.3,2.9,2.38,3.0,2.75,2005/6,€62.55m,€63.80m,2.4,3.25,2.75,40.0,45.45454545454545,42.016806722689076,41.66666666666667,31.25,30.303030303030305,33.33333333333333,30.76923076923077,36.36363636363637,34.48275862068966,36.36363636363637,36.36363636363637,H,42.2845047109753,2.2892142867725562,31.4138986013986,1.336751963012012,35.89341692789969,0.9404388714733543
E0,14/08/2005,Arsenal,Newcastle,2.0,0.0,H,0.0,0.0,D,S Bennett,15.0,2.0,12.0,1.0,15.0,17.0,8.0,3.0,0.0,1.0,0.0,1.0,1.4,4.2,8.0,1.35,4.0,9.0,1.4,3.75,7.0,2005/6,€232.33m,€150.48m,1.45,3.8,7.5,71.42857142857143,74.07407407407408,71.42857142857143,68.96551724137932,23.809523809523807,25.0,26.666666666666668,26.31578947368421,12.5,11.11111111111111,14.285714285714285,13.333333333333334,H,71.47418354314907,2.0862245258217955,25.44799498746867,1.3068429186068284,12.807539682539682,1.345846657310446
E0,14/08/2005,Wigan,Chelsea,0.0,1.0,A,0.0,0.0,D,M Clattenburg,12.0,20.0,5.0,9.0,14.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,10.0,4.5,1.33,9.0,4.6,1.3,8.0,4.0,1.33,2005/6,€51.92m,€363.43m,11.0,4.5,1.3,10.0,11.11111111111111,12.5,9.090909090909092,22.22222222222222,21.73913043478261,25.0,22.22222222222222,75.18796992481202,76.92307692307692,75.18796992481202,76.92307692307692,A,10.675505050505052,1.4703498324316084,22.795893719806763,1.486946660021142,76.05552342394446,1.0017644925210416
E0,20/08/2005,Birmingham,Man City,1.0,2.0,A,1.0,1.0,D,M Clattenburg,9.0,9.0,2.0,6.0,7.0,12.0,9.0,4.0,3.0,1.0,0.0,0.0,2.2,3.2,3.25,2.15,3.1,3.2,2.1,3.2,3.0,2005/6,€81.83m,€91.90m,2.1,3.25,3.4,45.45454545454545,46.51162790697674,47.61904761904761,47.61904761904761,31.25,32.25806451612903,31.25,30.76923076923077,30.76923076923077,31.25,33.33333333333333,29.411764705882355,H,46.801067149904355,1.0384411148797943,31.38182382133995,0.6265841370590832,31.191082202111616,1.6265137154806404
