Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SC0,07/08/2004,Aberdeen,Rangers,D,7.5,4.0,1.4,6.5,3.75,1.45,6.0,3.9,1.4,6.5,3.6,1.44,2004/5,€6.88m,€80.78m,13.3333,15.3846,15.3846,16.6667,25.0,26.6667,27.7778,25.641,71.4286,68.9655,69.4444,71.4286,A,15.1923,1.3789,26.2714,1.2165,70.3168,1.2986
SC0,07/08/2004,Dundee,Hearts,A,3.0,3.3,2.2,2.5,3.3,2.4,2.9,3.0,2.2,2.87,3.1,2.2,2004/5,€9.05m,€11.08m,33.3333,40.0,34.8432,34.4828,30.303,30.303,32.2581,33.3333,45.4545,41.6667,45.4545,45.4545,A,35.6648,2.961,31.5494,1.5046,44.5076,1.8939
SC0,07/08/2004,Dunfermline,Dundee United,D,2.1,3.25,3.2,2.2,3.3,2.8,2.1,3.0,3.1,2.1,3.2,3.0,2004/5,€6.03m,€8.13m,47.619,45.4545,47.619,47.619,30.7692,30.303,31.25,33.3333,31.25,35.7143,33.3333,32.2581,H,47.0779,1.0822,31.4139,1.3367,33.1389,1.9161
SC0,07/08/2004,Hibernian,Kilmarnock,A,1.83,3.25,4.0,1.9,3.3,3.5,1.9,3.1,3.5,2.1,3.2,3.0,2004/5,€13.25m,€3.78m,54.6448,52.6316,47.619,52.6316,30.7692,30.303,31.25,32.2581,25.0,28.5714,33.3333,28.5714,H,51.8817,2.9961,31.1451,0.8367,28.869,3.4194
SC0,07/08/2004,Livingston,Inverness C,H,1.8,3.4,4.0,2.1,3.3,3.0,2.0,3.1,3.2,2.0,3.1,3.3,2004/5,€9.75m,€2.38m,55.5556,47.619,50.0,50.0,29.4118,30.303,32.2581,32.2581,25.0,33.3333,30.303,31.25,H,50.7936,3.3672,31.0578,1.433,29.9716,3.5479
SC0,08/08/2004,Celtic,Motherwell,H,1.12,7.0,15.0,1.12,6.5,15.0,1.15,6.0,12.0,1.1,7.0,13.0,2004/5,€77.55m,€4.83m,89.2857,89.2857,90.9091,86.9565,14.2857,15.3846,14.2857,16.6667,6.6667,6.6667,7.6923,8.3333,H,89.1092,1.6265,15.1557,1.1327,7.3398,0.82
SC0,14/08/2004,Hearts,Aberdeen,D,1.57,3.75,5.0,1.65,3.25,5.0,1.65,3.3,4.4,1.7,3.3,4.33,2004/5,€11.08m,€6.88m,63.6943,60.6061,58.8235,60.6061,26.6667,30.7692,30.303,30.303,20.0,20.0,23.0947,22.7273,H,60.9325,2.0239,29.5105,1.9085,21.4555,1.6873
SC0,14/08/2004,Kilmarnock,Celtic,A,8.5,5.5,1.25,8.25,4.5,1.3,8.0,4.2,1.3,10.0,4.5,1.25,2004/5,€3.78m,€77.55m,11.7647,12.1212,10.0,12.5,18.1818,22.2222,22.2222,23.8095,80.0,76.9231,80.0,76.9231,A,11.5965,1.1059,21.6089,2.4042,78.4616,1.7764
SC0,14/08/2004,Motherwell,Hibernian,A,2.1,3.25,3.2,2.25,3.25,2.75,2.2,3.0,2.9,2.2,3.2,2.8,2004/5,€4.83m,€13.25m,47.619,44.4444,45.4545,45.4545,30.7692,30.7692,31.25,33.3333,31.25,36.3636,35.7143,34.4828,H,45.7431,1.3382,31.5304,1.2231,34.4527,2.2731
SC0,14/08/2004,Rangers,Livingston,H,1.16,6.0,13.0,1.25,5.0,9.0,1.2,5.0,10.0,1.14,6.0,12.0,2004/5,€80.78m,€9.75m,86.2069,80.0,87.7193,83.3333,16.6667,20.0,16.6667,20.0,7.6923,11.1111,8.3333,10.0,H,84.3149,3.4035,18.3334,1.9245,9.2842,1.5587
SC0,15/08/2004,Dundee United,Dundee,A,2.2,3.25,3.2,2.0,3.25,3.3,2.2,2.9,3.0,2.2,3.1,2.87,2004/5,€8.13m,€9.05m,45.4545,50.0,45.4545,45.4545,30.7692,30.7692,32.2581,34.4828,31.25,30.303,34.8432,33.3333,H,46.5909,2.2727,32.0698,1.7551,32.4324,2.0458
SC0,15/08/2004,Inverness C,Dunfermline,H,2.7,3.25,2.37,2.8,3.2,2.25,2.7,3.0,2.3,2.75,3.2,2.25,2004/5,€2.38m,€6.03m,37.037,35.7143,36.3636,37.037,30.7692,31.25,31.25,33.3333,42.1941,44.4444,44.4444,43.4783,A,36.538,0.6343,31.6506,1.1445,43.6403,1.0663
SC0,21/08/2004,Dundee,Motherwell,A,2.1,3.25,3.0,2.0,3.25,3.25,2.1,3.0,3.1,2.1,3.2,3.0,2004/5,€9.05m,€4.83m,47.619,50.0,47.619,47.619,30.7692,30.7692,31.25,33.3333,33.3333,30.7692,33.3333,32.2581,H,48.2142,1.1905,31.5304,1.2231,32.4235,1.2137
