Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,LBH,LBD,LBA,Season,HomeValue,AwayValue,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,VCH,VCD,VCA,B365H_Prob,BWH_Prob,LBH_Prob,VCH_Prob,B365D_Prob,BWD_Prob,LBD_Prob,VCD_Prob,B365A_Prob,BWA_Prob,LBA_Prob,VCA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
I1,27/08/2005,Fiorentina,Sampdoria,2.0,1.0,H,2.0,0.0,H,2.2,2.87,3.25,2.25,2.9,3.2,2.2,2.8,3.2,2005/6,€138.68m,€61.50m,G. Paparesta,15.0,9.0,9.0,4.0,18.0,23.0,9.0,3.0,1.0,4.0,0.0,0.0,2.2,2.9,3.1,45.45454545454545,44.44444444444444,45.45454545454545,45.45454545454545,34.843205574912886,34.48275862068966,35.714285714285715,34.48275862068966,30.76923076923077,31.25,31.25,32.25806451612903,H,45.20202020202019,0.5050505050505052,34.88075213264448,0.5810868113106175,31.38182382133995,0.6265841370590832
I1,27/08/2005,Livorno,Lecce,2.0,1.0,H,1.0,1.0,D,1.9,2.9,4.0,1.9,3.2,3.8,1.91,3.0,3.75,2005/6,€56.38m,€52.15m,G. Rocchi,17.0,6.0,7.0,5.0,27.0,21.0,9.0,2.0,2.0,3.0,0.0,0.0,1.9,3.0,3.75,52.63157894736842,52.63157894736842,52.35602094240838,52.63157894736842,34.48275862068966,31.25,33.33333333333333,33.33333333333333,25.0,26.31578947368421,26.666666666666668,26.666666666666668,H,52.56268944612841,0.13777900248001984,33.09985632183908,1.347022668629695,26.162280701754387,0.7923113394642827
I1,28/08/2005,Ascoli,Milan,1.0,1.0,D,0.0,0.0,D,7.5,3.75,1.4,9.0,4.5,1.3,8.0,3.75,1.36,2005/6,€24.55m,€269.75m,M. De Santis,8.0,16.0,3.0,9.0,22.0,16.0,0.0,5.0,2.0,1.0,0.0,0.0,8.5,3.75,1.35,13.333333333333334,11.11111111111111,12.5,11.76470588235294,26.666666666666668,22.22222222222222,26.666666666666668,26.666666666666668,71.42857142857143,76.92307692307692,73.52941176470587,74.07407407407408,A,12.177287581699346,0.9569989567859174,25.555555555555557,2.2222222222222228,73.98878354760707,2.2644396375714417
I1,28/08/2005,Inter,Treviso,3.0,0.0,H,1.0,0.0,H,1.16,5.5,13.0,1.16,5.9,15.0,1.17,5.5,12.0,2005/6,€234.93m,€23.53m,P. Tagliavento,16.0,7.0,9.0,3.0,13.0,20.0,6.0,1.0,1.0,3.0,0.0,0.0,1.17,5.5,12.0,86.20689655172414,86.20689655172414,85.47008547008548,85.47008547008548,18.181818181818183,16.94915254237288,18.181818181818183,18.181818181818183,7.6923076923076925,6.666666666666667,8.333333333333332,8.333333333333332,H,85.83849101090482,0.42539807632598153,17.873651771956858,0.6163328197226523,7.756410256410256,0.7868355828855536
I1,28/08/2005,Juventus,Chievo,1.0,0.0,H,1.0,0.0,H,1.25,5.0,13.0,1.22,5.5,10.0,1.2,5.0,11.0,2005/6,€308.90m,€49.55m,M. Trefoloni,16.0,2.0,7.0,0.0,16.0,12.0,6.0,2.0,1.0,2.0,0.0,0.0,1.22,5.0,10.0,80.0,81.9672131147541,83.33333333333334,81.9672131147541,20.0,18.181818181818183,20.0,20.0,7.6923076923076925,10.0,9.090909090909092,10.0,H,81.81693989071039,1.3718459246593693,19.545454545454547,0.9090909090909083,9.195804195804197,1.090101906861531
I1,28/08/2005,Lazio,Messina,1.0,0.0,H,1.0,0.0,H,1.9,3.1,3.75,1.9,3.1,4.0,1.83,3.0,4.0,2005/6,€83.05m,€39.98m,P. Dondarini,7.0,16.0,4.0,7.0,18.0,20.0,6.0,10.0,3.0,1.0,0.0,0.0,1.8,3.0,4.35,52.63157894736842,52.63157894736842,54.64480874316939,55.55555555555556,32.25806451612903,32.25806451612903,33.33333333333333,33.33333333333333,26.666666666666668,25.0,25.0,22.98850574712644,H,53.86588054836544,1.4729484769254593,32.795698924731184,0.6208067410641112,24.913793103448278,1.5048987109956191
I1,28/08/2005,Parma,Palermo,1.0,1.0,D,0.0,1.0,A,2.4,2.87,2.87,2.55,2.9,2.75,2.38,2.88,2.8,2005/6,€57.05m,€94.20m,T. Pieri,8.0,14.0,3.0,9.0,18.0,9.0,3.0,8.0,3.0,0.0,0.0,0.0,2.4,2.9,2.8,41.66666666666667,39.21568627450981,42.016806722689076,41.66666666666667,34.843205574912886,34.48275862068966,34.72222222222222,34.48275862068966,34.843205574912886,36.36363636363637,35.714285714285715,35.714285714285715,H,41.141456582633054,1.2944136912242548,34.63273625962861,0.18008484531922025,35.65885334178017,0.6240047765136434
I1,28/08/2005,Reggina,Roma,0.0,3.0,A,0.0,1.0,A,3.5,3.0,2.0,3.9,3.15,1.9,3.4,2.88,2.1,2005/6,€43.65m,€193.20m,R. Rosetti,5.0,13.0,3.0,9.0,19.0,18.0,2.0,4.0,0.0,0.0,1.0,0.0,3.5,3.0,2.0,28.57142857142857,25.641025641025646,29.411764705882355,28.57142857142857,33.33333333333333,31.746031746031743,34.72222222222222,33.33333333333333,50.0,52.63157894736842,47.61904761904761,50.0,A,28.048911872441284,1.6534137766552872,33.28373015873015,1.216373952232112,50.06265664160401,2.0476359195950122
I1,28/08/2005,Siena,Cagliari,2.0,1.0,H,1.0,1.0,D,2.2,3.0,3.1,2.2,2.9,3.3,2.2,2.8,3.2,2005/6,€34.98m,€35.65m,C. Brighi,10.0,9.0,6.0,6.0,21.0,19.0,4.0,4.0,2.0,2.0,1.0,0.0,2.25,2.8,3.1,45.45454545454545,45.45454545454545,45.45454545454545,44.44444444444444,33.33333333333333,34.48275862068966,35.714285714285715,35.714285714285715,32.25806451612903,30.303030303030305,31.25,32.25806451612903,H,45.20202020202021,0.5050505050505052,34.81116584564861,1.1435458355652008,31.51728983382209,0.938680691764995
I1,28/08/2005,Udinese,Empoli,1.0,0.0,H,1.0,0.0,H,1.57,3.25,6.0,1.6,3.4,5.5,1.57,3.2,6.0,2005/6,€89.60m,€37.00m,A. De Marco,12.0,8.0,8.0,4.0,20.0,12.0,6.0,5.0,2.0,1.0,0.0,0.0,1.55,3.3,5.5,63.69426751592356,62.5,63.69426751592356,64.51612903225806,30.76923076923077,29.411764705882355,31.25,30.303030303030305,16.666666666666664,18.181818181818183,16.666666666666664,18.181818181818183,H,63.6011660160263,0.8300722246667056,30.43350644453586,0.783231075378395,17.424242424242422,0.8747731351357988
