Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
D1,06/08/2004,Werder Bremen,Schalke 04,H,1.9,3.25,3.5,2.0,3.25,3.4,2004/5,€98.48m,€86.33m,1.95,0.050000000000000044,0.9995256892936492,0.025641025641025664,0.012820512820512775,0.5003287310979619,3.25,0.0,1.0,0.0,0.0,0.5,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,H
D1,07/08/2004,Dortmund,Wolfsburg,A,1.57,3.4,5.5,1.55,3.7,5.4,2004/5,€78.33m,€59.30m,1.56,0.010000000000000009,0.9999703586266963,0.006410256410256416,0.0032051282051281937,0.5000205456936226,3.55,0.15000000000000013,0.9987117514654893,0.042253521126760604,0.021126760563380254,0.5008926800238049,5.45,0.04999999999999982,0.9999392847706551,0.009174311926605472,0.004587155963302836,0.5000420839996633,H
D1,07/08/2004,Freiburg,Hansa Rostock,D,2.1,3.25,3.0,2.0,3.25,3.4,2004/5,€22.43m,€25.90m,2.05,0.050000000000000044,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,3.25,0.0,1.0,0.0,0.0,0.5,3.2,0.19999999999999996,0.9971803988942641,0.062499999999999986,0.03125,0.501953125,H
D1,07/08/2004,Hamburg,Bayern Munich,A,3.25,3.25,2.0,3.75,3.4,1.85,2004/5,€65.60m,€175.30m,3.5,0.25,0.9963165195589622,0.07142857142857142,0.03571428571428581,0.5025510204081634,3.325,0.07499999999999996,0.9996329539081624,0.022556390977443594,0.011278195488721776,0.5002543953869636,1.925,0.07499999999999996,0.9989047442823606,0.03896103896103894,0.01948051948051943,0.500758981278462,A
D1,07/08/2004,Hertha,Bochum,D,1.83,3.25,3.75,1.7,3.5,4.4,2004/5,€71.78m,€31.40m,1.7650000000000001,0.06500000000000006,0.9990214567006731,0.03682719546742213,0.018413597733710985,0.5006781211629979,3.375,0.125,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414,4.075,0.3250000000000002,0.9954067786036346,0.0797546012269939,0.039877300613496924,0.5031803982084384,H
D1,07/08/2004,Kaiserslautern,Nurnberg,A,1.72,3.25,4.33,1.75,3.4,4.2,2004/5,€33.75m,€34.90m,1.7349999999999999,0.015000000000000013,0.9999460820323864,0.008645533141210382,0.004322766570605152,0.500037372621648,3.325,0.07499999999999996,0.9996329539081624,0.022556390977443594,0.011278195488721776,0.5002543953869636,4.265000000000001,0.06499999999999995,0.9998324478523544,0.015240328253223901,0.007620164126612039,0.500116133802633,H
D1,07/08/2004,Leverkusen,Hannover,H,1.5,3.5,6.0,1.45,4.0,6.2,2004/5,€86.93m,€42.98m,1.475,0.025000000000000022,0.999792765854127,0.016949152542372895,0.008474576271186418,0.5001436368859524,3.75,0.25,0.9967916319816367,0.06666666666666667,0.03333333333333344,0.5022222222222222,6.1,0.10000000000000009,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,H
D1,08/08/2004,Bielefeld,M'gladbach,D,2.25,3.25,2.75,2.4,3.3,2.6,2004/5,€24.65m,€50.93m,2.325,0.07499999999999996,0.9992492479956566,0.03225806451612901,0.016129032258064502,0.5005202913631633,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.675,0.07499999999999996,0.9994328781096229,0.02803738317757008,0.014018691588784993,0.500393047427723,H
D1,08/08/2004,Stuttgart,Mainz,H,1.4,3.75,7.5,1.4,4.2,6.7,2004/5,€79.50m,€16.73m,1.4,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.975,0.2250000000000001,0.9976875760352552,0.05660377358490568,0.028301886792452935,0.5016019935920256,7.1,0.3999999999999999,0.9977092494493172,0.05633802816901407,0.028169014084507005,0.5015869867089864,H
D1,14/08/2004,Bayern Munich,Hertha,D,1.4,4.0,9.0,1.3,4.7,8.2,2004/5,€175.30m,€71.78m,1.35,0.04999999999999993,0.9990102708804813,0.037037037037036986,0.0185185185185186,0.5006858710562414,4.35,0.3500000000000001,0.9953251070631716,0.08045977011494256,0.04022988505747116,0.5032368873034747,8.6,0.40000000000000036,0.9984389230256236,0.046511627906976785,0.023255813953488413,0.5010816657652786,H
D1,14/08/2004,Hansa Rostock,Werder Bremen,A,2.8,3.25,2.2,3.4,3.25,2.0,2004/5,€25.90m,€98.48m,3.0999999999999996,0.30000000000000004,0.9932338197397066,0.09677419354838712,0.04838709677419328,0.5046826222684703,3.25,0.0,1.0,0.0,0.0,0.5,2.1,0.10000000000000009,0.998363672593813,0.04761904761904766,0.023809523809523725,0.5011337868480725,A
D1,14/08/2004,Mainz,Hamburg,H,2.6,3.2,2.4,2.5,3.3,2.5,2004/5,€16.73m,€65.60m,2.55,0.050000000000000044,0.9997226475394071,0.01960784313725492,0.009803921568627416,0.5001922337562477,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.45,0.050000000000000044,0.9996995428565172,0.020408163265306138,0.010204081632652962,0.5002082465639317,A
D1,14/08/2004,M'gladbach,Dortmund,A,2.5,3.2,2.5,2.5,3.3,2.5,2004/5,€50.93m,€78.33m,2.5,0.0,1.0,0.0,0.0,0.5,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.5,0.0,1.0,0.0,0.0,0.5,No Consensus
D1,14/08/2004,Nurnberg,Stuttgart,D,2.8,3.25,2.2,3.2,3.3,2.05,2004/5,€34.90m,€79.50m,3.0,0.20000000000000018,0.9967916319816367,0.06666666666666672,0.033333333333333215,0.5022222222222221,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.125,0.07500000000000018,0.9991012489684958,0.035294117647058906,0.01764705882352935,0.5006228373702423,A
D1,14/08/2004,Schalke 04,Kaiserslautern,H,1.53,3.5,5.5,1.5,3.7,6.0,2004/5,€86.33m,€33.75m,1.5150000000000001,0.015000000000000013,0.9999292854321659,0.00990099009900991,0.004950495049504955,0.5000490148024703,3.6,0.10000000000000009,0.9994433330902991,0.0277777777777778,0.013888888888889062,0.5003858024691357,5.75,0.25,0.9986359641585719,0.043478260869565216,0.021739130434782705,0.5009451795841209,H
D1,15/08/2004,Bochum,Leverkusen,D,2.37,3.2,2.62,2.5,3.3,2.5,2004/5,€31.40m,€86.93m,2.435,0.06499999999999995,0.9994859268576827,0.026694045174537964,0.013347022587268942,0.5003562860238902,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.56,0.06000000000000005,0.9996037156868481,0.02343750000000002,0.01171875,0.500274658203125,H
D1,15/08/2004,Wolfsburg,Freiburg,A,1.61,3.4,5.0,1.65,3.6,4.7,2004/5,€59.30m,€22.43m,1.63,0.019999999999999907,0.9998913973997495,0.012269938650306692,0.006134969325153339,0.5000752756972412,3.5,0.10000000000000009,0.9994110647387552,0.0285714285714286,0.014285714285714235,0.5004081632653062,4.85,0.1499999999999999,0.999309898706868,0.030927835051546376,0.015463917525773141,0.5004782654904878,H
D1,28/08/2004,Bielefeld,Bochum,A,2.3,3.2,2.7,2.4,3.3,2.6,2004/5,€24.65m,€31.40m,2.3499999999999996,0.050000000000000044,0.9996734260048916,0.021276595744680875,0.010638297872340496,0.5002263467632414,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.6500000000000004,0.050000000000000044,0.9997431860710851,0.0188679245283019,0.009433962264151052,0.5001779992880029,H
D1,28/08/2004,Freiburg,M'gladbach,D,1.9,3.25,3.5,1.95,3.3,3.5,2004/5,€22.43m,€50.93m,1.9249999999999998,0.025000000000000022,0.9998783322990061,0.012987012987013,0.006493506493506329,0.5000843312531624,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,3.5,0.0,1.0,0.0,0.0,0.5,H
D1,28/08/2004,Hamburg,Nurnberg,H,1.8,3.25,4.0,1.75,3.4,4.2,2004/5,€65.60m,€34.90m,1.775,0.025000000000000022,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116,3.325,0.07499999999999996,0.9996329539081624,0.022556390977443594,0.011278195488721776,0.5002543953869636,4.1,0.10000000000000009,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,H
D1,28/08/2004,Hertha,Mainz,D,1.53,3.4,6.0,1.5,3.8,5.8,2004/5,€71.78m,€16.73m,1.5150000000000001,0.015000000000000013,0.9999292854321659,0.00990099009900991,0.004950495049504955,0.5000490148024703,3.5999999999999996,0.19999999999999996,0.997772472089982,0.055555555555555546,0.02777777777777768,0.5015432098765432,5.9,0.10000000000000009,0.999792765854127,0.016949152542372895,0.008474576271186418,0.5001436368859524,H
D1,28/08/2004,Kaiserslautern,Stuttgart,A,2.75,3.25,2.25,2.75,3.3,2.3,2004/5,€33.75m,€79.50m,2.75,0.0,1.0,0.0,0.0,0.5,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.275,0.02499999999999991,0.9999128895013563,0.01098901098901095,0.005494505494505475,0.5000603791812583,A
D1,28/08/2004,Leverkusen,Bayern Munich,H,2.9,3.2,2.37,3.2,3.3,2.05,2004/5,€86.93m,€175.30m,3.05,0.15000000000000013,0.9982545693874834,0.04918032786885251,0.024590163934426146,0.5012093523246439,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.21,0.16000000000000014,0.996215748559975,0.07239819004524893,0.03619909502262453,0.502620748960914,A
D1,28/08/2004,Schalke 04,Hansa Rostock,A,1.5,3.5,6.0,1.4,4.2,6.6,2004/5,€86.33m,€25.90m,1.45,0.050000000000000044,0.9991421039919088,0.03448275862068969,0.01724137931034475,0.5005945303210464,3.85,0.3500000000000001,0.9940302114769566,0.09090909090909093,0.045454545454545636,0.5041322314049588,6.3,0.2999999999999998,0.998363672593813,0.047619047619047596,0.023809523809523725,0.5011337868480726,H
D1,29/08/2004,Dortmund,Hannover,D,1.5,3.5,6.0,1.4,4.2,6.6,2004/5,€78.33m,€42.98m,1.45,0.050000000000000044,0.9991421039919088,0.03448275862068969,0.01724137931034475,0.5005945303210464,3.85,0.3500000000000001,0.9940302114769566,0.09090909090909093,0.045454545454545636,0.5041322314049588,6.3,0.2999999999999998,0.998363672593813,0.047619047619047596,0.023809523809523725,0.5011337868480726,H
D1,29/08/2004,Werder Bremen,Wolfsburg,A,1.44,3.75,6.5,1.45,4.1,6.0,2004/5,€98.48m,€59.30m,1.4449999999999998,0.0050000000000000044,0.9999913632624142,0.003460207612456751,0.0017301038062282892,0.5000059865183607,3.925,0.17499999999999982,0.9985655503828758,0.04458598726114645,0.022292993630573132,0.5009939551300255,6.25,0.25,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,H
D1,11/09/2004,Bayern Munich,Bielefeld,H,1.2,5.0,12.0,1.2,5.6,11.0,2004/5,€175.30m,€24.65m,1.2,0.0,1.0,0.0,0.0,0.5,5.3,0.2999999999999998,0.9976875760352552,0.05660377358490563,0.028301886792452713,0.5016019935920256,11.5,0.5,0.9986359641585719,0.043478260869565216,0.021739130434782705,0.5009451795841209,H
D1,11/09/2004,Bochum,Dortmund,D,2.375,3.2,2.625,2.5,3.3,2.5,2004/5,€31.40m,€78.33m,2.4375,0.0625,0.9995256892936492,0.02564102564102564,0.012820512820512775,0.5003287310979618,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.5625,0.0625,0.9995708393473225,0.024390243902439025,0.012195121951219523,0.5002974419988102,H
D1,11/09/2004,Mainz,Leverkusen,H,3.5,3.25,1.909,3.95,3.4,1.8,2004/5,€16.73m,€86.93m,3.725,0.2250000000000001,0.9973665721927737,0.06040268456375841,0.03020134228187943,0.5018242421512547,3.325,0.07499999999999996,0.9996329539081624,0.022556390977443594,0.011278195488721776,0.5002543953869636,1.8545,0.05449999999999999,0.9993769162817145,0.029387975195470473,0.014693987597735214,0.5004318265430446,A
D1,11/09/2004,M'gladbach,Werder Bremen,H,2.875,3.2,2.2,3.2,3.3,2.05,2004/5,€50.93m,€98.48m,3.0375,0.1625000000000001,0.9979344959572083,0.0534979423868313,0.026748971193415905,0.5014310149198125,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.125,0.07500000000000018,0.9991012489684958,0.035294117647058906,0.01764705882352935,0.5006228373702423,A
D1,11/09/2004,Nurnberg,Hertha,D,2.25,3.2,2.8,2.4,3.3,2.6,2004/5,€34.90m,€71.78m,2.325,0.07499999999999996,0.9992492479956566,0.03225806451612901,0.016129032258064502,0.5005202913631633,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.7,0.09999999999999987,0.9990102708804813,0.037037037037036986,0.0185185185185186,0.5006858710562414,H
D1,11/09/2004,Stuttgart,Hamburg,H,1.571,3.6,5.0,1.5,3.9,5.6,2004/5,€79.50m,€65.60m,1.5354999999999999,0.035499999999999976,0.9996143970891773,0.023119505047215876,0.011559752523607969,0.5002672557568141,3.75,0.1499999999999999,0.9988455359952018,0.03999999999999997,0.020000000000000018,0.5007999999999999,5.3,0.2999999999999998,0.9976875760352552,0.05660377358490563,0.028301886792452713,0.5016019935920256,H
D1,11/09/2004,Wolfsburg,Schalke 04,H,2.3,3.2,2.7,2.4,3.3,2.6,2004/5,€59.30m,€86.33m,2.3499999999999996,0.050000000000000044,0.9996734260048916,0.021276595744680875,0.010638297872340496,0.5002263467632414,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,2.6500000000000004,0.050000000000000044,0.9997431860710851,0.0188679245283019,0.009433962264151052,0.5001779992880029,H
D1,12/09/2004,Hannover,Freiburg,D,1.833,3.25,3.75,1.8,3.4,3.95,2004/5,€42.98m,€22.43m,1.8165,0.01649999999999996,0.9999404820999669,0.00908340214698594,0.004541701073492943,0.5000412540972821,3.325,0.07499999999999996,0.9996329539081624,0.022556390977443594,0.011278195488721776,0.5002543953869636,3.85,0.10000000000000009,0.9995132881417702,0.025974025974025997,0.012987012987013102,0.5003373250126497,H
D1,12/09/2004,Hansa Rostock,Kaiserslautern,A,1.909,3.25,3.5,1.9,3.3,3.7,2004/5,€25.90m,€33.75m,1.9045,0.0045000000000000595,0.9999959727552784,0.002362824888422189,0.0011814124442113272,0.5000027914707267,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,3.6,0.10000000000000009,0.9994433330902991,0.0277777777777778,0.013888888888889062,0.5003858024691357,H
