Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
N1,13/08/2004,Roda,Vitesse,A,1.66,3.4,4.5,1.6,3.6,4.75,2004/5,€20.93m,€21.40m,1.63,0.029999999999999916,0.999755636483938,0.018404907975460072,0.00920245398773023,0.5001693703187927,3.5,0.10000000000000009,0.9994110647387552,0.0285714285714286,0.014285714285714235,0.5004081632653062,4.625,0.125,0.9994730201859837,0.02702702702702703,0.013513513513513598,0.5003652300949598
N1,14/08/2004,AZ Alkmaar,Heerenveen,D,1.9,3.25,3.5,1.95,3.35,3.3,2004/5,€50.00m,€31.20m,1.9249999999999998,0.025000000000000022,0.9998783322990061,0.012987012987013,0.006493506493506329,0.5000843312531624,3.3,0.050000000000000044,0.9998343950590575,0.015151515151515166,0.007575757575757569,0.5001147842056932,3.4,0.10000000000000009,0.9993759069576513,0.02941176470588238,0.014705882352941124,0.500432525951557
N1,14/08/2004,NAC Breda,Utrecht,H,2.0,3.25,3.25,1.9,3.4,3.4,2004/5,€17.45m,€20.30m,1.95,0.050000000000000044,0.9995256892936492,0.025641025641025664,0.012820512820512775,0.5003287310979619,3.325,0.07499999999999996,0.9996329539081624,0.022556390977443594,0.011278195488721776,0.5002543953869636,3.325,0.07499999999999996,0.9996329539081624,0.022556390977443594,0.011278195488721776,0.5002543953869636
N1,14/08/2004,Nijmegen,Willem II,H,2.2,3.25,2.8,2.2,3.25,2.85,2004/5,€16.88m,€13.98m,2.2,0.0,1.0,0.0,0.0,0.5,3.25,0.0,1.0,0.0,0.0,0.5,2.825,0.025000000000000133,0.9999435071707976,0.00884955752212394,0.004424778761062065,0.5000391573341687
N1,14/08/2004,Roosendaal,PSV Eindhoven,A,5.0,3.6,1.57,4.5,3.55,1.65,2004/5,€10.70m,€86.85m,4.75,0.25,0.9980008838722995,0.05263157894736842,0.026315789473684292,0.5013850415512465,3.575,0.025000000000000133,0.9999647242701453,0.00699300699300703,0.0034965034965037667,0.5000244510734022,1.6099999999999999,0.039999999999999925,0.9995546951129243,0.024844720496894367,0.012422360248447006,0.5003086300682844
N1,15/08/2004,Den Bosch,Den Haag,H,2.2,3.25,2.8,2.1,3.3,3.0,2004/5,€8.35m,€9.92m,2.1500000000000004,0.050000000000000044,0.9996098363678071,0.02325581395348839,0.011627906976744429,0.5002704164413196,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.9,0.10000000000000009,0.9991421039919088,0.03448275862068969,0.01724137931034475,0.5005945303210464
N1,15/08/2004,Feyenoord,Graafschap,H,1.16,5.5,13.0,1.25,5.25,8.0,2004/5,€66.43m,€12.28m,1.205,0.04500000000000004,0.9989937718417491,0.037344398340248997,0.018672199170124415,0.5006973020436977,5.375,0.125,0.9996098363678071,0.023255813953488372,0.011627906976744207,0.5002704164413196,10.5,2.5,0.9587118829771317,0.23809523809523808,0.11904761904761907,0.528344671201814
N1,15/08/2004,Groningen,Waalwijk,D,2.1,3.25,3.0,2.0,3.35,3.2,2004/5,€12.95m,€19.33m,2.05,0.050000000000000044,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,3.3,0.050000000000000044,0.9998343950590575,0.015151515151515166,0.007575757575757569,0.5001147842056932,3.1,0.10000000000000009,0.9992492479956566,0.03225806451612906,0.016129032258064724,0.5005202913631634
N1,15/08/2004,Twente,Ajax,A,4.0,3.5,1.72,4.0,3.45,1.75,2004/5,€13.25m,€114.50m,4.0,0.0,1.0,0.0,0.0,0.5,3.475,0.02499999999999991,0.999962664782203,0.007194244604316521,0.003597122302158251,0.5000258785777133,1.7349999999999999,0.015000000000000013,0.9999460820323864,0.008645533141210382,0.004322766570605152,0.500037372621648
N1,20/08/2004,Vitesse,Groningen,H,1.8,3.3,3.75,1.8,3.3,3.75,2004/5,€21.40m,€12.95m,1.8,0.0,1.0,0.0,0.0,0.5,3.3,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.75,0.0,1.0,0.0,0.0,0.5
N1,21/08/2004,Den Haag,Nijmegen,A,2.2,3.25,2.75,2.1,3.3,3.0,2004/5,€9.92m,€16.88m,2.1500000000000004,0.050000000000000044,0.9996098363678071,0.02325581395348839,0.011627906976744429,0.5002704164413196,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.875,0.125,0.9986359641585719,0.043478260869565216,0.021739130434782705,0.5009451795841209
N1,21/08/2004,Heerenveen,Roda,A,1.9,3.25,3.4,2.0,3.15,3.3,2004/5,€31.20m,€20.93m,1.95,0.050000000000000044,0.9995256892936492,0.025641025641025664,0.012820512820512775,0.5003287310979619,3.2,0.050000000000000044,0.999823882598873,0.015625000000000014,0.0078125,0.5001220703125,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994
N1,21/08/2004,PSV Eindhoven,AZ Alkmaar,H,1.44,3.75,6.0,1.45,3.8,6.0,2004/5,€86.85m,€50.00m,1.4449999999999998,0.0050000000000000044,0.9999913632624142,0.003460207612456751,0.0017301038062282892,0.5000059865183607,3.775,0.02499999999999991,0.9999683631071745,0.006622516556291367,0.0033112582781456013,0.5000219288627692,6.0,0.0,1.0,0.0,0.0,0.5
N1,21/08/2004,Waalwijk,Twente,H,2.2,3.25,2.75,2.2,3.25,2.85,2004/5,€19.33m,€13.25m,2.2,0.0,1.0,0.0,0.0,0.5,3.25,0.0,1.0,0.0,0.0,0.5,2.8,0.050000000000000044,0.9997699662429027,0.017857142857142873,0.008928571428571397,0.5001594387755102
N1,22/08/2004,Ajax,NAC Breda,H,1.22,5.0,9.0,1.2,6.0,9.0,2004/5,€114.50m,€17.45m,1.21,0.010000000000000009,0.9999507304328823,0.008264462809917363,0.004132231404958553,0.5000341506727681,5.5,0.5,0.9940302114769566,0.09090909090909091,0.045454545454545414,0.5041322314049586,9.0,0.0,1.0,0.0,0.0,0.5
N1,22/08/2004,Graafschap,Den Bosch,D,2.3,3.4,2.5,2.1,3.3,3.0,2004/5,€12.28m,€8.35m,2.2,0.09999999999999987,0.9985090989176322,0.04545454545454539,0.02272727272727293,0.5010330578512396,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,2.75,0.25,0.9940302114769566,0.09090909090909091,0.045454545454545414,0.5041322314049586
N1,22/08/2004,Utrecht,Roosendaal,H,1.66,3.4,4.33,1.65,3.4,4.6,2004/5,€20.30m,€10.70m,1.6549999999999998,0.0050000000000000044,0.9999934160091841,0.0030211480362537795,0.0015105740181269312,0.5000045636677284,3.4,0.0,1.0,0.0,0.0,0.5,4.465,0.1349999999999998,0.999340468804219,0.03023516237402011,0.01511758118701012,0.5004570825218917
N1,22/08/2004,Willem II,Feyenoord,A,3.5,3.2,1.9,3.4,3.4,1.9,2004/5,€13.98m,€66.43m,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,3.3,0.09999999999999987,0.9993375041688846,0.030303030303030266,0.015151515151514916,0.5004591368227731,1.9,0.0,1.0,0.0,2.220446049250313e-16,0.5
