Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
G1,11/12/2004,Aris,Egaleo,0.0,0.0,D,0.0,0.0,2.5,3.1,2.5,2.65,2.7,2.85,2004/5,€12.16m,€15.06m,2.575,0.07499999999999996,0.9993879681484049,0.02912621359223299,0.014563106796116498,0.5004241681591102,2.9000000000000004,0.19999999999999996,0.9965663713274552,0.06896551724137928,0.034482758620689724,0.5023781212841855,2.675,0.17500000000000004,0.9969105350354788,0.06542056074766357,0.032710280373831724,0.5021399248842695,No Consensus
G1,11/12/2004,Iraklis,Panionios,0.0,1.0,A,0.0,1.0,1.9,3.2,3.5,2.1,3.0,3.45,2004/5,€17.25m,€14.00m,2.0,0.10000000000000009,0.99819587904281,0.050000000000000044,0.02499999999999991,0.50125,3.1,0.10000000000000009,0.9992492479956566,0.03225806451612906,0.016129032258064724,0.5005202913631634,3.475,0.02499999999999991,0.999962664782203,0.007194244604316521,0.003597122302158251,0.5000258785777133,H
G1,11/12/2004,Xanthi,AEK,1.0,1.0,D,0.0,0.0,3.2,3.0,2.1,3.35,2.85,2.2,2004/5,€13.78m,€31.63m,3.2750000000000004,0.07499999999999996,0.9996216598529407,0.02290076335877861,0.011450381679389388,0.5002622224812074,2.925,0.07499999999999996,0.9995256892936492,0.025641025641025626,0.012820512820512775,0.5003287310979619,2.1500000000000004,0.050000000000000044,0.9996098363678071,0.02325581395348839,0.011627906976744429,0.5002704164413196,A
G1,12/12/2004,Ionikos,Chalkidona,0.0,0.0,D,0.0,0.0,2.3,2.87,2.9,2.6,2.75,2.85,2004/5,€8.41m,€9.45m,2.45,0.15000000000000013,0.9972943816462349,0.061224489795918415,0.03061224489795933,0.5018742190753852,2.81,0.06000000000000005,0.9996710973219433,0.021352313167259804,0.010676156583629748,0.5002279606387965,2.875,0.02499999999999991,0.9999454550766408,0.008695652173913012,0.004347826086956497,0.5000378071833649,H
G1,12/12/2004,Kallithea,Kerkyra,1.0,2.0,A,0.0,1.0,1.57,3.5,5.0,1.65,3.4,5.0,2004/5,€8.27m,€8.16m,1.6099999999999999,0.039999999999999925,0.9995546951129243,0.024844720496894367,0.012422360248447006,0.5003086300682844,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,5.0,0.0,1.0,0.0,0.0,0.5,H
G1,12/12/2004,OFI Crete,PAOK,2.0,2.0,D,1.0,1.0,2.3,2.87,2.9,2.4,3.0,2.85,2004/5,€9.95m,€19.95m,2.3499999999999996,0.050000000000000044,0.9996734260048916,0.021276595744680875,0.010638297872340496,0.5002263467632414,2.935,0.06499999999999995,0.999646173340569,0.02214650766609879,0.011073253833049357,0.5002452339009023,2.875,0.02499999999999991,0.9999454550766408,0.008695652173913012,0.004347826086956497,0.5000378071833649,H
G1,12/12/2004,Olympiakos,Kalamaria,2.0,0.0,H,1.0,0.0,1.08,7.0,17.0,1.07,8.0,25.0,2004/5,€48.60m,€6.94m,1.0750000000000002,0.0050000000000000044,0.9999843948053797,0.004651162790697678,0.0023255813953488857,0.5000108166576529,7.5,0.5,0.9967916319816367,0.06666666666666667,0.03333333333333344,0.5022222222222222,21.0,4.0,0.9736680645496202,0.19047619047619047,0.09523809523809534,0.5181405895691611,H
G1,12/12/2004,Panathinaikos,Ergotelis,1.0,0.0,H,0.0,0.0,1.08,7.0,17.0,1.07,8.0,25.0,2004/5,€56.50m,€8.58m,1.0750000000000002,0.0050000000000000044,0.9999843948053797,0.004651162790697678,0.0023255813953488857,0.5000108166576529,7.5,0.5,0.9967916319816367,0.06666666666666667,0.03333333333333344,0.5022222222222222,21.0,4.0,0.9736680645496202,0.19047619047619047,0.09523809523809534,0.5181405895691611,H
G1,18/12/2004,Kerkyra,Aris,0.0,0.0,D,0.0,0.0,2.2,3.0,3.0,2.4,2.85,3.0,2004/5,€8.16m,€12.16m,2.3,0.09999999999999987,0.9986359641585719,0.04347826086956516,0.021739130434782483,0.500945179584121,2.925,0.07499999999999996,0.9995256892936492,0.025641025641025626,0.012820512820512775,0.5003287310979619,3.0,0.0,1.0,0.0,0.0,0.5,H
G1,19/12/2004,AEK,OFI Crete,1.0,1.0,D,0.0,1.0,1.28,4.5,8.0,1.3,4.55,9.0,2004/5,€31.63m,€9.95m,1.29,0.010000000000000009,0.9999566519593042,0.007751937984496131,0.003875968992248069,0.5000300462712577,4.525,0.02499999999999991,0.9999779814050171,0.0055248618784530185,0.0027624309392264568,0.500015262049388,8.5,0.5,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284,H
G1,19/12/2004,Chalkidona,Panathinaikos,0.0,2.0,A,0.0,1.0,5.5,3.6,1.5,7.0,3.8,1.44,2004/5,€9.45m,€56.50m,6.25,0.75,0.9895875212220555,0.12,0.06000000000000005,0.5072000000000001,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,1.47,0.030000000000000027,0.9996995428565172,0.02040816326530614,0.010204081632652962,0.5002082465639317,A
G1,19/12/2004,Egaleo,Olympiakos,2.0,2.0,D,0.0,1.0,5.5,3.6,1.5,7.0,3.8,1.44,2004/5,€15.06m,€48.60m,6.25,0.75,0.9895875212220555,0.12,0.06000000000000005,0.5072000000000001,3.7,0.09999999999999987,0.9994730201859837,0.02702702702702699,0.013513513513513598,0.5003652300949597,1.47,0.030000000000000027,0.9996995428565172,0.02040816326530614,0.010204081632652962,0.5002082465639317,A
G1,19/12/2004,Ergotelis,Kalamaria,4.0,1.0,H,0.0,0.0,2.3,3.0,2.8,2.1,3.0,3.45,2004/5,€8.58m,€6.94m,2.2,0.09999999999999987,0.9985090989176322,0.04545454545454539,0.02272727272727293,0.5010330578512396,3.0,0.0,1.0,0.0,0.0,0.5,3.125,0.3250000000000002,0.992183779438731,0.10400000000000005,0.051999999999999824,0.5054080000000001,H
G1,19/12/2004,Iraklis,Xanthi,1.0,1.0,D,1.0,1.0,2.0,3.1,3.3,1.85,3.2,4.1,2004/5,€17.25m,€13.78m,1.925,0.07499999999999996,0.9989047442823606,0.03896103896103894,0.01948051948051943,0.500758981278462,3.1500000000000004,0.050000000000000044,0.9998182469603429,0.015873015873015886,0.00793650793650813,0.5001259763164526,3.6999999999999997,0.3999999999999999,0.9915528503834039,0.10810810810810809,0.054054054054053946,0.5058436815193572,H
G1,19/12/2004,Panionios,Kallithea,1.0,1.0,D,1.0,0.0,1.61,3.5,4.5,1.45,3.75,7.0,2004/5,€14.00m,€8.27m,1.53,0.08000000000000007,0.9980269425991263,0.05228758169934645,0.026143790849673332,0.501366995599983,3.625,0.125,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463,5.75,1.25,0.9656361333706097,0.21739130434782608,0.10869565217391308,0.5236294896030247,H
G1,19/12/2004,PAOK,Ionikos,3.0,0.0,H,1.0,0.0,1.57,3.5,5.0,1.55,3.55,5.75,2004/5,€19.95m,€8.41m,1.56,0.010000000000000009,0.9999703586266963,0.006410256410256416,0.0032051282051281937,0.5000205456936226,3.525,0.02499999999999991,0.9999637164343959,0.007092198581560258,0.0035460992907800915,0.5000251496403603,5.375,0.375,0.996485989886783,0.06976744186046512,0.03488372093023262,0.5024337479718768,H
G1,29/12/2004,Aris,Panionios,1.0,0.0,H,0.0,0.0,2.4,2.9,2.75,2.7,2.75,2.75,2004/5,€12.16m,€14.00m,2.55,0.15000000000000013,0.9975025463691153,0.05882352941176476,0.02941176470588225,0.5017301038062285,2.825,0.07499999999999996,0.9994915114306262,0.026548672566371664,0.013274336283185972,0.5003524160075183,2.75,0.0,1.0,0.0,0.0,0.5,H
G1,29/12/2004,Ergotelis,Egaleo,2.0,1.0,H,1.0,0.0,3.2,3.0,2.1,3.25,2.85,2.25,2004/5,€8.58m,€15.06m,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,2.925,0.07499999999999996,0.9995256892936492,0.025641025641025626,0.012820512820512775,0.5003287310979619,2.175,0.07499999999999996,0.9991421039919088,0.03448275862068964,0.017241379310344973,0.5005945303210464,A
G1,29/12/2004,Ionikos,AEK,2.0,3.0,A,1.0,2.0,3.8,3.2,1.8,4.15,3.15,1.85,2004/5,€8.41m,€31.63m,3.975,0.17500000000000027,0.9986014218031777,0.04402515723270447,0.022012578616352307,0.5009691072346821,3.175,0.025000000000000133,0.9999552759021286,0.00787401574803154,0.003937007874015741,0.5000310000620001,1.8250000000000002,0.025000000000000022,0.9998646331239297,0.013698630136986313,0.006849315068493178,0.5000938262338149,A
G1,29/12/2004,Kalamaria,Chalkidona,0.0,2.0,A,0.0,1.0,2.5,3.1,2.5,2.6,2.95,2.65,2004/5,€6.94m,€9.45m,2.55,0.050000000000000044,0.9997226475394071,0.01960784313725492,0.009803921568627416,0.5001922337562477,3.0250000000000004,0.07499999999999996,0.9995565335032317,0.02479338842975205,0.012396694214876103,0.5003073560549144,2.575,0.07499999999999996,0.9993879681484049,0.02912621359223299,0.014563106796116498,0.5004241681591102,No Consensus
