Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
T1,16/08/2019,Denizlispor,Galatasaray,H,4.5,3.75,1.75,4.25,3.8,1.75,2019/20,€15.95m,€105.13m,4.34,3.99,1.8,4.15,3.75,1.9,4.2,3.6,1.83,4.375,0.125,0.9994110647387552,0.02857142857142857,0.014285714285714235,0.5004081632653061,3.775,0.02499999999999991,0.9999683631071745,0.006622516556291367,0.0033112582781456013,0.5000219288627692,1.75,0.0,1.0,0.0,0.0,0.5
T1,17/08/2019,Genclerbirligi,Rizespor,A,2.1,3.3,3.5,2.1,3.3,3.4,2019/20,€13.75m,€22.68m,2.08,3.53,3.7,2.11,3.46,3.66,2.05,3.3,3.6,2.1,0.0,1.0,0.0,0.0,0.5,3.3,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913
T1,17/08/2019,Kayserispor,Alanyaspor,A,2.4,3.2,3.0,2.35,3.2,3.0,2019/20,€21.58m,€21.30m,2.44,3.52,2.93,3.55,3.37,2.19,4.0,3.0,2.05,2.375,0.02499999999999991,0.9999200708207958,0.010526315789473648,0.0052631578947368585,0.5000554016620499,3.2,0.0,1.0,0.0,-2.220446049250313e-16,0.5,3.0,0.0,1.0,0.0,0.0,0.5
T1,17/08/2019,Sivasspor,Besiktas,H,2.75,3.5,2.4,2.8,3.4,2.4,2019/20,€27.30m,€63.25m,2.84,3.6,2.47,2.66,3.61,2.62,2.55,3.5,2.62,2.775,0.02499999999999991,0.999941453025042,0.009009009009008978,0.0045045045045042365,0.5000405811216623,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,2.4,0.0,1.0,0.0,0.0,0.5
T1,18/08/2019,Konyaspor,Ankaragucu,D,1.72,3.5,5.0,1.75,3.5,4.75,2019/20,€20.23m,€11.85m,1.76,3.59,5.21,1.88,3.44,4.74,1.75,3.5,5.0,1.7349999999999999,0.015000000000000013,0.9999460820323864,0.008645533141210382,0.004322766570605152,0.500037372621648,3.5,0.0,1.0,0.0,0.0,0.5,4.875,0.125,0.9995256892936492,0.02564102564102564,0.012820512820512775,0.5003287310979618
T1,18/08/2019,Goztep,Antalyaspor,A,1.85,3.6,4.0,1.85,3.6,3.9,2019/20,€17.23m,€19.15m,1.85,3.84,4.23,1.67,3.94,5.41,1.61,3.8,5.5,1.85,0.0,1.0,0.0,-2.220446049250313e-16,0.5,3.6,0.0,1.0,0.0,0.0,0.5,3.95,0.050000000000000044,0.9998844148717587,0.012658227848101276,0.006329113924050667,0.5000801153661273
T1,18/08/2019,Kasimpasa,Trabzonspor,D,3.3,3.5,2.1,3.1,3.6,2.15,2019/20,€30.00m,€87.03m,3.28,3.82,2.14,3.38,3.87,2.08,3.6,3.5,2.0,3.2,0.09999999999999987,0.9992954443621548,0.03124999999999996,0.015625,0.50048828125,3.55,0.050000000000000044,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116,2.125,0.02499999999999991,0.9999001572094882,0.0117647058823529,0.00588235294117645,0.5000692041522491
T1,18/08/2019,Yeni Malatyaspor,Buyuksehyr,H,3.5,3.25,2.1,3.3,3.3,2.15,2019/20,€22.33m,€53.85m,3.55,3.41,2.17,4.18,3.76,1.89,4.5,3.4,1.85,3.4,0.10000000000000009,0.9993759069576513,0.02941176470588238,0.014705882352941124,0.500432525951557,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,2.125,0.02499999999999991,0.9999001572094882,0.0117647058823529,0.00588235294117645,0.5000692041522491
T1,19/08/2019,Fenerbahce,Gaziantep,H,1.44,4.2,7.5,1.44,4.4,6.75,2019/20,€75.90m,€20.10m,1.45,4.62,7.42,1.57,4.42,5.69,1.53,4.0,6.0,1.44,0.0,1.0,0.0,-2.220446049250313e-16,0.5,4.300000000000001,0.10000000000000009,0.9996098363678071,0.02325581395348839,0.011627906976744429,0.5002704164413196,7.125,0.375,0.9980008838722995,0.05263157894736842,0.026315789473684292,0.5013850415512466
T1,23/08/2019,Besiktas,Goztep,H,1.44,4.2,7.5,1.5,4.1,6.25,2019/20,€63.25m,€17.23m,1.51,4.38,6.67,1.75,3.78,4.98,1.7,3.5,5.0,1.47,0.030000000000000027,0.9996995428565172,0.02040816326530614,0.010204081632652962,0.5002082465639317,4.15,0.050000000000000266,0.9998952874186193,0.0120481927710844,0.006024096385542244,0.5000725794745245,6.875,0.625,0.9940302114769566,0.09090909090909091,0.045454545454545414,0.5041322314049586
T1,24/08/2019,Ankaragucu,Kayserispor,D,2.37,3.2,3.0,2.25,3.3,3.1,2019/20,€11.85m,€21.58m,2.46,3.25,3.12,3.06,3.44,2.39,3.0,3.2,2.37,2.31,0.06000000000000005,0.9995132881417702,0.025974025974025997,0.012987012987013102,0.5003373250126497,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516
T1,24/08/2019,Alanyaspor,Kasimpasa,H,1.66,4.33,4.33,1.7,4.1,4.25,2019/20,€21.30m,€30.00m,1.68,4.56,4.44,1.56,4.89,5.2,1.5,4.75,5.25,1.68,0.020000000000000018,0.9998977657936449,0.011904761904761916,0.005952380952380931,0.5000708616780045,4.215,0.11500000000000021,0.9994629694902379,0.027283511269276445,0.013641755634638209,0.5003721949935903,4.29,0.040000000000000036,0.9999372871938065,0.009324009324009333,0.004662004662004726,0.5000434685749371
T1,24/08/2019,Buyuksehyr,Fenerbahce,A,2.45,3.2,2.9,2.55,3.25,2.7,2019/20,€53.85m,€75.90m,2.55,3.4,2.88,2.74,3.65,2.52,2.6,3.2,2.7,2.5,0.04999999999999982,0.99971144175281,0.019999999999999928,0.010000000000000009,0.5002000000000001,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,2.8,0.09999999999999987,0.9990797181805819,0.03571428571428567,0.01785714285714257,0.5006377551020408
T1,25/08/2019,Rizespor,Sivasspor,H,2.05,3.3,3.6,2.1,3.4,3.3,2019/20,€22.68m,€27.30m,2.15,3.55,3.46,2.19,3.66,3.29,2.1,3.5,3.25,2.075,0.025000000000000133,0.9998952874186193,0.0120481927710844,0.006024096385542244,0.5000725794745245,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,3.45,0.15000000000000013,0.9986359641585719,0.04347826086956525,0.021739130434782705,0.5009451795841209
T1,25/08/2019,Trabzonspor,Yeni Malatyaspor,H,1.65,3.75,5.25,1.6,4.1,5.0,2019/20,€87.03m,€22.33m,1.69,4.07,4.94,1.46,4.98,6.44,1.4,4.33,8.5,1.625,0.02499999999999991,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,3.925,0.17499999999999982,0.9985655503828758,0.04458598726114645,0.022292993630573132,0.5009939551300255,5.125,0.125,0.9995708393473225,0.024390243902439025,0.012195121951219523,0.5002974419988102
T1,25/08/2019,Antalyaspor,Denizlispor,A,2.62,3.2,2.75,2.45,3.25,2.8,2019/20,€19.15m,€15.95m,2.75,3.25,2.76,3.11,3.34,2.41,3.1,3.2,2.3,2.535,0.08499999999999996,0.9991888374797868,0.03353057199211044,0.0167652859960552,0.500562149629059,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,2.775,0.02499999999999991,0.999941453025042,0.009009009009008978,0.0045045045045042365,0.5000405811216623
T1,25/08/2019,Galatasaray,Konyaspor,D,1.4,4.75,7.0,1.4,4.75,7.0,2019/20,€105.13m,€20.23m,1.46,4.65,7.17,1.41,4.88,7.87,1.4,4.75,7.0,1.4,0.0,1.0,0.0,2.220446049250313e-16,0.5,4.75,0.0,1.0,0.0,0.0,0.5,7.0,0.0,1.0,0.0,0.0,0.5
T1,26/08/2019,Gaziantep,Genclerbirligi,H,2.37,3.25,3.0,2.4,3.2,2.95,2019/20,€20.10m,€13.75m,2.49,3.22,3.1,2.86,3.33,2.6,2.87,3.3,2.5,2.385,0.014999999999999902,0.9999714666241031,0.0062893081761005885,0.0031446540880502027,0.5000197776986669,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,2.975,0.02499999999999991,0.999949060376349,0.008403361344537785,0.004201680672268893,0.5000353082409436
T1,30/08/2019,Kasimpasa,Ankaragucu,A,1.7,3.8,4.75,1.67,4.0,4.5,2019/20,€30.00m,€11.85m,1.7,4.25,4.65,1.88,3.83,4.14,1.83,3.6,4.2,1.685,0.015000000000000013,0.9999428346341551,0.008902077151335319,0.004451038575667754,0.5000396234888043,3.9,0.10000000000000009,0.9995256892936492,0.025641025641025664,0.012820512820512775,0.5003287310979619,4.625,0.125,0.9994730201859837,0.02702702702702703,0.013513513513513598,0.5003652300949598
T1,30/08/2019,Kayserispor,Galatasaray,A,4.75,3.6,1.72,4.33,3.75,1.75,2019/20,€21.58m,€105.13m,4.58,4.06,1.75,5.0,4.15,1.68,4.75,4.0,1.65,4.54,0.20999999999999996,0.9984560742894071,0.04625550660792951,0.02312775330396466,0.5010697859457782,3.675,0.07499999999999996,0.9996995428565172,0.02040816326530611,0.010204081632653184,0.5002082465639317,1.7349999999999999,0.015000000000000013,0.9999460820323864,0.008645533141210382,0.004322766570605152,0.500037372621648
T1,31/08/2019,Konyaspor,Antalyaspor,D,1.57,3.75,6.0,1.62,3.6,5.75,2019/20,€20.23m,€19.15m,1.63,3.71,6.38,2.16,3.18,3.88,2.15,3.1,3.6,1.5950000000000002,0.025000000000000022,0.9998227766385538,0.015673981191222583,0.00783699059561127,0.5001228368431914,3.675,0.07499999999999996,0.9996995428565172,0.02040816326530611,0.010204081632653184,0.5002082465639317,5.875,0.125,0.999673426004892,0.02127659574468085,0.010638297872340496,0.5002263467632414
T1,31/08/2019,Besiktas,Rizespor,D,1.57,4.0,5.5,1.57,4.2,5.25,2019/20,€63.25m,€22.68m,1.6,4.47,5.25,1.71,4.03,4.91,1.61,4.0,5.0,1.57,0.0,1.0,0.0,0.0,0.5,4.1,0.10000000000000009,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,5.375,0.125,0.9996098363678071,0.023255813953488372,0.011627906976744207,0.5002704164413196
T1,31/08/2019,Goztep,Denizlispor,D,2.4,3.2,3.0,2.35,3.25,3.0,2019/20,€17.23m,€15.95m,2.42,3.42,3.04,2.5,3.41,2.93,2.45,3.25,2.87,2.375,0.02499999999999991,0.9999200708207958,0.010526315789473648,0.0052631578947368585,0.5000554016620499,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,3.0,0.0,1.0,0.0,0.0,0.5
T1,01/09/2019,Genclerbirligi,Buyuksehyr,A,4.5,3.4,1.83,4.1,3.5,1.85,2019/20,€13.75m,€53.85m,4.48,3.62,1.87,3.17,3.49,2.31,3.1,3.5,2.2,4.3,0.20000000000000018,0.9984389230256236,0.046511627906976785,0.023255813953488413,0.5010816657652786,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,1.84,0.010000000000000009,0.9999786935529434,0.005434782608695656,0.0027173913043478937,0.5000147684310018
T1,01/09/2019,Sivasspor,Gaziantep,D,1.44,4.2,7.5,1.5,4.1,6.25,2019/20,€27.30m,€20.10m,1.5,4.39,6.97,1.81,3.65,4.77,1.75,3.8,4.0,1.47,0.030000000000000027,0.9996995428565172,0.02040816326530614,0.010204081632652962,0.5002082465639317,4.15,0.050000000000000266,0.9998952874186193,0.0120481927710844,0.006024096385542244,0.5000725794745245,6.875,0.625,0.9940302114769566,0.09090909090909091,0.045454545454545414,0.5041322314049586
T1,01/09/2019,Fenerbahce,Trabzonspor,D,1.65,4.0,4.75,1.67,4.0,4.5,2019/20,€75.90m,€87.03m,1.66,4.38,4.83,1.65,4.4,4.91,1.6,4.2,5.0,1.66,0.010000000000000009,0.9999738223296768,0.006024096385542174,0.003012048192771122,0.500018144868631,4.0,0.0,1.0,0.0,0.0,0.5,4.625,0.125,0.9994730201859837,0.02702702702702703,0.013513513513513598,0.5003652300949598
