Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
SP1,16/08/2019,Ath Bilbao,Barcelona,H,5.25,3.8,1.65,5.5,3.8,1.65,2019/20,€211.75m,€930.28m,5.15,3.84,1.74,5.34,3.62,1.78,5.25,3.8,1.65,5.375,0.125,0.9996098363678071,0.023255813953488372,0.011627906976744207,0.5002704164413196,3.8,0.0,1.0,0.0,2.220446049250313e-16,0.5,1.65,0.0,1.0,0.0,2.220446049250313e-16,0.5
SP1,17/08/2019,Celta,Real Madrid,A,4.75,4.2,1.65,4.4,4.2,1.72,2019/20,€167.00m,€913.75m,4.73,4.18,1.72,5.1,4.46,1.65,5.25,4.2,1.57,4.575,0.17499999999999982,0.9989442905708064,0.03825136612021854,0.0191256830601092,0.5007315835050316,4.2,0.0,1.0,0.0,0.0,0.5,1.685,0.03500000000000003,0.9996887480681479,0.020771513353115743,0.010385756676557945,0.5002157278834893
SP1,17/08/2019,Valencia,Sociedad,D,1.66,3.75,5.5,1.67,3.75,5.5,2019/20,€427.80m,€347.55m,1.68,3.94,5.47,1.69,3.88,5.47,1.66,3.75,5.5,1.665,0.0050000000000000044,0.9999934948587811,0.0030030030030030056,0.0015015015015014122,0.5000045090135179,3.75,0.0,1.0,0.0,0.0,0.5,5.5,0.0,1.0,0.0,0.0,0.5
SP1,17/08/2019,Mallorca,Eibar,H,2.8,3.2,2.6,2.95,3.1,2.6,2019/20,€64.68m,€53.75m,2.98,3.14,2.66,2.96,3.26,2.6,2.87,3.2,2.55,2.875,0.07500000000000018,0.9995090461828581,0.02608695652173919,0.01304347826086949,0.5003402646502835,3.1500000000000004,0.050000000000000044,0.9998182469603429,0.015873015873015886,0.00793650793650813,0.5001259763164526,2.6,0.0,1.0,0.0,0.0,0.5
SP1,17/08/2019,Leganes,Osasuna,A,2.0,3.2,4.2,2.05,3.25,3.9,2019/20,€109.70m,€62.78m,2.1,3.21,4.13,1.9,3.18,5.3,1.9,3.1,5.0,2.025,0.02499999999999991,0.9998900524545516,0.012345679012345635,0.006172839506172867,0.500076207895138,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,4.05,0.15000000000000013,0.9990102708804812,0.03703703703703707,0.01851851851851838,0.5006858710562414
SP1,17/08/2019,Villarreal,Granada,D,1.6,3.8,6.5,1.6,3.8,6.25,2019/20,€208.68m,€56.58m,1.62,3.99,6.13,1.54,4.19,6.87,1.53,4.0,6.5,1.6,0.0,1.0,0.0,-2.220446049250313e-16,0.5,3.8,0.0,1.0,0.0,2.220446049250313e-16,0.5,6.375,0.125,0.9997226475394071,0.0196078431372549,0.009803921568627416,0.5001922337562476
SP1,18/08/2019,Alaves,Levante,H,2.15,3.2,3.6,2.15,3.3,3.6,2019/20,€106.75m,€90.50m,2.29,3.31,3.45,2.43,3.27,3.2,2.3,3.4,3.2,2.15,0.0,1.0,0.0,0.0,0.5,3.25,0.04999999999999982,0.9998292601233935,0.01538461538461533,0.007692307692307887,0.5001183431952664,3.6,0.0,1.0,0.0,0.0,0.5
SP1,18/08/2019,Espanol,Sevilla,A,3.2,3.3,2.3,3.1,3.4,2.3,2019/20,€156.05m,€294.75m,3.13,3.56,2.33,3.13,3.38,2.41,3.0,3.4,2.4,3.1500000000000004,0.050000000000000044,0.9998182469603429,0.015873015873015886,0.00793650793650813,0.5001259763164526,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,2.3,0.0,1.0,0.0,0.0,0.5
SP1,18/08/2019,Betis,Valladolid,A,1.66,3.75,5.5,1.65,3.75,5.75,2019/20,€244.35m,€87.78m,1.63,3.81,6.38,1.82,3.53,5.07,1.8,3.6,4.75,1.6549999999999998,0.0050000000000000044,0.9999934160091841,0.0030211480362537795,0.0015105740181269312,0.5000045636677284,3.75,0.0,1.0,0.0,0.0,0.5,5.625,0.125,0.9996437496778561,0.022222222222222223,0.011111111111111072,0.5002469135802469
SP1,18/08/2019,Ath Madrid,Getafe,H,1.44,4.33,8.0,1.45,4.33,7.5,2019/20,€720.15m,€175.45m,1.49,4.34,7.58,1.57,3.78,7.66,1.5,4.0,8.0,1.4449999999999998,0.0050000000000000044,0.9999913632624142,0.003460207612456751,0.0017301038062282892,0.5000059865183607,4.33,0.0,1.0,0.0,0.0,0.5,7.75,0.25,0.9992492479956566,0.03225806451612903,0.016129032258064502,0.5005202913631636
