Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
F1,06/08/2004,Nice,Lyon,A,3.25,3.0,2.1,3.0,3.0,2.2,2004/5,€34.45m,€133.90m,3.125,0.125,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,3.0,0.0,1.0,0.0,0.0,0.5,2.1500000000000004,0.050000000000000044,0.9996098363678071,0.02325581395348839,0.011627906976744429,0.5002704164413196
F1,07/08/2004,Bastia,Strasbourg,H,2.1,3.0,3.25,2.05,3.0,3.45,2004/5,€31.85m,€35.10m,2.075,0.025000000000000133,0.9998952874186193,0.0120481927710844,0.006024096385542244,0.5000725794745245,3.0,0.0,1.0,0.0,0.0,0.5,3.35,0.10000000000000009,0.9993571354984947,0.029850746268656744,0.014925373134328401,0.500445533526398
F1,07/08/2004,Caen,Istres,D,1.9,3.2,3.6,1.9,3.1,3.75,2004/5,€22.70m,€18.50m,1.9,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.1500000000000004,0.050000000000000044,0.9998182469603429,0.015873015873015886,0.00793650793650813,0.5001259763164526,3.675,0.07499999999999996,0.9996995428565172,0.02040816326530611,0.010204081632653184,0.5002082465639317
F1,07/08/2004,Lille,Auxerre,H,2.37,3.0,2.75,2.4,3.2,2.6,2004/5,€56.25m,€47.85m,2.385,0.014999999999999902,0.9999714666241031,0.0062893081761005885,0.0031446540880502027,0.5000197776986669,3.1,0.10000000000000009,0.9992492479956566,0.03225806451612906,0.016129032258064724,0.5005202913631634,2.675,0.07499999999999996,0.9994328781096229,0.02803738317757008,0.014018691588784993,0.500393047427723
F1,07/08/2004,Marseille,Bordeaux,H,1.72,3.25,4.33,1.6,3.5,5.0,2004/5,€78.60m,€52.60m,1.6600000000000001,0.05999999999999994,0.9990574042663861,0.036144578313252976,0.01807228915662673,0.5006532152707214,3.375,0.125,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414,4.665,0.33499999999999996,0.996276899675215,0.07181136120042872,0.03590568060021426,0.5025784357987291
F1,07/08/2004,Metz,Nantes,H,2.5,3.0,2.62,2.65,3.15,2.4,2004/5,€35.70m,€47.35m,2.575,0.07499999999999996,0.9993879681484049,0.02912621359223299,0.014563106796116498,0.5004241681591102,3.075,0.07499999999999996,0.9995708393473225,0.024390243902439008,0.012195121951219523,0.5002974419988102,2.51,0.1100000000000001,0.9986141329371139,0.04382470119521917,0.021912350597609542,0.500960302217425
F1,07/08/2004,Stade Rennais FC,Paris SG,H,2.75,3.0,2.37,3.0,3.1,2.2,2004/5,€61.30m,€81.75m,2.875,0.125,0.9986359641585719,0.043478260869565216,0.021739130434782705,0.5009451795841209,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,2.285,0.08499999999999996,0.9990015870836441,0.037199124726477004,0.018599562363238453,0.5006918874402079
F1,07/08/2004,Sochaux,Ajaccio,H,1.57,3.4,5.5,1.55,3.55,5.5,2004/5,€49.65m,€24.55m,1.56,0.010000000000000009,0.9999703586266963,0.006410256410256416,0.0032051282051281937,0.5000205456936226,3.4749999999999996,0.07499999999999996,0.9996639598468492,0.02158273381294963,0.010791366906474753,0.5002329071994204,5.5,0.0,1.0,0.0,0.0,0.5
F1,07/08/2004,St Etienne,Monaco,A,3.25,3.0,2.1,3.5,3.2,1.95,2004/5,€37.50m,€103.80m,3.375,0.125,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414,3.1,0.10000000000000009,0.9992492479956566,0.03225806451612906,0.016129032258064724,0.5005202913631634,2.025,0.07500000000000007,0.9990102708804812,0.03703703703703707,0.01851851851851838,0.5006858710562414
F1,07/08/2004,Toulouse,Lens,D,2.37,3.0,2.75,2.4,3.05,2.7,2004/5,€37.10m,€52.50m,2.385,0.014999999999999902,0.9999714666241031,0.0062893081761005885,0.0031446540880502027,0.5000197776986669,3.025,0.02499999999999991,0.9999507304328823,0.008264462809917326,0.004132231404958553,0.5000341506727681,2.725,0.02499999999999991,0.9999392847706551,0.009174311926605472,0.004587155963302836,0.5000420839996633
F1,14/08/2004,Ajaccio,Metz,A,2.1,3.0,3.25,2.2,3.0,3.1,2004/5,€24.55m,€35.70m,2.1500000000000004,0.050000000000000044,0.9996098363678071,0.02325581395348839,0.011627906976744429,0.5002704164413196,3.0,0.0,1.0,0.0,0.0,0.5,3.175,0.07499999999999996,0.9995974498364508,0.023622047244094474,0.011811023622047223,0.5002790005580011
F1,14/08/2004,Auxerre,Stade Rennais FC,H,1.72,3.25,4.33,1.7,3.3,4.5,2004/5,€47.85m,€61.30m,1.71,0.010000000000000009,0.9999753308152249,0.005847953216374275,0.0029239766081869956,0.5000170992784104,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,4.415,0.08499999999999996,0.9997326083683543,0.01925254813137032,0.00962627406568517,0.5001853303047754
F1,14/08/2004,Bordeaux,Nice,H,1.83,3.1,4.0,1.8,3.1,4.3,2004/5,€52.60m,€34.45m,1.815,0.015000000000000013,0.9999507304328823,0.008264462809917363,0.004132231404958775,0.5000341506727681,3.1,0.0,1.0,0.0,0.0,0.5,4.15,0.1499999999999999,0.9990574042663861,0.03614457831325299,0.01807228915662651,0.5006532152707215
F1,14/08/2004,Lens,St Etienne,H,1.66,3.4,4.5,1.7,3.3,4.5,2004/5,€52.50m,€37.50m,1.68,0.020000000000000018,0.9998977657936449,0.011904761904761916,0.005952380952380931,0.5000708616780045,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,4.5,0.0,1.0,0.0,0.0,0.5
F1,14/08/2004,Lyon,Sochaux,D,1.61,3.4,5.0,1.45,3.7,6.5,2004/5,€133.90m,€49.65m,1.53,0.08000000000000007,0.9980269425991263,0.05228758169934645,0.026143790849673332,0.501366995599983,3.55,0.15000000000000013,0.9987117514654893,0.042253521126760604,0.021126760563380254,0.5008926800238049,5.75,0.75,0.9876925088958033,0.13043478260869565,0.0652173913043479,0.5085066162570888
F1,14/08/2004,Monaco,Istres,H,1.33,4.0,8.5,1.3,4.5,8.25,2004/5,€103.80m,€18.50m,1.315,0.015000000000000013,0.9999061390437954,0.011406844106463889,0.005703422053231932,0.5000650580462346,4.25,0.25,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284,8.375,0.125,0.9998393017810485,0.014925373134328358,0.00746268656716409,0.5001113833815994
F1,14/08/2004,Nantes,Bastia,D,1.72,3.25,4.33,1.6,3.5,5.0,2004/5,€47.35m,€31.85m,1.6600000000000001,0.05999999999999994,0.9990574042663861,0.036144578313252976,0.01807228915662673,0.5006532152707214,3.375,0.125,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414,4.665,0.33499999999999996,0.996276899675215,0.07181136120042872,0.03590568060021426,0.5025784357987291
F1,14/08/2004,Paris SG,Caen,D,1.33,4.33,7.5,1.3,4.5,9.0,2004/5,€81.75m,€22.70m,1.315,0.015000000000000013,0.9999061390437954,0.011406844106463889,0.005703422053231932,0.5000650580462346,4.415,0.08499999999999996,0.9997326083683543,0.01925254813137032,0.00962627406568517,0.5001853303047754,8.25,0.75,0.9940302114769566,0.09090909090909091,0.045454545454545414,0.5041322314049586
F1,14/08/2004,Strasbourg,Toulouse,A,2.1,3.0,3.25,2.0,3.05,3.5,2004/5,€35.10m,€37.10m,2.05,0.050000000000000044,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,3.025,0.02499999999999991,0.9999507304328823,0.008264462809917326,0.004132231404958553,0.5000341506727681,3.375,0.125,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414
F1,15/08/2004,Marseille,Lille,H,1.61,3.4,5.0,1.55,3.5,5.5,2004/5,€78.60m,€56.25m,1.58,0.030000000000000027,0.9997399247784948,0.018987341772151913,0.009493670886076,0.5001802595737863,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,5.25,0.25,0.998363672593813,0.047619047619047616,0.023809523809523725,0.5011337868480725
F1,21/08/2004,Bastia,Ajaccio,H,1.9,3.1,3.75,1.95,3.0,3.75,2004/5,€31.85m,€24.55m,1.9249999999999998,0.025000000000000022,0.9998783322990061,0.012987012987013,0.006493506493506329,0.5000843312531624,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,3.75,0.0,1.0,0.0,0.0,0.5
F1,21/08/2004,Caen,Monaco,H,3.25,3.25,2.0,3.6,3.0,2.0,2004/5,€22.70m,€103.80m,3.425,0.17500000000000004,0.9981159665320884,0.05109489051094892,0.025547445255474477,0.501305343918163,3.125,0.125,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,2.0,0.0,1.0,0.0,0.0,0.5
F1,21/08/2004,Istres,Lens,A,2.75,3.0,2.37,2.85,2.9,2.4,2004/5,€18.50m,€52.50m,2.8,0.050000000000000044,0.9997699662429027,0.017857142857142873,0.008928571428571397,0.5001594387755102,2.95,0.050000000000000044,0.999792765854127,0.016949152542372895,0.008474576271186418,0.5001436368859524,2.385,0.014999999999999902,0.9999714666241031,0.0062893081761005885,0.0031446540880502027,0.5000197776986669
F1,21/08/2004,Lille,Bordeaux,D,2.1,3.25,3.0,2.3,3.0,2.9,2004/5,€56.25m,€52.60m,2.2,0.09999999999999987,0.9985090989176322,0.04545454545454539,0.02272727272727293,0.5010330578512396,3.125,0.125,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,2.95,0.050000000000000044,0.999792765854127,0.016949152542372895,0.008474576271186418,0.5001436368859524
F1,21/08/2004,Nice,Marseille,D,2.75,3.0,2.37,2.9,3.0,2.3,2004/5,€34.45m,€78.60m,2.825,0.07499999999999996,0.9994915114306262,0.026548672566371664,0.013274336283185972,0.5003524160075183,3.0,0.0,1.0,0.0,0.0,0.5,2.335,0.03500000000000014,0.9998379223518595,0.01498929336188443,0.007494646680942241,0.5001123394577444
F1,21/08/2004,Stade Rennais FC,Nantes,H,2.1,3.25,3.0,2.0,3.25,3.25,2004/5,€61.30m,€47.35m,2.05,0.050000000000000044,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,3.25,0.0,1.0,0.0,0.0,0.5,3.125,0.125,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001
F1,21/08/2004,Sochaux,Auxerre,A,2.0,3.25,3.25,2.15,3.0,3.2,2004/5,€49.65m,€47.85m,2.075,0.07499999999999996,0.9990574042663861,0.03614457831325299,0.01807228915662651,0.5006532152707215,3.125,0.125,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577
F1,21/08/2004,St Etienne,Strasbourg,D,2.0,3.25,3.25,2.1,3.0,3.3,2004/5,€37.50m,€35.10m,2.05,0.050000000000000044,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,3.125,0.125,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454
F1,21/08/2004,Toulouse,Paris SG,H,2.75,3.25,2.25,3.1,3.0,2.2,2004/5,€37.10m,€81.75m,2.925,0.17500000000000004,0.9974163820804768,0.059829059829059845,0.029914529914529808,0.5017897582000146,3.125,0.125,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,2.225,0.02499999999999991,0.9999089303498085,0.011235955056179735,0.00561797752808979,0.5000631233430123
F1,22/08/2004,Metz,Lyon,D,3.0,3.1,2.2,3.5,3.05,2.0,2004/5,€35.70m,€133.90m,3.25,0.25,0.9957274520849256,0.07692307692307693,0.03846153846153855,0.5029585798816567,3.075,0.025000000000000133,0.9999523196862129,0.00813008130081305,0.004065040650406804,0.5000330491109788,2.1,0.10000000000000009,0.998363672593813,0.04761904761904766,0.023809523809523725,0.5011337868480725
F1,27/08/2004,Nice,Bastia,D,1.83,3.25,3.75,2.0,3.05,3.5,2004/5,€34.45m,€31.85m,1.915,0.08499999999999996,0.9985783668833783,0.044386422976501284,0.022193211488250597,0.5009850772723243,3.15,0.10000000000000009,0.9992728962127292,0.03174603174603177,0.015873015873015817,0.50050390526581,3.625,0.125,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463
F1,28/08/2004,Ajaccio,Stade Rennais FC,D,2.37,3.0,2.75,2.25,3.0,3.0,2004/5,€24.55m,€61.30m,2.31,0.06000000000000005,0.9995132881417702,0.025974025974025997,0.012987012987013102,0.5003373250126497,3.0,0.0,1.0,0.0,0.0,0.5,2.875,0.125,0.9986359641585719,0.043478260869565216,0.021739130434782705,0.5009451795841209
F1,28/08/2004,Auxerre,Caen,H,1.57,3.4,5.5,1.6,3.5,5.0,2004/5,€47.85m,€22.70m,1.585,0.015000000000000013,0.9999353936789547,0.00946372239747635,0.004731861198738141,0.5000447810208084,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,5.25,0.25,0.998363672593813,0.047619047619047616,0.023809523809523725,0.5011337868480725
F1,28/08/2004,Bordeaux,Sochaux,H,2.0,3.0,3.5,1.85,3.1,4.0,2004/5,€52.60m,€49.65m,1.925,0.07499999999999996,0.9989047442823606,0.03896103896103894,0.01948051948051943,0.500758981278462,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,3.75,0.25,0.9967916319816367,0.06666666666666667,0.03333333333333344,0.5022222222222222
F1,28/08/2004,Lens,Monaco,D,2.5,3.0,2.62,2.4,3.0,2.75,2004/5,€52.50m,€103.80m,2.45,0.050000000000000044,0.9996995428565172,0.020408163265306138,0.010204081632652962,0.5002082465639317,3.0,0.0,1.0,0.0,0.0,0.5,2.685,0.06499999999999995,0.9995772096127534,0.02420856610800743,0.012104283054003684,0.5002930273365028
F1,28/08/2004,Lyon,Lille,H,1.53,3.4,6.0,1.55,3.5,5.5,2004/5,€133.90m,€56.25m,1.54,0.010000000000000009,0.9999695837160619,0.006493506493506499,0.0032467532467532756,0.5000210828132906,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,5.75,0.25,0.9986359641585719,0.043478260869565216,0.021739130434782705,0.5009451795841209
F1,28/08/2004,Marseille,Metz,A,1.53,3.4,6.0,1.5,3.4,6.5,2004/5,€78.60m,€35.70m,1.5150000000000001,0.015000000000000013,0.9999292854321659,0.00990099009900991,0.004950495049504955,0.5000490148024703,3.4,0.0,1.0,0.0,0.0,0.5,6.25,0.25,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001
F1,28/08/2004,Nantes,Toulouse,D,1.72,3.25,4.33,1.75,3.15,4.5,2004/5,€47.35m,€37.10m,1.7349999999999999,0.015000000000000013,0.9999460820323864,0.008645533141210382,0.004322766570605152,0.500037372621648,3.2,0.050000000000000044,0.999823882598873,0.015625000000000014,0.0078125,0.5001220703125,4.415,0.08499999999999996,0.9997326083683543,0.01925254813137032,0.00962627406568517,0.5001853303047754
F1,28/08/2004,Strasbourg,Istres,D,1.83,3.25,3.75,1.85,3.25,3.75,2004/5,€35.10m,€18.50m,1.84,0.010000000000000009,0.9999786935529434,0.005434782608695656,0.0027173913043478937,0.5000147684310018,3.25,0.0,1.0,0.0,0.0,0.5,3.75,0.0,1.0,0.0,0.0,0.5
F1,29/08/2004,Paris SG,St Etienne,D,1.4,3.8,7.0,1.4,3.9,7.0,2004/5,€81.75m,€37.50m,1.4,0.0,1.0,0.0,2.220446049250313e-16,0.5,3.8499999999999996,0.050000000000000044,0.9998783322990061,0.012987012987013,0.006493506493506329,0.5000843312531624,7.0,0.0,1.0,0.0,0.0,0.5
F1,11/09/2004,Bastia,Auxerre,H,2.5,3.0,2.6,2.35,3.3,2.6,2004/5,€31.85m,€47.85m,2.425,0.07499999999999996,0.999309898706868,0.030927835051546376,0.015463917525773141,0.5004782654904878,3.15,0.1499999999999999,0.998363672593813,0.047619047619047596,0.023809523809523725,0.5011337868480726,2.6,0.0,1.0,0.0,0.0,0.5
F1,11/09/2004,Caen,Lens,H,2.5,3.1,2.5,2.6,3.2,2.4,2004/5,€22.70m,€52.50m,2.55,0.050000000000000044,0.9997226475394071,0.01960784313725492,0.009803921568627416,0.5001922337562477,3.1500000000000004,0.050000000000000044,0.9998182469603429,0.015873015873015886,0.00793650793650813,0.5001259763164526,2.45,0.050000000000000044,0.9996995428565172,0.020408163265306138,0.010204081632652962,0.5002082465639317
F1,11/09/2004,Istres,Paris SG,D,3.5,3.0,2.0,4.3,3.1,1.8,2004/5,€18.50m,€81.75m,3.9,0.3999999999999999,0.9923985003332222,0.10256410256410255,0.0512820512820511,0.50525969756739,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,1.9,0.09999999999999998,0.9980008838722995,0.05263157894736841,0.026315789473684292,0.5013850415512464
F1,11/09/2004,Lille,Nice,H,1.909,3.0,3.75,1.9,3.1,3.8,2004/5,€56.25m,€34.45m,1.9045,0.0045000000000000595,0.9999959727552784,0.002362824888422189,0.0011814124442113272,0.5000027914707267,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,3.775,0.02499999999999991,0.9999683631071745,0.006622516556291367,0.0033112582781456013,0.5000219288627692
F1,11/09/2004,Metz,Bordeaux,D,2.25,3.2,2.75,2.2,3.2,2.9,2004/5,€35.70m,€52.60m,2.225,0.02499999999999991,0.9999089303498085,0.011235955056179735,0.00561797752808979,0.5000631233430123,3.2,0.0,1.0,0.0,-2.220446049250313e-16,0.5,2.825,0.07499999999999996,0.9994915114306262,0.026548672566371664,0.013274336283185972,0.5003524160075183
F1,11/09/2004,Monaco,Strasbourg,H,1.4,3.75,7.0,1.45,3.7,6.5,2004/5,€103.80m,€35.10m,1.4249999999999998,0.025000000000000022,0.9997779672118908,0.017543859649122823,0.008771929824561209,0.500153893505694,3.725,0.02499999999999991,0.9999675080881122,0.00671140939597313,0.003355704697986628,0.5000225215080402,6.75,0.25,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414
F1,11/09/2004,Stade Rennais FC,Lyon,A,2.75,3.0,2.375,2.7,3.15,2.35,2004/5,€61.30m,€133.90m,2.725,0.02499999999999991,0.9999392847706551,0.009174311926605472,0.004587155963302836,0.5000420839996633,3.075,0.07499999999999996,0.9995708393473225,0.024390243902439008,0.012195121951219523,0.5002974419988102,2.3625,0.012499999999999956,0.9999798059716655,0.0052910052910052725,0.002645502645502784,0.5000139973684947
F1,11/09/2004,St Etienne,Nantes,D,2.375,3.0,2.75,2.5,3.2,2.5,2004/5,€37.50m,€47.35m,2.4375,0.0625,0.9995256892936492,0.02564102564102564,0.012820512820512775,0.5003287310979618,3.1,0.10000000000000009,0.9992492479956566,0.03225806451612906,0.016129032258064724,0.5005202913631634,2.625,0.125,0.998363672593813,0.047619047619047616,0.023809523809523725,0.5011337868480725
F1,11/09/2004,Toulouse,Ajaccio,H,1.667,3.4,4.5,1.7,3.3,4.5,2004/5,€37.10m,€24.55m,1.6835,0.01649999999999996,0.9999307063970058,0.009801009801009777,0.004900504900504865,0.5000480298965597,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,4.5,0.0,1.0,0.0,0.0,0.5
F1,12/09/2004,Sochaux,Marseille,H,2.3,3.0,2.875,2.5,3.05,2.6,2004/5,€49.65m,€78.60m,2.4,0.10000000000000009,0.9987472979361685,0.041666666666666706,0.02083333333333326,0.5008680555555556,3.025,0.02499999999999991,0.9999507304328823,0.008264462809917326,0.004132231404958553,0.5000341506727681,2.7375,0.13749999999999996,0.9981793584811884,0.050228310502283095,0.02511415525114158,0.5012614415879569
F1,18/09/2004,Ajaccio,St Etienne,D,2.0,3.25,3.25,2.25,3.05,2.95,2004/5,€24.55m,€37.50m,2.125,0.125,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284,3.15,0.10000000000000009,0.9992728962127292,0.03174603174603177,0.015873015873015817,0.50050390526581,3.1,0.1499999999999999,0.9983104413610835,0.04838709677419352,0.024193548387096753,0.5011706555671176
F1,18/09/2004,Bordeaux,Stade Rennais FC,D,1.8,3.25,4.0,1.7,3.3,4.5,2004/5,€52.60m,€61.30m,1.75,0.050000000000000044,0.9994110647387552,0.0285714285714286,0.014285714285714235,0.5004081632653062,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,4.25,0.25,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284
F1,18/09/2004,Lyon,Bastia,D,1.44,3.75,6.5,1.4,3.9,7.0,2004/5,€133.90m,€31.85m,1.42,0.020000000000000018,0.9998568991526107,0.014084507042253534,0.007042253521126529,0.5000991866693117,3.825,0.07499999999999996,0.9997226475394071,0.019607843137254888,0.009803921568627416,0.5001922337562476,6.75,0.25,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414
