Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
P1,28/08/2004,Belenenses,Maritimo,3.0,0.0,H,2.0,0.0,2.25,3.2,2.75,2.25,3.2,2.8,2004/5,€24.35m,€21.20m,2.25,0.0,1.0,0.0,0.0,0.5,3.2,0.0,1.0,0.0,-2.220446049250313e-16,0.5,2.775,0.02499999999999991,0.999941453025042,0.009009009009008978,0.0045045045045042365,0.5000405811216623,H
P1,28/08/2004,Sp Lisbon,Gil Vicente,3.0,2.0,H,2.0,0.0,1.25,4.5,10.0,1.35,4.0,8.0,2004/5,€89.40m,€8.20m,1.3,0.050000000000000044,0.9989326546260583,0.03846153846153849,0.019230769230769162,0.5007396449704142,4.25,0.25,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284,9.0,1.0,0.9910760598382222,0.1111111111111111,0.05555555555555558,0.5061728395061729,H
P1,29/08/2004,Beira Mar,Benfica,2.0,3.0,A,0.0,2.0,4.33,3.4,1.66,4.5,3.5,1.65,2004/5,€8.10m,€120.05m,4.415,0.08499999999999996,0.9997326083683543,0.01925254813137032,0.00962627406568517,0.5001853303047754,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,1.6549999999999998,0.0050000000000000044,0.9999934160091841,0.0030211480362537795,0.0015105740181269312,0.5000045636677284,A
P1,29/08/2004,Boavista,Nacional,1.0,0.0,H,0.0,0.0,1.72,3.4,4.0,2.0,3.2,3.35,2004/5,€29.10m,€10.25m,1.8599999999999999,0.14,0.9959094138937685,0.07526881720430109,0.037634408602150504,0.5028326974216671,3.3,0.09999999999999987,0.9993375041688846,0.030303030303030266,0.015151515151514916,0.5004591368227731,3.675,0.32499999999999996,0.994351097546162,0.08843537414965985,0.04421768707482987,0.5039104077004951,H
P1,29/08/2004,Estoril,Rio Ave,0.0,0.0,D,0.0,0.0,2.25,3.2,2.75,2.3,3.2,2.75,2004/5,€6.63m,€11.10m,2.275,0.02499999999999991,0.9999128895013563,0.01098901098901095,0.005494505494505475,0.5000603791812583,3.2,0.0,1.0,0.0,-2.220446049250313e-16,0.5,2.75,0.0,1.0,0.0,0.0,0.5,H
P1,29/08/2004,Moreirense,Guimaraes,0.0,0.0,D,0.0,0.0,1.9,3.2,3.5,1.85,3.25,3.75,2004/5,€6.15m,€20.40m,1.875,0.02499999999999991,0.999871756640849,0.013333333333333286,0.006666666666666821,0.5000888888888888,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,3.625,0.125,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463,H
P1,29/08/2004,Penafiel,Setubal,1.0,4.0,A,1.0,1.0,1.9,3.2,3.5,1.85,3.25,3.75,2004/5,€5.73m,€9.58m,1.875,0.02499999999999991,0.999871756640849,0.013333333333333286,0.006666666666666821,0.5000888888888888,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,3.625,0.125,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463,H
P1,30/08/2004,Academica,Sp Braga,2.0,2.0,D,1.0,2.0,2.3,3.25,2.62,2.3,3.2,2.75,2004/5,€13.73m,€33.05m,2.3,0.0,1.0,0.0,0.0,0.5,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,2.685,0.06499999999999995,0.9995772096127534,0.02420856610800743,0.012104283054003684,0.5002930273365028,H
P1,10/09/2004,Gil Vicente,Boavista,0.0,1.0,A,0.0,1.0,2.6,3.1,2.4,2.55,3.2,2.45,2004/5,€8.20m,€29.10m,2.575,0.025000000000000133,0.9999320050095966,0.009708737864077721,0.004854368932038833,0.5000471297954567,3.1500000000000004,0.050000000000000044,0.9998182469603429,0.015873015873015886,0.00793650793650813,0.5001259763164526,2.425,0.025000000000000133,0.9999233329473267,0.01030927835051552,0.005154639175257714,0.5000531406100542,A
P1,11/09/2004,Benfica,Moreirense,2.0,0.0,H,1.0,0.0,1.25,5.0,8.0,1.25,5.0,9.0,2004/5,€120.05m,€6.15m,1.25,0.0,1.0,0.0,0.0,0.5,5.0,0.0,1.0,0.0,0.0,0.5,8.5,0.5,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284,H
P1,11/09/2004,Leiria,Estoril,4.0,2.0,H,2.0,1.0,1.615,3.3,5.0,1.75,3.4,4.05,2004/5,€17.83m,€6.63m,1.6825,0.0675,0.9988386623555581,0.04011887072808321,0.020059435364041533,0.5008047618942483,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,4.525,0.4750000000000001,0.9920366649222822,0.10497237569060774,0.05248618784530379,0.505509599829065,H
