Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SC0,07/08/2004,Aberdeen,Rangers,D,7.5,4.0,1.4,6.5,3.75,1.45,2004/5,€6.88m,€80.78m,7.0,0.5,0.9963165195589622,0.07142857142857142,0.03571428571428581,0.5025510204081634,3.875,0.125,0.9992492479956566,0.03225806451612903,0.016129032258064502,0.5005202913631636,1.4249999999999998,0.025000000000000022,0.9997779672118908,0.017543859649122823,0.008771929824561209,0.500153893505694,A
SC0,07/08/2004,Dundee,Hearts,A,3.0,3.3,2.2,2.5,3.3,2.4,2004/5,€9.05m,€11.08m,2.75,0.25,0.9940302114769566,0.09090909090909091,0.045454545454545414,0.5041322314049586,3.3,0.0,1.0,0.0,2.220446049250313e-16,0.5,2.3,0.09999999999999987,0.9986359641585719,0.04347826086956516,0.021739130434782483,0.500945179584121,A
SC0,07/08/2004,Dunfermline,Dundee United,D,2.1,3.25,3.2,2.2,3.3,2.8,2004/5,€6.03m,€8.13m,2.1500000000000004,0.050000000000000044,0.9996098363678071,0.02325581395348839,0.011627906976744429,0.5002704164413196,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,3.0,0.20000000000000018,0.9967916319816367,0.06666666666666672,0.033333333333333215,0.5022222222222221,H
SC0,07/08/2004,Hibernian,Kilmarnock,A,1.83,3.25,4.0,1.9,3.3,3.5,2004/5,€13.25m,€3.78m,1.865,0.03499999999999992,0.9997459328856403,0.01876675603217154,0.009383378016085686,0.5001760955659853,3.275,0.02499999999999991,0.9999579654725078,0.007633587786259515,0.003816793893129722,0.5000291358312454,3.75,0.25,0.9967916319816367,0.06666666666666667,0.03333333333333344,0.5022222222222222,H
SC0,07/08/2004,Livingston,Inverness C,H,1.8,3.4,4.0,2.1,3.3,3.0,2004/5,€9.75m,€2.38m,1.9500000000000002,0.15000000000000002,0.9957274520849256,0.07692307692307693,0.03846153846153855,0.5029585798816569,3.3499999999999996,0.050000000000000044,0.9998393017810485,0.014925373134328374,0.00746268656716409,0.5001113833815994,3.5,0.5,0.9852281360342515,0.14285714285714285,0.0714285714285714,0.5102040816326532,H
SC0,08/08/2004,Celtic,Motherwell,H,1.12,7.0,15.0,1.12,6.5,15.0,2004/5,€77.55m,€4.83m,1.12,0.0,1.0,0.0,0.0,0.5,6.75,0.25,0.9990102708804813,0.037037037037037035,0.0185185185185186,0.5006858710562414,15.0,0.0,1.0,0.0,0.0,0.5,H
SC0,14/08/2004,Hearts,Aberdeen,D,1.57,3.75,5.0,1.65,3.25,5.0,2004/5,€11.08m,€6.88m,1.6099999999999999,0.039999999999999925,0.9995546951129243,0.024844720496894367,0.012422360248447006,0.5003086300682844,3.5,0.25,0.9963165195589622,0.07142857142857142,0.03571428571428581,0.5025510204081634,5.0,0.0,1.0,0.0,0.0,0.5,H
SC0,14/08/2004,Kilmarnock,Celtic,A,8.5,5.5,1.25,8.25,4.5,1.3,2004/5,€3.78m,€77.55m,8.375,0.125,0.9998393017810485,0.014925373134328358,0.00746268656716409,0.5001113833815994,5.0,0.5,0.9927744539878083,0.1,0.050000000000000044,0.5049999999999999,1.275,0.025000000000000022,0.9997226475394071,0.01960784313725492,0.009803921568627416,0.5001922337562477,A
SC0,14/08/2004,Motherwell,Hibernian,A,2.1,3.25,3.2,2.25,3.25,2.75,2004/5,€4.83m,€13.25m,2.175,0.07499999999999996,0.9991421039919088,0.03448275862068964,0.017241379310344973,0.5005945303210464,3.25,0.0,1.0,0.0,0.0,0.5,2.975,0.2250000000000001,0.9958699965528488,0.07563025210084036,0.037815126050420256,0.5028599675164183,H
SC0,14/08/2004,Rangers,Livingston,H,1.16,6.0,13.0,1.25,5.0,9.0,2004/5,€80.78m,€9.75m,1.205,0.04500000000000004,0.9989937718417491,0.037344398340248997,0.018672199170124415,0.5006973020436977,5.5,0.5,0.9940302114769566,0.09090909090909091,0.045454545454545414,0.5041322314049586,11.0,2.0,0.976020648236615,0.18181818181818182,0.09090909090909083,0.5165289256198347,H
