Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
I1,11/09/2004,Chievo,Inter,D,4.5,3.2,1.727,5.35,3.25,1.65,2004/5,€46.28m,€240.63m,4.925,0.4249999999999998,0.9946216356259527,0.08629441624365479,0.043147208121827374,0.5037233631374166,3.225,0.02499999999999991,0.9999566519593042,0.007751937984496096,0.003875968992248069,0.5000300462712577,1.6885,0.03850000000000009,0.9996249393429236,0.022801302931596146,0.011400651465798273,0.5002599497076892,A
I1,11/09/2004,Milan,Livorno,D,1.167,6.5,15.0,1.15,6.0,13.0,2004/5,€273.70m,€25.00m,1.1585,0.008500000000000063,0.9999611676015617,0.007337073802330654,0.003668536901165309,0.5000269163259904,6.25,0.25,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,14.0,1.0,0.9963165195589622,0.07142857142857142,0.03571428571428581,0.5025510204081634,H
I1,12/09/2004,Atalanta,Lecce,D,2.0,3.0,3.5,2.0,3.1,3.6,2004/5,€41.70m,€44.90m,2.0,0.0,1.0,0.0,0.0,0.5,3.05,0.050000000000000044,0.9998061328047111,0.016393442622950834,0.008196721311475308,0.500134372480516,3.55,0.050000000000000044,0.9998568991526107,0.014084507042253534,0.007042253521126751,0.5000991866693116,H
I1,12/09/2004,Brescia,Juventus,A,4.0,3.1,1.833,4.5,3.1,1.8,2004/5,€45.25m,€304.90m,4.25,0.25,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284,3.1,0.0,1.0,0.0,0.0,0.5,1.8165,0.01649999999999996,0.9999404820999669,0.00908340214698594,0.004541701073492943,0.5000412540972821,A
I1,12/09/2004,Cagliari,Bologna,H,2.375,2.875,2.875,2.3,2.9,3.1,2004/5,€23.90m,€29.94m,2.3375,0.03750000000000009,0.9998143382369136,0.01604278074866314,0.008021390374331583,0.5001286854070749,2.8875,0.012499999999999956,0.9999864817043627,0.004329004329004313,0.0021645021645022577,0.5000093701392403,2.9875,0.11250000000000004,0.998976856739846,0.03765690376569039,0.01882845188284521,0.5007090212006093,H
I1,12/09/2004,Palermo,Siena,H,1.727,3.2,4.5,1.66,3.15,5.5,2004/5,€78.75m,€54.90m,1.6935,0.033500000000000085,0.9997177122171069,0.019781517567168637,0.009890758783584364,0.5001956542186301,3.175,0.025000000000000133,0.9999552759021286,0.00787401574803154,0.003937007874015741,0.5000310000620001,5.0,0.5,0.9927744539878083,0.1,0.050000000000000044,0.5049999999999999,H
I1,12/09/2004,Parma,Messina,D,1.533,3.4,6.0,1.55,3.25,6.5,2004/5,€110.05m,€32.65m,1.5415,0.008500000000000063,0.9999780670253114,0.005514109633473929,0.002757054816737048,0.5000152027025249,3.325,0.07499999999999996,0.9996329539081624,0.022556390977443594,0.011278195488721776,0.5002543953869636,6.25,0.25,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,H
I1,12/09/2004,Reggina,Udinese,D,2.6,2.875,2.6,2.7,2.9,2.55,2004/5,€29.30m,€83.95m,2.6500000000000004,0.050000000000000044,0.9997431860710851,0.0188679245283019,0.009433962264151052,0.5001779992880029,2.8875,0.012499999999999956,0.9999864817043627,0.004329004329004313,0.0021645021645022577,0.5000093701392403,2.575,0.025000000000000133,0.9999320050095966,0.009708737864077721,0.004854368932038833,0.5000471297954567,A
I1,12/09/2004,Roma,Fiorentina,H,1.571,3.4,5.5,1.55,3.5,5.75,2004/5,€201.60m,€111.83m,1.5605,0.010499999999999954,0.9999673413015677,0.006728612624158894,0.0033643063120794015,0.500022637113923,3.45,0.050000000000000044,0.9998484829291058,0.014492753623188418,0.007246376811594235,0.5001050199537913,5.625,0.125,0.9996437496778561,0.022222222222222223,0.011111111111111072,0.5002469135802469,H
I1,12/09/2004,Sampdoria,Lazio,A,2.1,3.0,3.75,2.0,3.05,3.5,2004/5,€51.00m,€77.05m,2.05,0.050000000000000044,0.9995708393473225,0.02439024390243905,0.012195121951219523,0.5002974419988102,3.025,0.02499999999999991,0.9999507304328823,0.008264462809917326,0.004132231404958553,0.5000341506727681,3.625,0.125,0.9991421039919088,0.034482758620689655,0.01724137931034475,0.5005945303210463,H
I1,18/09/2004,Inter,Palermo,D,1.36,4.33,9.0,1.35,4.0,8.0,2004/5,€240.63m,€78.75m,1.355,0.0050000000000000044,0.9999901778412945,0.003690036900369007,0.0018450184501843658,0.5000068081861632,4.165,0.16500000000000004,0.9988676098714759,0.039615846338535425,0.019807923169267605,0.5007847076405593,8.5,0.5,0.9975025463691153,0.058823529411764705,0.02941176470588225,0.5017301038062284,H
I1,18/09/2004,Lecce,Brescia,H,2.0,3.0,3.5,1.95,3.25,3.55,2004/5,€44.90m,€45.25m,1.975,0.025000000000000022,0.9998844148717587,0.012658227848101276,0.006329113924050667,0.5000801153661273,3.125,0.125,0.9988455359952018,0.04,0.020000000000000018,0.5008000000000001,3.525,0.02499999999999991,0.9999637164343959,0.007092198581560258,0.0035460992907800915,0.5000251496403603,H
I1,19/09/2004,Bologna,Milan,A,5.5,3.2,1.61,5.55,3.35,1.6,2004/5,€29.94m,€273.70m,5.525,0.02499999999999991,0.9999852306467515,0.004524886877828038,0.002262443438914019,0.5000102373006285,3.2750000000000004,0.07499999999999996,0.9996216598529407,0.02290076335877861,0.011450381679389388,0.5002622224812074,1.605,0.0050000000000000044,0.9999929994013335,0.003115264797507791,0.0015576323987536167,0.5000048524373794,A
I1,19/09/2004,Fiorentina,Cagliari,H,1.57,3.4,5.5,1.55,3.4,6.1,2004/5,€111.83m,€23.90m,1.56,0.010000000000000009,0.9999703586266963,0.006410256410256416,0.0032051282051281937,0.5000205456936226,3.4,0.0,1.0,0.0,0.0,0.5,5.8,0.2999999999999998,0.9980692551690175,0.051724137931034454,0.025862068965517127,0.5013376932223543,H
I1,19/09/2004,Juventus,Atalanta,H,1.2,5.0,12.0,1.2,5.75,9.0,2004/5,€304.90m,€41.70m,1.2,0.0,1.0,0.0,0.0,0.5,5.375,0.375,0.996485989886783,0.06976744186046512,0.03488372093023262,0.5024337479718768,10.5,1.5,0.9852281360342515,0.14285714285714285,0.0714285714285714,0.5102040816326532,H
I1,19/09/2004,Lazio,Reggina,D,1.5,3.4,6.5,1.57,3.2,6.5,2004/5,€77.05m,€29.30m,1.5350000000000001,0.03500000000000003,0.9996249393429236,0.02280130293159611,0.01140065146579805,0.5002599497076892,3.3,0.09999999999999987,0.9993375041688846,0.030303030303030266,0.015151515151514916,0.5004591368227731,6.5,0.0,1.0,0.0,0.0,0.5,H
