Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
D1,06/08/2004,Werder Bremen,Schalke 04,H,1.9,3.25,3.5,2.0,3.25,3.4,2004/5,€98.48m,€86.33m,52.6316,50.0,30.7692,30.7692,28.5714,29.4118,H,51.3158,1.8608,30.7692,0.0,28.9916,0.5943,Bundesliga1
D1,07/08/2004,Dortmund,Wolfsburg,A,1.57,3.4,5.5,1.55,3.7,5.4,2004/5,€78.33m,€59.30m,63.6943,64.5161,29.4118,27.027,18.1818,18.5185,H,64.1052,0.5811,28.2194,1.6863,18.3502,0.2381,Bundesliga1
D1,07/08/2004,Freiburg,Hansa Rostock,D,2.1,3.25,3.0,2.0,3.25,3.4,2004/5,€22.43m,€25.90m,47.619,50.0,30.7692,30.7692,33.3333,29.4118,H,48.8095,1.6836,30.7692,0.0,31.3726,2.7729,Bundesliga1
D1,07/08/2004,Hamburg,Bayern Munich,A,3.25,3.25,2.0,3.75,3.4,1.85,2004/5,€65.60m,€175.30m,30.7692,26.6667,30.7692,29.4118,50.0,54.0541,A,28.718,2.9009,30.0905,0.9598,52.027,2.8667,Bundesliga1
D1,07/08/2004,Hertha,Bochum,D,1.83,3.25,3.75,1.7,3.5,4.4,2004/5,€71.78m,€31.40m,54.6448,58.8235,30.7692,28.5714,26.6667,22.7273,H,56.7342,2.9548,29.6703,1.5541,24.697,2.7856,Bundesliga1
D1,07/08/2004,Kaiserslautern,Nurnberg,A,1.72,3.25,4.33,1.75,3.4,4.2,2004/5,€33.75m,€34.90m,58.1395,57.1429,30.7692,29.4118,23.0947,23.8095,H,57.6412,0.7047,30.0905,0.9598,23.4521,0.5054,Bundesliga1
D1,07/08/2004,Leverkusen,Hannover,H,1.5,3.5,6.0,1.45,4.0,6.2,2004/5,€86.93m,€42.98m,66.6667,68.9655,28.5714,25.0,16.6667,16.129,H,67.8161,1.6255,26.7857,2.5254,16.3978,0.3802,Bundesliga1
D1,08/08/2004,Bielefeld,M'gladbach,D,2.25,3.25,2.75,2.4,3.3,2.6,2004/5,€24.65m,€50.93m,44.4444,41.6667,30.7692,30.303,36.3636,38.4615,H,43.0555,1.9641,30.5361,0.3297,37.4125,1.4834,Bundesliga1
D1,08/08/2004,Stuttgart,Mainz,H,1.4,3.75,7.5,1.4,4.2,6.7,2004/5,€79.50m,€16.73m,71.4286,71.4286,26.6667,23.8095,13.3333,14.9254,H,71.4286,0.0,25.2381,2.0203,14.1294,1.1258,Bundesliga1
D1,14/08/2004,Bayern Munich,Hertha,D,1.4,4.0,9.0,1.3,4.7,8.2,2004/5,€175.30m,€71.78m,71.4286,76.9231,25.0,21.2766,11.1111,12.1951,H,74.1758,3.8852,23.1383,2.6328,11.6531,0.7665,Bundesliga1
D1,14/08/2004,Hansa Rostock,Werder Bremen,A,2.8,3.25,2.2,3.4,3.25,2.0,2004/5,€25.90m,€98.48m,35.7143,29.4118,30.7692,30.7692,45.4545,50.0,A,32.5631,4.4565,30.7692,0.0,47.7272,3.2142,Bundesliga1
D1,14/08/2004,Mainz,Hamburg,H,2.6,3.2,2.4,2.5,3.3,2.5,2004/5,€16.73m,€65.60m,38.4615,40.0,31.25,30.303,41.6667,40.0,A,39.2308,1.0879,30.7765,0.6696,40.8333,1.1785,Bundesliga1
D1,14/08/2004,M'gladbach,Dortmund,A,2.5,3.2,2.5,2.5,3.3,2.5,2004/5,€50.93m,€78.33m,40.0,40.0,31.25,30.303,40.0,40.0,No Consensus,40.0,0.0,30.7765,0.6696,40.0,0.0,Bundesliga1
D1,14/08/2004,Nurnberg,Stuttgart,D,2.8,3.25,2.2,3.2,3.3,2.05,2004/5,€34.90m,€79.50m,35.7143,31.25,30.7692,30.303,45.4545,48.7805,A,33.4822,3.1567,30.5361,0.3297,47.1175,2.3518,Bundesliga1
D1,14/08/2004,Schalke 04,Kaiserslautern,H,1.53,3.5,5.5,1.5,3.7,6.0,2004/5,€86.33m,€33.75m,65.3595,66.6667,28.5714,27.027,18.1818,16.6667,H,66.0131,0.9243,27.7992,1.0921,17.4242,1.0713,Bundesliga1
D1,15/08/2004,Bochum,Leverkusen,D,2.37,3.2,2.62,2.5,3.3,2.5,2004/5,€31.40m,€86.93m,42.1941,40.0,31.25,30.303,38.1679,40.0,H,41.097,1.5515,30.7765,0.6696,39.084,1.2955,Bundesliga1
D1,15/08/2004,Wolfsburg,Freiburg,A,1.61,3.4,5.0,1.65,3.6,4.7,2004/5,€59.30m,€22.43m,62.1118,60.6061,29.4118,27.7778,20.0,21.2766,H,61.359,1.0647,28.5948,1.1554,20.6383,0.9027,Bundesliga1
D1,28/08/2004,Bielefeld,Bochum,A,2.3,3.2,2.7,2.4,3.3,2.6,2004/5,€24.65m,€31.40m,43.4783,41.6667,31.25,30.303,37.037,38.4615,H,42.5725,1.281,30.7765,0.6696,37.7493,1.0073,Bundesliga1
D1,28/08/2004,Freiburg,M'gladbach,D,1.9,3.25,3.5,1.95,3.3,3.5,2004/5,€22.43m,€50.93m,52.6316,51.2821,30.7692,30.303,28.5714,28.5714,H,51.9568,0.9542,30.5361,0.3297,28.5714,0.0,Bundesliga1
D1,28/08/2004,Hamburg,Nurnberg,H,1.8,3.25,4.0,1.75,3.4,4.2,2004/5,€65.60m,€34.90m,55.5556,57.1429,30.7692,29.4118,25.0,23.8095,H,56.3492,1.1224,30.0905,0.9598,24.4048,0.8418,Bundesliga1
D1,28/08/2004,Hertha,Mainz,D,1.53,3.4,6.0,1.5,3.8,5.8,2004/5,€71.78m,€16.73m,65.3595,66.6667,29.4118,26.3158,16.6667,17.2414,H,66.0131,0.9243,27.8638,2.1892,16.954,0.4064,Bundesliga1
D1,28/08/2004,Kaiserslautern,Stuttgart,A,2.75,3.25,2.25,2.75,3.3,2.3,2004/5,€33.75m,€79.50m,36.3636,36.3636,30.7692,30.303,44.4444,43.4783,A,36.3636,0.0,30.5361,0.3297,43.9613,0.6831,Bundesliga1
D1,28/08/2004,Leverkusen,Bayern Munich,H,2.9,3.2,2.37,3.2,3.3,2.05,2004/5,€86.93m,€175.30m,34.4828,31.25,31.25,30.303,42.1941,48.7805,A,32.8664,2.2859,30.7765,0.6696,45.4873,4.6573,Bundesliga1
D1,28/08/2004,Schalke 04,Hansa Rostock,A,1.5,3.5,6.0,1.4,4.2,6.6,2004/5,€86.33m,€25.90m,66.6667,71.4286,28.5714,23.8095,16.6667,15.1515,H,69.0476,3.3672,26.1904,3.3672,15.9091,1.0714,Bundesliga1
D1,29/08/2004,Dortmund,Hannover,D,1.5,3.5,6.0,1.4,4.2,6.6,2004/5,€78.33m,€42.98m,66.6667,71.4286,28.5714,23.8095,16.6667,15.1515,H,69.0476,3.3672,26.1904,3.3672,15.9091,1.0714,Bundesliga1
D1,29/08/2004,Werder Bremen,Wolfsburg,A,1.44,3.75,6.5,1.45,4.1,6.0,2004/5,€98.48m,€59.30m,69.4444,68.9655,26.6667,24.3902,15.3846,16.6667,H,69.205,0.3386,25.5284,1.6097,16.0256,0.9066,Bundesliga1
D1,11/09/2004,Bayern Munich,Bielefeld,H,1.2,5.0,12.0,1.2,5.6,11.0,2004/5,€175.30m,€24.65m,83.3333,83.3333,20.0,17.8571,8.3333,9.0909,H,83.3333,0.0,18.9286,1.5153,8.7121,0.5357,Bundesliga1
D1,11/09/2004,Bochum,Dortmund,D,2.375,3.2,2.625,2.5,3.3,2.5,2004/5,€31.40m,€78.33m,42.1053,40.0,31.25,30.303,38.0952,40.0,H,41.0526,1.4887,30.7765,0.6696,39.0476,1.3469,Bundesliga1
D1,11/09/2004,Mainz,Leverkusen,H,3.5,3.25,1.909,3.95,3.4,1.8,2004/5,€16.73m,€86.93m,28.5714,25.3165,30.7692,29.4118,52.3834,55.5556,A,26.944,2.3016,30.0905,0.9598,53.9695,2.2431,Bundesliga1
D1,11/09/2004,M'gladbach,Werder Bremen,H,2.875,3.2,2.2,3.2,3.3,2.05,2004/5,€50.93m,€98.48m,34.7826,31.25,31.25,30.303,45.4545,48.7805,A,33.0163,2.4979,30.7765,0.6696,47.1175,2.3518,Bundesliga1
D1,11/09/2004,Nurnberg,Hertha,D,2.25,3.2,2.8,2.4,3.3,2.6,2004/5,€34.90m,€71.78m,44.4444,41.6667,31.25,30.303,35.7143,38.4615,H,43.0555,1.9641,30.7765,0.6696,37.0879,1.9426,Bundesliga1
D1,11/09/2004,Stuttgart,Hamburg,H,1.571,3.6,5.0,1.5,3.9,5.6,2004/5,€79.50m,€65.60m,63.6537,66.6667,27.7778,25.641,20.0,17.8571,H,65.1602,2.1305,26.7094,1.5109,18.9286,1.5153,Bundesliga1
D1,11/09/2004,Wolfsburg,Schalke 04,H,2.3,3.2,2.7,2.4,3.3,2.6,2004/5,€59.30m,€86.33m,43.4783,41.6667,31.25,30.303,37.037,38.4615,H,42.5725,1.281,30.7765,0.6696,37.7493,1.0073,Bundesliga1
D1,12/09/2004,Hannover,Freiburg,D,1.833,3.25,3.75,1.8,3.4,3.95,2004/5,€42.98m,€22.43m,54.5554,55.5556,30.7692,29.4118,26.6667,25.3165,H,55.0555,0.7072,30.0905,0.9598,25.9916,0.9547,Bundesliga1
D1,12/09/2004,Hansa Rostock,Kaiserslautern,A,1.909,3.25,3.5,1.9,3.3,3.7,2004/5,€25.90m,€33.75m,52.3834,52.6316,30.7692,30.303,28.5714,27.027,H,52.5075,0.1755,30.5361,0.3297,27.7992,1.0921,Bundesliga1
D1,18/09/2004,Bielefeld,Mainz,D,2.25,3.25,2.75,2.0,3.35,3.3,2004/5,€24.65m,€16.73m,44.4444,50.0,30.7692,29.8507,36.3636,30.303,H,47.2222,3.9284,30.31,0.6495,33.3333,4.2855,Bundesliga1
D1,18/09/2004,Dortmund,Bayern Munich,D,2.75,3.0,2.37,2.9,3.3,2.2,2004/5,€78.33m,€175.30m,36.3636,34.4828,33.3333,30.303,42.1941,45.4545,A,35.4232,1.3299,31.8182,2.1427,43.8243,2.3055,Bundesliga1
D1,18/09/2004,Hansa Rostock,Wolfsburg,A,2.3,3.2,2.7,2.2,3.3,2.9,2004/5,€25.90m,€59.30m,43.4783,45.4545,31.25,30.303,37.037,34.4828,H,44.4664,1.3974,30.7765,0.6696,35.7599,1.8061,Bundesliga1
D1,18/09/2004,Kaiserslautern,Hamburg,H,2.2,3.25,2.8,2.05,3.3,3.2,2004/5,€33.75m,€65.60m,45.4545,48.7805,30.7692,30.303,35.7143,31.25,H,47.1175,2.3518,30.5361,0.3297,33.4822,3.1567,Bundesliga1
D1,18/09/2004,Leverkusen,Nurnberg,D,1.4,3.75,7.5,1.45,3.9,6.3,2004/5,€86.93m,€34.90m,71.4286,68.9655,26.6667,25.641,13.3333,15.873,H,70.197,1.7417,26.1538,0.7253,14.6032,1.7958,Bundesliga1
