Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
D1,06/08/2004,Werder Bremen,Schalke 04,H,1.9,3.25,3.5,2.0,3.25,3.4,2.2,3.0,2.9,2.0,3.3,3.1,2004/5,€98.48m,€86.33m,2.0250000000000004,0.10897247358851693,1.9979334329964376,0.05381356720420588,0.0277777777777779,0.2506797124787043,3.2,0.1172603939955857,1.9990185027036402,0.03664387312362053,0.017578125,0.2503632498638897,3.225,0.23848480035423644,1.9960320873900905,0.0739487753036392,0.0406976744186045,0.25141434951127545,H
D1,07/08/2004,Dortmund,Wolfsburg,A,1.57,3.4,5.5,1.55,3.7,5.4,1.65,3.3,4.4,1.61,3.5,4.5,2004/5,€78.33m,€59.30m,1.5950000000000002,0.038405728739343,1.9995826402217578,0.024078826795826326,0.013322884012539227,0.2501431484360073,3.4749999999999996,0.14790199457749054,1.998700621912821,0.04256172505827066,0.023381294964028854,0.2504381261878079,4.95,0.5024937810560445,1.9925531356575892,0.10151389516283726,0.05303030303030298,0.252579445212031,H
D1,07/08/2004,Freiburg,Hansa Rostock,D,2.1,3.25,3.0,2.0,3.25,3.4,2.1,3.0,3.1,2.0,3.3,3.1,2004/5,€22.43m,€25.90m,2.05,0.050000000000000044,1.9995708393473226,0.02439024390243905,0.012195121951219523,0.2501487209994051,3.2,0.1172603939955857,1.9990185027036402,0.03664387312362053,0.017578125,0.2503632498638897,3.15,0.14999999999999997,1.9983860686209216,0.04761904761904761,0.023809523809523725,0.2505232027319187,H
D1,07/08/2004,Hamburg,Bayern Munich,A,3.25,3.25,2.0,3.75,3.4,1.85,3.6,3.2,1.9,3.1,3.3,2.0,2004/5,€65.60m,€175.30m,3.425,0.2610076627227637,1.995805510033982,0.07620661685336168,0.04197080291970812,0.25145960136449225,3.2874999999999996,0.0739509972887451,1.999636126442376,0.02249459993573996,0.012357414448669335,0.2501241872774089,1.9375,0.06495190528383288,1.9991871947573578,0.03352356401746213,0.01774193548387082,0.25028526308859056,A
D1,07/08/2004,Hertha,Bochum,D,1.83,3.25,3.75,1.7,3.5,4.4,1.75,3.2,4.0,1.8,3.3,3.75,2004/5,€71.78m,€31.40m,1.77,0.049497474683058366,1.9994346016940312,0.02796467496217987,0.015536723163841692,0.250198211834671,3.3125,0.1138804197393037,1.99915522525941,0.03437899463828036,0.017924528301886955,0.2502796517206158,3.975,0.26575364531836637,1.9968231011791566,0.06685626297317393,0.03459119496855356,0.2510221650793794,H
D1,07/08/2004,Kaiserslautern,Nurnberg,A,1.72,3.25,4.33,1.75,3.4,4.2,1.85,3.1,3.6,1.8,3.3,3.75,2004/5,€33.75m,€34.90m,1.7799999999999998,0.049497474683058366,1.999443248502525,0.027807570046662008,0.015449438202247201,0.2501911770975407,3.2624999999999997,0.10825317547305476,1.9992026855602418,0.033181049953426744,0.01819923371647514,0.25028200993120986,3.97,0.3032325840011261,1.9957842849302105,0.07638100352673202,0.04156171284634769,0.2514687710104011,H
D1,07/08/2004,Leverkusen,Hannover,H,1.5,3.5,6.0,1.45,4.0,6.2,1.55,3.5,4.8,1.44,3.75,6.0,2004/5,€86.93m,€42.98m,1.485,0.04387482193696065,1.9993728166732447,0.029545334637683936,0.015993265993266004,0.25021305750478273,3.6875,0.2072890493972125,1.9977397145865754,0.05621397949754915,0.029661016949152463,0.2507505422578034,5.75,0.5545268253204709,1.9930324737634018,0.09643944788182103,0.045652173913043326,0.25290554200834275,H
D1,08/08/2004,Bielefeld,M'gladbach,D,2.25,3.25,2.75,2.4,3.3,2.6,2.3,3.0,2.7,2.2,3.25,2.75,2004/5,€24.65m,€50.93m,2.2875,0.0739509972887451,1.9992493980211214,0.032328304825680915,0.01775956284153013,0.2502546106743748,3.2,0.1172603939955857,1.9990185027036405,0.03664387312362053,0.017578125,0.2503632498638897,2.7,0.061237243569579415,1.999626581108484,0.02268046058132571,0.011574074074074181,0.2501335690225996,H
D1,08/08/2004,Stuttgart,Mainz,H,1.4,3.75,7.5,1.4,4.2,6.7,1.5,3.7,5.0,1.44,3.75,6.0,2004/5,€79.50m,€16.73m,1.435,0.04092676385936229,1.9994169466640752,0.02852039293335351,0.014808362369338024,0.2501957673777694,3.8499999999999996,0.20310096011589907,1.9980299947717186,0.05275349613399976,0.024350649350649345,0.25062062646776584,6.3,0.9192388155425117,1.9844401505907532,0.145910923101986,0.08134920634920628,0.2558112769924106,H
D1,14/08/2004,Bayern Munich,Hertha,D,1.4,4.0,9.0,1.3,4.7,8.2,1.4,3.9,6.0,1.36,4.0,7.0,2004/5,€175.30m,€71.78m,1.3650000000000002,0.04092676385936219,1.9993468719668563,0.029982977186345922,0.015567765567765735,0.2502345771767259,4.1499999999999995,0.32015621187164256,1.9958188882417103,0.0771460751497934,0.03614457831325302,0.25126683237998926,7.55,1.143459662602927,1.983274640083316,0.15145161094078502,0.08443708609271505,0.2561270103422395,H
