Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
N1,13/08/2004,Roda,Vitesse,A,1.66,3.4,4.5,1.6,3.6,4.75,1.7,3.3,4.0,1.66,3.3,4.5,2004/5,€20.93m,€21.40m,1.655,0.0357071421427142,1.9996631688426159,0.021575312472939093,0.011329305135951762,0.250118613061225,3.4000000000000004,0.12247448713915901,1.9990727785143636,0.03602190798210559,0.018382352941176405,0.2503065123741948,4.4375,0.2724311839712921,1.9972411644715642,0.06139294286677006,0.03169014084507049,0.25103024577135985,H
N1,14/08/2004,AZ Alkmaar,Heerenveen,D,1.9,3.25,3.5,1.95,3.35,3.3,1.9,3.2,3.4,1.8,3.3,3.75,2004/5,€50.00m,€31.20m,1.8874999999999997,0.054486236794258375,1.9993949538332683,0.028866880420799143,0.01490066225165565,0.25021675593675113,3.2749999999999995,0.05590169943749469,1.9997898126627245,0.01706922120228846,0.009541984732824416,0.2500728803449477,3.4875000000000003,0.16723860200324572,1.9983553689760702,0.0479537210045149,0.025985663082437327,0.250546492742357,H
N1,14/08/2004,NAC Breda,Utrecht,H,2.0,3.25,3.25,1.9,3.4,3.4,2.2,3.0,2.9,2.0,3.2,3.2,2004/5,€17.45m,€20.30m,2.0250000000000004,0.10897247358851693,1.9979334329964376,0.05381356720420588,0.0277777777777779,0.2506797124787043,3.2125000000000004,0.1430690392782449,1.9985630052702061,0.04453510950295561,0.024319066147859836,0.2505098657567448,3.1875000000000004,0.18157298807917438,1.9976307750185767,0.05696407469150568,0.03039215686274499,0.25087372276871056,H
N1,14/08/2004,Nijmegen,Willem II,H,2.2,3.25,2.8,2.2,3.25,2.85,2.1,3.1,3.0,2.25,3.2,2.75,2004/5,€16.88m,€13.98m,2.1875,0.0544862367942584,1.999549948794469,0.024907993963089556,0.012857142857142678,0.25016046532456293,3.1999999999999997,0.061237243569579415,1.9997344260246666,0.01913663861549357,0.009765625,0.2500945172111308,2.85,0.09354143466934856,1.9992284947656913,0.03282155602433282,0.01754385964912286,0.250258001345392,H
N1,14/08/2004,Roosendaal,PSV Eindhoven,A,5.0,3.6,1.57,4.5,3.55,1.65,3.8,3.3,1.75,6.0,3.4,1.5,2004/5,€10.70m,€86.85m,4.825,0.8011710179481033,1.9802244980404173,0.16604580682862244,0.09196891191709833,0.25677238465854135,3.4625000000000004,0.11924240017711828,1.9991424163330875,0.034438238318301305,0.018953068592057587,0.2503007393874224,1.6175,0.09310612224768033,1.9976166916809392,0.057561744820822464,0.03207109737248848,0.25081516294615214,A
N1,15/08/2004,Den Bosch,Den Haag,H,2.2,3.25,2.8,2.1,3.3,3.0,2.3,3.0,2.7,2.15,3.3,2.8,2004/5,€8.35m,€9.92m,2.1875,0.07395099728874513,1.9991793552176897,0.03380617018914063,0.01857142857142846,0.25027812229497026,3.2125,0.12437342963832743,1.9989032755025298,0.038715464478856786,0.018482490272373697,0.2504078958861037,2.825,0.1089724735885168,1.9989351034603642,0.03857432693398825,0.019911504424778848,0.2503550345288482,H
N1,15/08/2004,Feyenoord,Graafschap,H,1.16,5.5,13.0,1.25,5.25,8.0,1.2,5.0,10.0,1.16,6.0,10.0,2004/5,€66.43m,€12.28m,1.1925000000000001,0.036996621467371885,1.9993098209418225,0.03102442051771227,0.01624737945492649,0.2502321488574924,5.4375,0.369754986443726,1.9966926521311479,0.06800091704712202,0.03735632183908044,0.25110052030836183,10.25,1.7853571071357126,1.9784232672136581,0.17418118118397197,0.09146341463414642,0.25715986355623727,H
N1,15/08/2004,Groningen,Waalwijk,D,2.1,3.25,3.0,2.0,3.35,3.2,2.2,3.0,2.9,1.95,3.3,3.25,2004/5,€12.95m,€19.33m,2.0625,0.09601432184835768,1.998442618440536,0.046552398471930996,0.025757575757575646,0.2505297029011581,3.2249999999999996,0.1346291201783626,1.9987259716182566,0.04174546362119771,0.021317829457364157,0.25047202026700055,3.0875,0.14306903927824502,1.9984472263184438,0.04633815037352065,0.02530364372469629,0.25054439958405117,H
N1,15/08/2004,Twente,Ajax,A,4.0,3.5,1.72,4.0,3.45,1.75,3.8,3.3,1.75,4.5,3.5,1.61,2004/5,€13.25m,€114.50m,4.075,0.25860201081971507,1.9971399184232212,0.06346061615207732,0.03220858895705514,0.2509179441572964,3.4375,0.08196798155377509,1.9995866383478516,0.023845230997461844,0.01181818181818195,0.2501489288464539,1.7075,0.05760859310901452,1.999169229012595,0.03373856111801729,0.016471449487554857,0.2503051687848069,A
N1,20/08/2004,Vitesse,Groningen,H,1.8,3.3,3.75,1.8,3.3,3.75,1.8,3.1,3.8,1.72,3.4,4.0,2004/5,€21.40m,€12.95m,1.78,0.03464101615137758,1.9997247092995647,0.01946124502886381,0.008426966292134797,0.25009908838684103,3.275,0.10897247358851676,1.999195260299568,0.03327403773695169,0.01717557251908408,0.2502898467155783,3.825,0.10307764064044152,1.9994808420812673,0.026948402781814776,0.013071895424836555,0.2501719656925808,H
