Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,PSH,PSD,PSA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
G1,24/08/2019,Lamia,Panathinaikos,D,3.75,3.5,1.95,3.6,3.3,2.0,4.0,3.2,2.0,4.0,3.1,2.0,2019/20,€7.88m,€20.25m,4.21,3.19,2.05,3.75,3.4,2.0,3.8375,0.17093492913971675,1.9985622816144286,0.044543304010349644,0.023615635179153216,0.25050928021729285,3.2750000000000004,0.14790199457749034,1.9985375270802292,0.0451609143748062,0.024809160305343525,0.2504923988296515,1.9875,0.021650635094610984,1.999914037535229,0.010893401305464645,0.004716981132075526,0.25003042719785795
G1,24/08/2019,Aris,OFI Crete,D,1.45,4.0,8.0,1.45,3.7,8.0,1.5,3.85,7.5,1.47,3.75,8.5,2019/20,€11.73m,€9.78m,1.47,3.93,8.99,1.4,4.2,9.5,1.4675,0.020463381929681144,1.9998601779999015,0.013944382916307422,0.007240204429301622,0.250047700879784,3.8249999999999997,0.11456439237389596,1.9993559405088945,0.029951475130430318,0.016339869281045916,0.2502180163339861,8.0,0.3535533905932738,1.9985901994471325,0.04419417382415922,0.0234375,0.25049115161170493
G1,24/08/2019,Olympiakos,Asteras Tripolis,H,1.18,6.5,15.0,1.25,5.25,11.5,1.25,5.5,12.0,1.2,5.8,15.0,2019/20,€82.58m,€11.20m,1.23,6.17,13.45,1.22,5.5,15.0,1.22,0.03082207001484491,1.9995389308759164,0.025263991815446647,0.013319672131147486,0.25016087037582735,5.7625,0.468208020008201,1.9953063266090496,0.08125084945912381,0.04392624728850336,0.2515157466984239,13.375,1.6345871038277526,1.9891823065588088,0.12221211991235534,0.06308411214953269,0.2537750411537871
G1,25/08/2019,Atromitos,Larisa,D,1.66,3.5,5.5,1.65,3.4,5.5,1.67,3.45,5.8,1.65,3.4,6.0,2019/20,€12.75m,€13.43m,1.66,3.51,6.38,1.66,3.5,5.5,1.6574999999999998,0.008291561975888507,1.9999819633586282,0.005002450664186128,0.002639517345399689,0.2500062255393626,3.4375,0.04145780987944255,1.9998952807251584,0.012060453783110561,0.006363636363636349,0.2500359406803998,5.7,0.21213203435596423,1.9990044793330626,0.037216146378239334,0.019736842105263275,0.2503387183703929
G1,25/08/2019,Panionios,Volos NFC,A,2.3,3.1,3.2,2.45,2.95,3.0,2.45,2.95,3.1,2.35,3.0,3.2,2019/20,€7.13m,€8.40m,2.41,3.14,3.26,1.9,3.3,4.0,2.3875,0.06495190528383303,1.999465002220241,0.0272049865063175,0.014397905759162333,0.25018729992703004,3.0,0.061237243569579415,1.999701067253541,0.02041241452319314,0.01041666666666674,0.25010082090233343,3.125,0.08291561975888508,1.9994898567400976,0.026532998322843223,0.014000000000000012,0.2501808504430148
G1,25/08/2019,PAOK,Panetolikos,H,1.14,7.5,19.0,1.19,5.75,15.0,1.2,6.1,14.0,1.17,6.5,17.0,2019/20,€53.55m,€8.85m,1.18,6.81,19.06,1.14,7.0,19.0,1.175,0.02291287847477922,1.9997247782400926,0.01950032210619508,0.010638297872340496,0.25009699950475783,6.4625,0.655147884068933,1.9927207985366824,0.10137684859867434,0.054642166344293974,0.2523088834946505,16.25,1.920286436967152,1.9900013684189448,0.11817147304413243,0.06538461538461537,0.2533389139842082
G1,25/08/2019,AEK,Xanthi,A,1.4,4.5,8.0,1.34,4.25,10.0,1.35,4.35,10.5,1.32,4.33,12.0,2019/20,€30.53m,€9.38m,1.34,4.53,12.58,1.28,5.0,13.0,1.3525,0.029474565306378927,1.9996590846571023,0.02179265457033562,0.011552680221811551,0.25011532465523256,4.3575,0.0903811374126261,1.999690808124429,0.020741511741279656,0.011044176706827447,0.25010523250632777,10.125,1.4306903927824497,1.9853274375338965,0.14130275484271107,0.07716049382716039,0.2556625856022833
G1,31/08/2019,Panetolikos,Xanthi,A,2.15,3.1,3.6,2.15,3.0,3.6,2.15,3.05,3.65,2.1,3.0,3.8,2019/20,€8.85m,€9.38m,2.18,3.0,4.02,2.15,3.1,3.6,2.1375,0.02165063509461089,1.999925701357953,0.01012895209104603,0.004385964912280826,0.25002625958474844,3.0374999999999996,0.04145780987944252,1.9998659179747336,0.013648661688705358,0.007201646090534863,0.25004596030748916,3.6625,0.0819679815537749,1.9996412092766958,0.022380336260416352,0.011092150170648463,0.2501200620694697
G1,31/08/2019,Panathinaikos,OFI Crete,A,1.53,3.6,7.5,1.53,3.7,6.5,1.57,3.8,6.1,1.52,3.9,6.5,2019/20,€20.25m,€9.78m,1.54,4.05,6.59,1.5,3.75,7.5,1.5375,0.019202864369671536,1.9998879343999976,0.012489667882713194,0.0060975609756097615,0.25003805280874014,3.75,0.11180339887498938,1.9993586463180253,0.02981423969999717,0.01666666666666683,0.2502226020440471,6.65,0.5172040216394301,1.9957177923725198,0.0777750408480346,0.03947368421052633,0.25135358690100523
G1,31/08/2019,Volos NFC,Aris,H,3.5,3.1,2.25,3.2,2.9,2.35,3.55,3.0,2.25,3.6,3.0,2.2,2019/20,€8.40m,€11.73m,3.65,3.13,2.24,4.0,3.2,2.0,3.4625000000000004,0.1556237449748591,1.9985203004360959,0.0449454859133167,0.022563176895306736,0.25055342130611563,3.0,0.07071067811865482,1.99959917713182,0.023570226039551608,0.012499999999999956,0.250139120584872,2.2625,0.0544862367942584,1.9995837549364608,0.02408231460519708,0.012430939226519389,0.2501407061241508
