Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
T1,06/08/2004,Rizespor,Fenerbahce,2.0,2.0,D,0.0,2.0,6.0,3.4,1.5,6.0,3.6,1.5,5.4,3.8,1.45,6.0,3.4,1.5,2004/5,€22.85m,€90.60m,5.85,0.25980762113533146,1.9985517609237435,0.04441155916843273,0.019230769230769162,0.2505478451424398,3.55,0.16583123951776998,1.9984371281821285,0.04671302521627324,0.02464788732394374,0.2505224861931973,1.4875,0.021650635094610987,1.9998463140351177,0.014555048803099822,0.006302521008403339,0.25005478851632695,A
T1,07/08/2004,Denizlispor,Gaziantepspor,2.0,1.0,H,1.0,0.0,2.2,3.25,2.75,2.1,3.3,3.0,2.0,3.1,3.2,2.1,3.2,3.0,2004/5,€27.24m,€38.60m,2.1,0.07071067811865482,1.9991818362969065,0.033671751485073724,0.017857142857142794,0.2502844126411917,3.2125,0.0739509972887451,1.9996164131297,0.023019765692994586,0.012645914396887115,0.2501353104529847,2.9875,0.15958931668504636,1.9979310100021772,0.05341901813725401,0.028242677824267703,0.2507375452821968,H
T1,07/08/2004,Genclerbirligi,Sakaryaspor,1.0,0.0,H,1.0,0.0,1.5,3.4,6.0,1.45,3.7,6.5,1.45,3.8,5.4,1.4,3.75,7.0,2004/5,€46.95m,€14.85m,1.45,0.03535533905932741,1.9995710519959546,0.024382992454708558,0.012931034482758452,0.2501488979428904,3.6624999999999996,0.15562374497485917,1.9986786459906134,0.04249112490781138,0.021331058020477744,0.2504920741305409,6.225,0.5931905258852335,1.993411249793641,0.09529165074461582,0.053212851405622486,0.2523588483926652,H
T1,07/08/2004,Kayserispor,Trabzonspor,0.0,3.0,A,0.0,1.0,4.33,3.4,1.66,5.0,3.5,1.6,4.4,3.3,1.65,4.4,3.4,1.65,2004/5,€30.03m,€63.60m,4.532500000000001,0.2714198776803201,1.997467488724072,0.05988303975296637,0.02771649200220616,0.25078826748083327,3.4000000000000004,0.07071067811865482,1.9996879534788257,0.020797258270192593,0.011029411764705843,0.2501082718981202,1.6400000000000001,0.023452078799117076,1.9998517432054517,0.014300048048242118,0.006859756097560954,0.25005269363722904,A
T1,07/08/2004,Malatyaspor,Besiktas,1.0,1.0,D,1.0,0.0,3.2,3.2,2.0,3.3,3.2,2.0,3.5,3.1,1.9,2.8,3.2,2.2,2004/5,€33.95m,€76.25m,3.2,0.2549509756796393,1.9953449269569083,0.07967217989988729,0.04296875,0.2517571699184917,3.1750000000000003,0.043301270189221974,1.9998651149454485,0.013638195335188022,0.0059055118110236116,0.25004800000000005,2.025,0.10897247358851693,1.9979334329964376,0.053813567204205895,0.0277777777777779,0.2506797124787043,A
T1,08/08/2004,A. Sebatspor,Ankaraspor,1.0,3.0,A,0.0,1.0,2.2,3.25,2.75,2.2,3.35,2.75,2.2,3.0,3.9,2.0,3.2,3.2,2004/5,€26.73m,€32.75m,2.1500000000000004,0.08660254037844395,1.9988106997275763,0.040280251338811135,0.01744186046511631,0.25044616299821526,3.2,0.12747548783981966,1.9988464088123774,0.03983608994994364,0.021484375,0.2504158617355713,3.15,0.4703721930556694,1.9843793617579804,0.14932450573195855,0.07738095238095255,0.2546680214661545,H
T1,08/08/2004,Galatasaray,Konyaspor,3.0,1.0,H,2.0,1.0,1.36,4.0,7.0,1.35,4.1,7.75,1.4,3.9,6.0,1.4,3.75,7.0,2004/5,€79.65m,€37.25m,1.3775,0.02277608394786066,1.9998027068352249,0.016534362212603022,0.008620689655172376,0.25006851311085115,3.9375,0.1293010054098574,1.9992198062345226,0.03283835058028124,0.01825396825396841,0.2502745714749318,6.9375,0.6218671481916375,1.9941360350480635,0.08963850784744323,0.04729729729729737,0.25216866271470684,H
T1,08/08/2004,Istanbulspor,Diyarbakirspor,1.0,1.0,D,0.0,0.0,2.2,3.25,2.75,2.25,3.15,2.8,2.2,3.0,2.9,2.2,3.1,2.85,2004/5,€27.55m,€22.93m,2.2125000000000004,0.02165063509461089,1.9999311828798416,0.009785597782874977,0.004237288135593209,0.2500234075091289,3.125,0.09013878188659973,1.9993996846307205,0.028844410203711913,0.016000000000000014,0.2502084429821323,2.825,0.05590169943749474,1.9997175093007118,0.019788212190263624,0.011061946902654718,0.25009796698172726,H
T1,08/08/2004,Samsunspor,Ankaragucu,1.0,1.0,D,0.0,1.0,1.83,3.25,3.6,2.0,3.3,3.2,1.8,3.3,3.6,2.1,3.2,3.0,2004/5,€34.65m,€32.76m,1.9324999999999999,0.12316147936753602,1.9970808466025292,0.06373168401942356,0.034605433376455386,0.25099149483883215,3.2625,0.04145780987944235,1.9998832701248064,0.01270737467569114,0.006704980842911823,0.25004088804644686,3.35,0.2598076211353316,1.9956315936510405,0.07755451377174079,0.04104477611940305,0.2515620301379933,H
T1,13/08/2004,Gaziantepspor,Galatasaray,1.0,0.0,H,0.0,0.0,3.0,3.2,2.1,3.35,3.3,1.95,3.1,3.0,2.1,2.62,3.2,2.3,2004/5,€38.60m,€79.65m,3.0174999999999996,0.26252380844411044,1.9944702840547648,0.08700043361859502,0.04743164871582439,0.2520524080725833,3.175,0.1089724735885168,1.999143554432918,0.03432203892551711,0.017716535433070835,0.25030886742598457,2.1125,0.12437342963832744,1.9975113887812017,0.0588749962784982,0.03106508875739622,0.2508450734903028,A
