Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
B1,06/08/2004,Mouscron,Anderlecht,H,3.5,3.25,1.9,3.25,3.4,1.95,3.5,3.1,1.9,3.8,3.5,1.72,2004/5,€15.60m,€63.60m,3.5125,0.19485571585149863,1.9977856752356686,0.055474936897223805,0.029359430604982473,0.2507600705015222,3.3125,0.15155444566227672,1.998484913669405,0.04575228548295146,0.025471698113207486,0.2505341698472395,1.8674999999999997,0.08757139944068495,1.9983886896089222,0.04689231563088887,0.02309236947791171,0.25060394771781547
B1,07/08/2004,Beveren,Club Brugge,D,4.0,3.5,1.72,4.75,3.6,1.65,5.4,3.8,1.45,4.33,3.4,1.66,2004/5,€14.30m,€53.03m,4.62,0.5229244687332962,1.9908557463280125,0.11318711444443641,0.0625,0.25301727309482874,3.575,0.14790199457749037,1.998772121684929,0.0413711872944029,0.022727272727272707,0.2504142983840314,1.62,0.10173494974687902,1.9970968133551876,0.06279935169560433,0.03163580246913589,0.2511135013619775
B1,07/08/2004,Cercle Brugge,Lokeren,D,2.37,3.2,2.62,2.3,3.25,2.7,2.5,3.0,2.5,2.6,3.1,2.4,2004/5,€10.98m,€18.73m,2.4425,0.11583932838203101,1.9983799881413498,0.04742654181454699,0.026356192425793123,0.25055705182918137,3.1375,0.09601432184835762,1.999322379339828,0.03060217429429725,0.01693227091633487,0.2502384950108044,2.555,0.11434596626029282,1.998552424461983,0.04475380284160189,0.024951076320939514,0.2505065978249126
B1,07/08/2004,FC Brussels,Genk,A,3.0,3.25,2.1,3.2,3.35,2.0,3.1,3.0,2.1,3.2,3.2,2.0,2004/5,€10.22m,€30.45m,3.125,0.08291561975888508,1.9994898567400976,0.026532998322843223,0.014000000000000012,0.2501808504430148,3.2,0.12747548783981966,1.9988464088123774,0.03983608994994364,0.021484375,0.2504158617355713,2.05,0.050000000000000044,1.9995708393473226,0.02439024390243905,0.012195121951219523,0.2501487209994051
B1,07/08/2004,Gent,Germinal,A,2.0,3.25,3.25,2.1,3.25,3.0,1.9,3.1,3.5,1.8,3.4,3.6,2004/5,€26.63m,€15.67m,1.9499999999999997,0.11180339887498951,1.997626570689287,0.05733507634614848,0.03205128205128216,0.2508270433739539,3.25,0.10606601717798207,1.9992314278641914,0.03263569759322525,0.017307692307692468,0.2502671245124647,3.3375,0.2328492001274645,1.9964571493903451,0.06976755059998936,0.03838951310861405,0.2512841248388984
B1,07/08/2004,Lierse,Standard,D,2.8,3.25,2.2,3.0,3.3,2.1,2.7,3.0,2.3,2.87,3.1,2.2,2004/5,€14.83m,€43.55m,2.8425000000000002,0.1091730278044902,1.998937953973161,0.03840739764449963,0.02132805628847856,0.25036488483397734,3.1625,0.11924240017711814,1.9989717300104966,0.03770510677537332,0.02075098814229248,0.2503610406936078,2.2,0.07071067811865465,1.999254549458816,0.032141217326661205,0.017045454545454586,0.2502590662493089
B1,07/08/2004,St Truiden,Bergen,D,1.83,3.25,3.75,2.0,3.35,3.2,1.9,3.1,3.5,1.8,3.3,3.75,2004/5,€12.10m,€15.63m,1.8824999999999998,0.07693341276714556,1.9988029586783742,0.04086768274483164,0.022244355909694535,0.2504017658229817,3.2499999999999996,0.0935414346693485,1.9993983256085912,0.02878197989826108,0.01538461538461533,0.2502158272207008,3.55,0.22638462845343532,1.9970266449957743,0.06377031787420713,0.033450704225352235,0.2511020944429426
B1,08/08/2004,Charleroi,Louvieroise,A,2.3,3.2,2.7,2.3,3.25,2.7,2.2,3.0,2.9,2.15,3.2,2.9,2004/5,€12.15m,€17.80m,2.2375,0.06495190528383281,1.9993907737476284,0.029028784484394554,0.015363128491620026,0.2502134380842165,3.1625,0.09601432184835763,1.9993281850367586,0.03036025987299846,0.014822134387351804,0.25024515302034933,2.8000000000000003,0.09999999999999987,1.9990797181805817,0.035714285714285664,0.017857142857143016,0.2503188775510204
B1,08/08/2004,Oostende,Westerlo,D,2.7,3.2,2.3,2.9,3.2,2.2,2.6,3.0,2.4,2.5,3.25,2.4,2004/5,€8.60m,€13.40m,2.675,0.14790199457749037,1.997810455250215,0.05529046526261323,0.030373831775700966,0.2507331846560485,3.1625,0.09601432184835763,1.9993281850367581,0.03036025987299846,0.014822134387351804,0.25024515302034933,2.325,0.08291561975888491,1.9990768688075227,0.035662632154359095,0.018817204301075252,0.25032994673325315
B1,13/08/2004,Standard,Charleroi,A,1.33,4.33,8.0,1.3,4.5,8.25,1.3,4.2,8.0,1.33,4.33,7.0,2004/5,€43.55m,€12.15m,1.315,0.015000000000000015,1.9999061390437955,0.01140684410646389,0.005703422053231932,0.2500325290231173,4.34,0.10653637876331253,1.999566233930204,0.024547552710440675,0.012960829493087411,0.25014885530673237,7.8125,0.480071609241788,1.9972167346105523,0.06144916598294886,0.030000000000000027,0.2510736842105262
