Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SP1,28/08/2004,Ath Madrid,Malaga,H,1.72,3.25,4.33,1.9,3.35,3.6,1.75,3.1,4.2,1.72,3.2,4.33,2004/5,€125.65m,€32.85m,1.7725,0.07462405778299647,1.9987397216526905,0.0421010199057808,0.020098730606488147,0.2504061311965432,3.225,0.09013878188659973,1.999436345146097,0.027950009887317745,0.015503875968992276,0.2501956912717895,4.115,0.3020347662107791,1.9960052813865115,0.07339848510590015,0.03523693803159178,0.25158551012087493,H
SP1,28/08/2004,Espanol,La Coruna,D,2.87,3.2,2.4,3.4,3.25,2.0,2.9,3.0,2.2,2.62,3.1,2.37,2004/5,€45.15m,€144.45m,2.9475000000000002,0.28296422035303326,1.9934653322843565,0.09600143184157192,0.05025445292620878,0.25208943460349015,3.1375,0.09601432184835762,1.999322379339828,0.03060217429429725,0.01693227091633487,0.2502384950108044,2.2425,0.1594325876350252,1.99630389859228,0.07109591421851737,0.0381828316610926,0.25137070551921903,A
SP1,28/08/2004,Numancia,Betis,D,2.5,3.2,2.5,2.5,3.15,2.6,2.4,2.9,2.7,2.5,3.1,2.5,2004/5,€13.40m,€85.15m,2.475,0.043301270189221974,1.999777688257265,0.017495462702715948,0.007575757575757569,0.25007971091508124,3.0875,0.1138804197393038,1.9990081055041913,0.036884346474268435,0.019230769230769384,0.2503626216542504,2.575,0.08291561975888508,1.999255821175274,0.03220024068306216,0.016990291262136026,0.250251462213665,H
SP1,29/08/2004,Mallorca,Real Madrid,A,5.0,3.4,1.72,4.5,3.4,1.7,3.8,3.1,1.8,4.2,3.25,1.72,2004/5,€42.65m,€303.70m,4.375,0.4380353866983808,1.9927838198829817,0.10012237410248705,0.05571428571428583,0.2524887856639032,3.2875,0.12437342963832743,1.998960717425831,0.03783222194321747,0.019961977186311763,0.2503721959174564,1.7349999999999999,0.03840572873934308,1.9996490685721051,0.02213586670855509,0.010806916426512991,0.250117329671135,A
SP1,29/08/2004,Osasuna,Ath Bilbao,D,2.3,3.2,2.7,2.25,3.2,2.9,2.4,2.9,2.7,2.3,3.1,2.75,2004/5,€26.70m,€53.05m,2.3125,0.0544862367942584,1.9996015182098468,0.02356161591103066,0.012162162162162149,0.25013477062696704,3.1,0.12247448713915901,1.998861354897418,0.039507899077148065,0.020161290322580516,0.25041733207827466,2.7625,0.0819679815537749,1.9993707395049607,0.02967166753077824,0.014705882352941124,0.2502082344835175,H
SP1,29/08/2004,Santander,Barcelona,A,5.0,3.4,1.72,4.5,3.4,1.7,3.8,3.1,1.8,3.8,3.25,1.8,2004/5,€32.90m,€273.03m,4.275,0.5068283733178324,1.9899654397672775,0.11855634463575025,0.0628654970760234,0.2532852075576118,3.2875,0.12437342963832743,1.998960717425831,0.03783222194321747,0.019961977186311763,0.2503721959174564,1.755,0.045552167895721536,1.9995136709728614,0.025955651222633356,0.013532763532763559,0.2501690817045212,A
SP1,29/08/2004,Sevilla,Albacete,H,1.66,3.4,4.5,1.7,3.4,4.5,1.75,3.2,4.0,1.6,3.4,4.8,2004/5,€70.55m,€17.75m,1.6775,0.05494315243958975,1.9992249256493126,0.032752996983361995,0.018256333830104277,0.2502709257864555,3.3499999999999996,0.08660254037844375,1.9995129978642308,0.025851504590580228,0.011194029850746245,0.2501775147928994,4.45,0.28722813232690136,1.9969575742260568,0.06454564771391041,0.03370786516853941,0.2511242603550296,H
SP1,29/08/2004,Sociedad,Levante,D,1.72,3.25,4.33,1.7,3.4,4.5,1.7,3.1,4.4,1.61,3.1,5.5,2004/5,€53.55m,€24.25m,1.6825,0.042646805273079895,1.9995324219921407,0.025347283966169327,0.012258543833580937,0.2501693595833213,3.2125,0.12437342963832741,1.9989252358092664,0.038715464478856786,0.020428015564202262,0.2503614102540722,4.6825,0.4758347927589994,1.9928016249254794,0.10161981692664163,0.04818473037907123,0.25209395505343235,H
SP1,29/08/2004,Zaragoza,Getafe,H,1.72,3.25,4.33,1.85,3.25,4.0,1.75,3.1,4.2,1.72,3.2,4.33,2004/5,€51.13m,€13.85m,1.76,0.0533853912601566,1.999342711842273,0.030332608670543524,0.014914772727272485,0.25021697490283273,3.1999999999999997,0.061237243569579415,1.9997344260246666,0.01913663861549357,0.009765625,0.2500945172111308,4.215,0.13500000000000004,1.999254243668651,0.03202846975088969,0.01660735468564667,0.2502686942912955,H
SP1,11/09/2004,Ath Bilbao,Valencia,D,2.7,3.2,2.3,2.7,3.15,2.4,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€53.05m,€195.90m,2.6,0.10000000000000009,1.9989326546260584,0.03846153846153849,0.019230769230769162,0.2503698224852071,3.1125,0.07395099728874523,1.9995913209797596,0.023759356558633007,0.013052208835341306,0.2501442483178986,2.425,0.08291561975888508,1.99915166182264,0.03419200814799385,0.018041237113401998,0.2503028105789146,A
