Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
F1,06/08/2004,Nice,Lyon,A,3.25,3.0,2.1,3.0,3.0,2.2,3.2,2.9,2.1,2.87,3.1,2.2,2004/5,€34.45m,€133.90m,3.08,0.15313392831113554,1.998209385223081,0.04971880789322582,0.027191558441558294,0.2506332119921297,3.0,0.07071067811865482,1.99959917713182,0.023570226039551608,0.012499999999999956,0.25013912058487187,2.1500000000000004,0.050000000000000044,1.9996098363678072,0.02325581395348839,0.011627906976744207,0.2501352082206598,A
F1,07/08/2004,Bastia,Strasbourg,H,2.1,3.0,3.25,2.05,3.0,3.45,2.2,2.9,3.0,2.0,3.2,3.2,2004/5,€31.85m,€35.10m,2.0875000000000004,0.0739509972887453,1.9990990292310287,0.03542562744371031,0.019461077844311614,0.25030505067456826,3.025,0.10897247358851693,1.999070802603432,0.036023958211079975,0.018595041322313932,0.25031052663963804,3.225,0.16007810593582128,1.9982213209230437,0.049636621995603494,0.027131782945736482,0.2506202997528373,H
F1,07/08/2004,Caen,Istres,D,1.9,3.2,3.6,1.9,3.1,3.75,1.8,3.1,3.8,1.9,3.0,3.75,2004/5,€22.70m,€18.50m,1.8749999999999998,0.04330127018922188,1.999611779932601,0.023094010767585004,0.010000000000000009,0.2501407393507224,3.1,0.07071067811865482,1.9996246239978286,0.022809896167308007,0.012096774193548487,0.2501302760443018,3.7249999999999996,0.07499999999999991,1.9997057865697416,0.02013422818791944,0.010067114093959662,0.2501051245359037,H
F1,07/08/2004,Lille,Auxerre,H,2.37,3.0,2.75,2.4,3.2,2.6,2.4,2.9,2.7,2.37,3.0,2.7,2004/5,€56.25m,€47.85m,2.385,0.014999999999999902,1.9999714666241033,0.0062893081761005885,0.003144654088050425,0.25000988884933345,3.025,0.10897247358851693,1.9990708026034316,0.036023958211079975,0.018595041322313932,0.25031052663963815,2.6875,0.0544862367942584,1.9997021527483088,0.020273948574607778,0.010465116279069875,0.25010561707344364,H
F1,07/08/2004,Marseille,Bordeaux,H,1.72,3.25,4.33,1.6,3.5,5.0,1.75,3.2,4.0,1.66,3.3,4.5,2004/5,€78.60m,€52.60m,1.6825,0.05760859310901453,1.9991513674706651,0.03423987703358962,0.01894502228826145,0.250299282385374,3.3125,0.1138804197393037,1.99915522525941,0.03437899463828036,0.017924528301886955,0.2502796517206158,4.4575,0.361135362433534,1.995297490000053,0.08101746773607045,0.04444756029164343,0.25158213536792473,H
F1,07/08/2004,Metz,Nantes,H,2.5,3.0,2.62,2.65,3.15,2.4,2.3,3.0,2.7,2.37,3.0,2.7,2004/5,€35.70m,€47.35m,2.455,0.13351029922818689,1.997877790204699,0.054383013942234985,0.03004073319755607,0.2507165975394602,3.0375,0.06495190528383286,1.9996728229883816,0.021383343303319462,0.0092592592592593,0.250108869211787,2.605,0.12278029157808686,1.998372775564204,0.04713254955012931,0.023512476007677474,0.2506086014333525,H
F1,07/08/2004,Stade Rennais FC,Paris SG,H,2.75,3.0,2.37,3.0,3.1,2.2,2.7,2.9,2.4,2.87,3.0,2.25,2004/5,€61.30m,€81.75m,2.83,0.11597413504743198,1.998794061187256,0.0409802597340749,0.022526501766784612,0.25040857328324495,3.0,0.07071067811865482,1.99959917713182,0.023570226039551608,0.012499999999999956,0.25013912058487187,2.305,0.08261355820929146,1.9990721834508234,0.0358410230842913,0.01952277657266821,0.25032340196456143,A
F1,07/08/2004,Sochaux,Ajaccio,H,1.57,3.4,5.5,1.55,3.55,5.5,1.6,3.4,4.6,1.57,3.5,5.0,2004/5,€49.65m,€24.55m,1.5725000000000002,0.01785357107135714,1.9999071557640973,0.011353622302929817,0.005961844197138522,0.250031937644367,3.4625,0.06495190528383288,1.9997464870563137,0.01875867300616112,0.00992779783393516,0.2500872915429284,5.15,0.3774917217635376,1.9960819448770468,0.0732993634492306,0.038834951456310884,0.2514321657460374,H
F1,07/08/2004,St Etienne,Monaco,A,3.25,3.0,2.1,3.5,3.2,1.95,3.0,2.9,2.2,2.87,3.0,2.25,2004/5,€37.50m,€103.80m,3.1550000000000002,0.24150569351466641,1.9957957557443224,0.07654697100306383,0.04239302694136304,0.25141896150251514,3.025,0.10897247358851693,1.9990708026034316,0.036023958211079975,0.018595041322313932,0.25031052663963815,2.125,0.11456439237389604,1.99788270762469,0.053912655234774606,0.02941176470588225,0.2507708816531928,A
F1,07/08/2004,Toulouse,Lens,D,2.37,3.0,2.75,2.4,3.05,2.7,2.4,2.9,2.7,2.3,3.0,2.8,2004/5,€37.10m,€52.50m,2.3674999999999997,0.04085033659592052,1.9997841343720992,0.01725463002995587,0.008711721224921032,0.2500767532756839,2.9875000000000003,0.0544862367942584,1.9997590808604244,0.018238070893475615,0.009414225941422494,0.2500852273896842,2.7375,0.04145780987944235,1.9998349586297728,0.015144405435412732,0.007990867579908523,0.25005650565967785,H
F1,14/08/2004,Ajaccio,Metz,A,2.1,3.0,3.25,2.2,3.0,3.1,2.2,2.8,3.1,1.95,3.1,3.5,2004/5,€24.55m,€35.70m,2.1125000000000003,0.10231690964840572,1.9982877159720198,0.04843404007025122,0.025147928994082802,0.2506294244382887,2.9749999999999996,0.10897247358851693,1.9990239887187233,0.03662940288689645,0.01890756302521024,0.2503529927832948,3.2375,0.16345871038277524,1.9981825675283698,0.05048917695220857,0.026061776061776065,0.25059395303224863,H
F1,14/08/2004,Auxerre,Stade Rennais FC,H,1.72,3.25,4.33,1.7,3.3,4.5,1.85,3.1,3.6,1.8,3.1,4.0,2004/5,€47.85m,€61.30m,1.7675,0.06057020719792864,1.9991546304288763,0.03426885838638113,0.018741159830268694,0.25028985001295306,3.1875,0.08926785535678552,1.9994347615157992,0.028005601680560165,0.014705882352941124,0.25019487963448284,4.1075,0.34375681811420117,1.9948850068168356,0.08369003484216705,0.04610468654899558,0.2518866854216053,H
F1,14/08/2004,Bordeaux,Nice,H,1.83,3.1,4.0,1.8,3.1,4.3,1.8,3.0,4.0,1.72,3.1,4.5,2004/5,€52.60m,€34.45m,1.7874999999999999,0.040850336595920515,1.9996207982483765,0.022853335158556934,0.011538461538461497,0.2501357788594944,3.075,0.043301270189221974,1.999856174166598,0.014081713882673812,0.0060975609756099836,0.2500512260091524,4.2,0.21213203435596423,1.998168486004864,0.05050762722761053,0.02678571428571419,0.2506193682352446,H
F1,14/08/2004,Lens,St Etienne,H,1.66,3.4,4.5,1.7,3.3,4.5,1.6,3.3,4.8,1.7,3.2,4.5,2004/5,€52.50m,€37.50m,1.665,0.0409267638593622,1.9995616117073194,0.02458063895457189,0.01276276276276267,0.2501564137763095,3.3,0.07071067811865465,1.9996687520844425,0.02142747821777414,0.011363636363636465,0.250114942431724,4.575,0.12990381056766573,1.999424603097586,0.028394275533916005,0.012295081967213184,0.25018896447467875,H
F1,14/08/2004,Lyon,Sochaux,D,1.61,3.4,5.0,1.45,3.7,6.5,1.6,3.3,4.8,1.5,3.4,6.0,2004/5,€133.90m,€49.65m,1.54,0.06745368781616026,1.9986116475374682,0.04380109598451965,0.023538961038960915,0.2504884307285576,3.45,0.15000000000000013,1.998653053356987,0.04347826086956525,0.021739130434782483,0.2504390649726703,5.575,0.7013380069552769,1.9886202895763032,0.12580053936417523,0.06838565022421528,0.25384968234850924,H
F1,14/08/2004,Monaco,Istres,H,1.33,4.0,8.5,1.3,4.5,8.25,1.35,3.8,7.5,1.3,4.33,8.0,2004/5,€103.80m,€18.50m,1.3199999999999998,0.021213203435596444,1.9998140039968655,0.01607060866333064,0.008522727272727293,0.2500639338735657,4.1575,0.27371289702898555,1.996866623401527,0.06583593434251006,0.03653036680697519,0.2510969179585013,8.0625,0.369754986443726,1.998471748372122,0.045861083589919506,0.025193798449612448,0.25054970672119037,H
F1,14/08/2004,Nantes,Bastia,D,1.72,3.25,4.33,1.6,3.5,5.0,1.65,3.2,4.6,1.66,3.3,4.5,2004/5,€47.35m,€31.85m,1.6575000000000002,0.042646805273079916,1.9995230632123042,0.02572959594152634,0.013951734539969785,0.250164350753332,3.3125,0.1138804197393037,1.99915522525941,0.03437899463828036,0.017924528301886955,0.2502796517206158,4.6075,0.2463102718117943,1.9979598598142212,0.05345855058313495,0.028621812262615398,0.25067201192608324,H
