Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
P1,28/08/2004,Belenenses,Maritimo,H,2.25,3.2,2.75,2.25,3.2,2.8,2.2,3.0,2.9,2.15,3.2,2.9,2004/5,€24.35m,€21.20m,2.2125000000000004,0.04145780987944252,1.9997459210327035,0.01873799316584972,0.009887005649717562,0.2500894607455898,3.1500000000000004,0.08660254037844395,1.9994488293074122,0.027492869961410774,0.011904761904761862,0.25020155872077404,2.8375,0.06495190528383288,1.9996213713707367,0.022890539307077667,0.012114537444933848,0.25013233603682866,H
P1,28/08/2004,Sp Lisbon,Gil Vicente,H,1.25,4.5,10.0,1.35,4.0,8.0,1.3,4.2,8.0,1.25,4.5,10.0,2004/5,€89.40m,€8.20m,1.2875,0.04145780987944254,1.999255821175274,0.03220024068306216,0.016990291262136026,0.250251462213665,4.3,0.21213203435596423,1.9982343231795798,0.049333031245573075,0.026162790697674465,0.25062924400181075,9.0,1.0,1.991076059838222,0.1111111111111111,0.05555555555555558,0.25308641975308643,H
P1,29/08/2004,Beira Mar,Benfica,A,4.33,3.4,1.66,4.5,3.5,1.65,4.4,3.3,1.65,4.5,3.3,1.66,2004/5,€8.10m,€120.05m,4.4325,0.07189401922274195,1.9998098733392666,0.01621974488950749,0.008601240834743562,0.25006650508229455,3.375,0.08291561975888508,1.9995663076193992,0.024567591039669653,0.012962962962963065,0.2501473995636872,1.6549999999999998,0.0050000000000000044,1.9999934160091841,0.0030211480362537795,0.0015105740181269312,0.2500022818338642,A
P1,29/08/2004,Boavista,Nacional,H,1.72,3.4,4.0,2.0,3.2,3.35,1.8,3.1,3.8,1.8,3.3,3.75,2004/5,€29.10m,€10.25m,1.8299999999999998,0.10344080432788601,1.997727310357282,0.05652502968736941,0.0286885245901638,0.25073503138576203,3.2499999999999996,0.11180339887498938,1.999146057925888,0.034401045807689046,0.019230769230769384,0.25029653156166315,3.7249999999999996,0.23584952830141503,1.997067459520674,0.06331530961111814,0.03355704697986561,0.2510921099574327,H
P1,29/08/2004,Estoril,Rio Ave,D,2.25,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,2.15,3.2,2.9,2004/5,€6.63m,€11.10m,2.2249999999999996,0.05590169943749469,1.999544582732189,0.025124359297750427,0.014044943820224587,0.2501579998176322,3.1250000000000004,0.1299038105676659,1.99873269379249,0.04156921938165308,0.018000000000000016,0.2504766612527364,2.85,0.10606601717798211,1.9990044793330626,0.037216146378239334,0.019736842105263275,0.2503387183703929,H
P1,29/08/2004,Moreirense,Guimaraes,D,1.9,3.2,3.5,1.85,3.25,3.75,2.0,3.1,3.2,2.0,3.25,3.15,2004/5,€6.15m,€20.40m,1.9375,0.06495190528383288,1.9991871947573578,0.03352356401746213,0.01774193548387082,0.25028526308859056,3.1999999999999997,0.061237243569579415,1.9997344260246666,0.01913663861549357,0.009765625,0.2500945172111308,3.4000000000000004,0.24238399287081644,1.996360458331834,0.07128940966788717,0.03860294117647056,0.25121490108570665,H
P1,29/08/2004,Penafiel,Setubal,A,1.9,3.2,3.5,1.85,3.25,3.75,2.1,2.9,3.2,1.95,3.25,3.3,2004/5,€5.73m,€9.58m,1.9500000000000002,0.09354143466934856,1.99835710135287,0.04796996649710182,0.025641025641025772,0.25054110420165177,3.15,0.14577379737113255,1.9984278861542881,0.04627739599083573,0.021825396825396748,0.25059411148597327,3.4375,0.210282548015759,1.9973197180447615,0.06117310487731171,0.033636363636363464,0.25089676585150034,H
P1,30/08/2004,Academica,Sp Braga,D,2.3,3.25,2.62,2.3,3.2,2.75,2.4,2.9,2.7,2.35,3.1,2.65,2004/5,€13.73m,€33.05m,2.3375,0.04145780987944255,1.999773732504163,0.017735961445750827,0.009358288770053624,0.250077310253208,3.1125000000000003,0.13404756618454516,1.9986486115530808,0.04306749114362896,0.02309236947791149,0.2504923991487981,2.6799999999999997,0.049497474683058325,1.999754255267249,0.01846920697129042,0.010261194029850706,0.2500846265821811,H
P1,10/09/2004,Gil Vicente,Boavista,A,2.6,3.1,2.4,2.55,3.2,2.45,2.5,3.0,2.5,2.5,3.1,2.5,2004/5,€8.20m,€29.10m,2.5375,0.04145780987944252,1.9998079528435235,0.016338053154460106,0.008620689655172376,0.25006568995461415,3.1,0.07071067811865482,1.9996246239978286,0.022809896167308007,0.012096774193548487,0.25013027604430177,2.4625,0.04145780987944252,1.9997949596912334,0.01683565883429138,0.008883248730964466,0.2500720757902076,A
P1,11/09/2004,Benfica,Moreirense,H,1.25,5.0,8.0,1.25,5.0,9.0,1.3,4.2,8.0,1.22,5.0,9.5,2004/5,€120.05m,€6.15m,1.255,0.02872281323269017,1.999623549883256,0.022886703771067867,0.01195219123505975,0.2501281285150273,4.8,0.3464101615137754,1.9961304162267985,0.07216878364870322,0.03125,0.25154958677685946,8.625,0.649519052838329,1.9959263005261438,0.07530655685082076,0.03985507246376807,0.2513782293806075,H
P1,11/09/2004,Leiria,Estoril,H,1.615,3.3,5.0,1.75,3.4,4.05,1.85,3.1,3.6,1.61,3.5,4.5,2004/5,€17.83m,€6.63m,1.7062500000000003,0.10021071549490106,1.9975267384801856,0.05873155486880647,0.03131868131868143,0.25083078511624374,3.3249999999999997,0.14790199457749037,1.9985626328214345,0.044481802880448236,0.02443609022556381,0.25051637849796676,4.2875000000000005,0.520066101567868,1.9893684163633538,0.12129821610912372,0.06778425655976683,0.25373413407355905,H
