Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
E0,14/08/2004,Aston Villa,Southampton,H,1.9,3.1,4.33,1.9,3.25,4.0,1.85,3.1,3.6,1.8,3.1,4.0,2004/5,€84.18m,€85.48m,1.8624999999999998,0.041457809879442434,1.9996412345433234,0.022259226780908692,0.011744966442952975,0.25012670836488926,3.1374999999999997,0.06495190528383286,1.9996932687762368,0.020701802480902906,0.008964143426294813,0.25010219685385104,3.9825,0.2586865864323081,1.9969387634053257,0.0649558283571395,0.034369114877589535,0.251096381740454,H
E0,14/08/2004,Blackburn,West Brom,D,1.8,3.1,5.0,1.8,3.25,4.5,1.8,3.1,3.8,1.9,2.87,4.0,2004/5,€73.70m,€50.40m,1.825,0.04330127018922188,1.999597533766141,0.023726723391354454,0.010273972602739656,0.25013333333333326,3.0799999999999996,0.1358307770720612,1.9985871987317603,0.044100901646773126,0.02313311688311681,0.2505078180215099,4.325,0.465698400254929,1.9917116488510465,0.10767593069478126,0.05924855491329484,0.25274397545888294,H
E0,14/08/2004,Bolton,Charlton,H,2.25,3.2,3.1,2.1,3.2,3.3,2.2,3.0,2.9,2.15,3.2,2.9,2004/5,€63.58m,€57.80m,2.175,0.05590169943749474,1.9995233995051962,0.025701930775859652,0.014367816091953811,0.25016535700374126,3.1500000000000004,0.08660254037844395,1.9994488293074122,0.027492869961410774,0.011904761904761862,0.25020155872077404,3.0500000000000003,0.16583123951776998,1.9978849664299252,0.05437089820254753,0.0286885245901638,0.25070322333353745,H
E0,14/08/2004,Man City,Fulham,D,2.1,3.25,3.4,2.1,3.2,3.3,2.0,3.1,3.2,2.05,3.1,3.2,2004/5,€94.30m,€65.23m,2.0625,0.04145780987944255,1.9997075506200475,0.020100756305184268,0.01060606060606073,0.2501030927280903,3.1625,0.06495190528383288,1.9996961425408635,0.020538151868405654,0.010869565217391353,0.2501045639955163,3.2749999999999995,0.08291561975888487,1.9995394706875227,0.02531774649126256,0.013358778625954137,0.2501564306067181,H
E0,14/08/2004,Middlesbrough,Newcastle,D,2.3,3.25,3.0,2.4,3.2,2.7,2.3,3.1,2.6,2.37,3.0,2.7,2004/5,€95.43m,€125.90m,2.3425,0.04380353866983815,1.9997480163471866,0.018699482890005618,0.009871931696904923,0.25008687976977056,3.1374999999999997,0.09601432184835762,1.999322379339828,0.030602174294297253,0.01693227091633487,0.2502384950108044,2.75,0.14999999999999997,1.9978862984632848,0.054545454545454536,0.027272727272727337,0.25067901611328125,H
E0,14/08/2004,Norwich,Crystal Palace,D,2.1,3.25,3.4,2.1,3.2,3.3,1.9,3.1,3.5,2.0,3.1,3.3,2004/5,€30.95m,€38.53m,2.025,0.08291561975888508,1.998781899058905,0.04094598506611609,0.021604938271605034,0.25043748277843975,3.1625,0.06495190528383288,1.9996961425408635,0.020538151868405654,0.010869565217391353,0.2501045639955163,3.375,0.08291561975888508,1.9995663076193992,0.024567591039669653,0.012962962962963065,0.2501473995636871,H
E0,14/08/2004,Portsmouth,Birmingham,D,2.4,3.2,2.87,2.25,3.2,3.0,2.3,3.0,2.7,2.3,3.2,2.62,2004/5,€64.00m,€106.93m,2.3125,0.0544862367942584,1.9996015182098472,0.02356161591103066,0.012162162162162149,0.25013477062696704,3.1500000000000004,0.08660254037844395,1.9994488293074122,0.027492869961410774,0.011904761904761862,0.25020155872077404,2.7975000000000003,0.14771171246722442,1.9979934874543004,0.05280132706603196,0.029267202859696084,0.2506872692210378,H
E0,14/08/2004,Tottenham,Liverpool,D,3.1,3.2,2.25,3.0,3.2,2.25,2.7,3.0,2.3,2.75,3.1,2.3,2004/5,€127.20m,€222.13m,2.8875,0.16723860200324564,1.9975831698092141,0.05791813056389459,0.031385281385281294,0.25083085053615434,3.125,0.08291561975888508,1.9994898567400974,0.026532998322843223,0.014000000000000012,0.2501808504430148,2.275,0.02499999999999991,1.999912889501356,0.01098901098901095,0.005494505494505475,0.25003018959062906,A
E0,15/08/2004,Chelsea,Man United,H,2.1,3.25,3.4,2.15,3.1,3.2,2.0,3.1,3.2,2.0,3.2,3.2,2004/5,€331.48m,€293.23m,2.0625,0.06495190528383288,1.9992860700040758,0.031491832864888665,0.016666666666666607,0.2502447926446033,3.1625,0.06495190528383288,1.9996961425408633,0.020538151868405654,0.010869565217391353,0.2501045639955163,3.25,0.08660254037844375,1.9994929160860586,0.026646935501059617,0.011538461538461497,0.2501670750723992,H
E0,15/08/2004,Everton,Arsenal,A,6.0,3.4,1.61,5.0,3.4,1.7,4.0,3.2,1.75,5.5,3.1,1.61,2004/5,€74.28m,€247.00m,5.125,0.739509972887452,1.9845622787025285,0.1442946288560882,0.0792682926829269,0.2561813854512852,3.2750000000000004,0.1299038105676657,1.998861483773968,0.03966528566951624,0.020992366412213803,0.25040055507923104,1.6675,0.060156047077579766,1.9990637330931706,0.0360755904513222,0.019115442278860417,0.250319940016858,A
E0,21/08/2004,Birmingham,Chelsea,A,4.5,3.2,1.83,4.25,3.4,1.75,3.8,3.1,1.8,4.33,2.87,1.83,2004/5,€106.93m,€331.48m,4.22,0.2587469806587123,1.9972437933424039,0.06131445039305979,0.032286729857819996,0.251036780262062,3.1424999999999996,0.19083697230882693,1.9973307783014065,0.06072775570686617,0.033611774065234634,0.25094329892011186,1.8025,0.03269174207655508,1.9997616313185502,0.01813688880807494,0.00936199722607478,0.2500845139093688,A
E0,21/08/2004,Charlton,Portsmouth,H,2.0,3.2,3.75,1.9,3.25,3.75,1.9,3.1,3.5,1.83,3.2,3.75,2004/5,€57.80m,€64.00m,1.9075000000000002,0.06057020719792856,1.9992752369699367,0.03175371281673843,0.01671035386631714,0.25024698997982414,3.1875,0.0544862367942584,1.9997884208163645,0.017093721347218323,0.008823529411764675,0.2500747487103138,3.6875,0.10825317547305482,1.9993710881552347,0.029356793348625038,0.012711864406779627,0.250230840258541,H
E0,21/08/2004,Crystal Palace,Everton,A,2.3,3.25,3.0,2.25,3.1,3.0,2.1,3.0,3.1,2.2,3.2,2.8,2004/5,€38.53m,€74.28m,2.2125,0.0739509972887451,1.9991899439236362,0.03342417956553451,0.01836158192090398,0.25028822647516963,3.1375,0.09601432184835762,1.9993223793398283,0.03060217429429725,0.01693227091633487,0.2502384950108044,2.975,0.10897247358851693,1.9990239887187238,0.036629402886896444,0.01890756302521024,0.25035299278329487,H
E0,21/08/2004,Fulham,Bolton,H,2.25,3.2,3.1,2.2,3.2,3.0,2.0,3.1,3.2,2.15,3.2,2.9,2004/5,€65.23m,€63.58m,2.15,0.09354143466934856,1.9986200523616262,0.04350764403225514,0.023255813953488413,0.25050436871426845,3.1750000000000003,0.043301270189221974,1.9998651149454485,0.013638195335188022,0.0059055118110236116,0.25004800000000005,3.05,0.11180339887498958,1.9990303510960972,0.03665685209016052,0.020491803278688492,0.25033679983217627,H
