<<<<<<< HEAD
Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,PSH,PSD,PSA,B365CH,B365CD,B365CA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
I1,24/08/2019,Parma,Juventus,A,9.0,5.25,1.33,9.5,5.0,1.3,9.5,5.2,1.33,11.0,5.25,1.29,2019/20,€128.75m,€661.88m,10.96,5.28,1.33,8.5,5.0,1.33,9.75,0.75,1.9958202810822687,0.07692307692307693,0.03846153846153855,0.25130526623445637,5.175,0.10307764064044152,1.9997118164992485,0.019918384664819617,0.009661835748792313,0.2501033924620781,1.3125,0.01785357107135714,1.9998664516265985,0.013602720816272108,0.0071428571428571175,0.2500464076104698
I1,24/08/2019,Fiorentina,Napoli,A,4.75,3.75,1.72,4.6,3.6,1.75,4.5,3.8,1.77,4.8,3.6,1.75,2019/20,€302.23m,€548.28m,5.12,3.71,1.77,4.33,3.6,1.83,4.6625,0.11924240017711821,1.9995273658649244,0.025574777517880582,0.014075067024128751,0.250165207951285,3.6875,0.08926785535678552,1.9995776085997234,0.024208231961162178,0.012711864406779627,0.2501457296001783,1.7475,0.01785357107135714,1.9999245977148263,0.010216635806212956,0.005364806866952954,0.2500263230555301
I1,25/08/2019,Udinese,Milan,H,3.75,3.3,2.05,3.7,3.2,2.05,3.75,3.35,2.05,3.9,3.25,2.0,2019/20,€121.08m,€404.33m,3.95,3.4,2.08,4.0,3.4,1.95,3.775,0.07499999999999993,1.9997169058741526,0.019867549668874152,0.009933774834437026,0.2500953294322578,3.275,0.05590169943749469,1.9997898126627245,0.017069221202288456,0.009541984732824416,0.2500728803449477,2.0374999999999996,0.02165063509461089,1.9999182133505942,0.010626078574042156,0.004601226993864893,0.2500289340689017
I1,25/08/2019,Cagliari,Brescia,A,1.83,3.6,4.33,1.8,3.5,4.4,1.8,3.6,4.55,1.78,3.6,4.5,2019/20,€167.83m,€83.23m,1.83,3.77,4.57,1.75,3.6,4.75,1.8025,0.01785357107135714,1.999929324696188,0.00990489379825639,0.005201109570041718,0.25002433406884605,3.5749999999999997,0.043301270189221974,1.9998936741990645,0.01211224340957258,0.005244755244755428,0.2500377244605402,4.445,0.08558621384311833,1.9997323498650088,0.019254491303288712,0.010686164229471329,0.2500931398687069
I1,25/08/2019,Roma,Genoa,D,1.45,4.2,8.0,1.44,4.25,7.0,1.5,4.3,6.6,1.47,4.0,7.5,2019/20,€392.73m,€142.38m,1.5,4.11,8.22,1.7,3.75,5.0,1.4649999999999999,0.02291287847477922,1.9998239934577668,0.01564019008517353,0.008532423208191142,0.2500602333398936,4.1875,0.1138804197393037,1.9994623313735231,0.027195324116848645,0.014179104477612059,0.25019374276130657,7.275,0.5261891294962298,1.996231107712457,0.07232840267989413,0.04037800687285209,0.2512992663866183
I1,25/08/2019,Sampdoria,Lazio,A,3.5,3.4,2.05,3.4,3.3,2.1,3.45,3.45,2.1,3.6,3.25,2.1,2019/20,€135.28m,€303.88m,3.75,3.37,2.15,3.6,3.4,2.05,3.4875,0.07395099728874524,1.9996766092746685,0.021204587036199353,0.0116487455197134,0.2501104624305588,3.3499999999999996,0.07905694150420955,1.9995982186397718,0.02359908701618196,0.013059701492537323,0.2501393130470286,2.0875,0.02165063509461108,1.9999220921179726,0.01037156172196938,0.0044910179640720305,0.25002754820936635
I1,25/08/2019,Spal,Atalanta,A,4.75,3.75,1.72,5.0,3.5,1.72,4.75,3.65,1.77,5.0,3.5,1.73,2019/20,€73.63m,€291.43m,5.13,3.74,1.76,5.0,3.8,1.66,4.875,0.125,1.999525689293649,0.02564102564102564,0.012820512820512775,0.2501643655489809,3.6,0.10606601717798211,1.9993756370057583,0.029462782549439476,0.015625000000000222,0.2502132163999471,1.7349999999999999,0.020615528128088322,1.9998985653111636,0.011882148776996152,0.0057636887608067955,0.25003445263828916
I1,25/08/2019,Torino,Sassuolo,H,1.85,3.5,4.33,1.83,3.5,4.25,1.87,3.55,4.3,1.85,3.4,4.4,2019/20,€163.55m,€167.98m,1.93,3.52,4.42,1.85,3.5,4.33,1.85,0.014142135623730963,1.9999578459271188,0.007644397634449168,0.004054054054054346,0.2500146117651939,3.4875,0.0544862367942584,1.9998233151906541,0.015623293704446855,0.008064516129032029,0.2500623149039273,4.32,0.05431390245600123,1.9998860904524487,0.012572662605555838,0.00694444444444442,0.2500392830144816
I1,25/08/2019,Hellas Verona,Bologna,D,3.4,3.2,2.25,3.2,3.2,2.25,3.35,3.2,2.3,3.4,3.2,2.2,2019/20,€112.53m,€129.65m,3.51,3.3,2.26,4.0,3.4,2.0,3.3375,0.0819679815537749,1.999561391722322,0.024559694847573005,0.01217228464419473,0.2501582124357931,3.2,0.0,2.0,0.0,0.0,0.25,2.25,0.03535533905932725,1.999821874838928,0.015713484026367668,0.008333333333333304,0.2500617741386221
I1,26/08/2019,Inter,Lecce,H,1.22,6.25,13.0,1.22,6.0,12.5,1.25,6.0,11.5,1.22,6.0,15.0,2019/20,€606.05m,€52.33m,1.23,6.39,15.59,1.22,6.0,13.0,1.2275,0.012990381056766592,1.999919537877265,0.01058279515826199,0.0045824847250508505,0.2500273269395042,6.0625,0.10825317547305482,1.9997715556274227,0.017856193892462652,0.0077319587628865705,0.25007652280379555,13.0,1.2747548783981961,1.9931658693564445,0.09805806756909201,0.05288461538461542,0.25221171093745104
