Div,Date,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeTeam,AwayTeam,VCH,VCD,VCA,HomeValue,AwayValue,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
G1,27/08/2005,D,2.37,3.0,2.75,2.45,2.8,3.0,2.4,3.0,2.6,2.3,2.9,2.9,2.4,3.0,2.7,2005/6,Kallithea,Egaleo,2.4,3.1,2.7,€9.15m,€16.68m,2.3866666666666667,0.04533823502911822,2.584700982850949,0.01899646719097132,0.009776536312849166,0.16672854780325044,2.966666666666667,0.09428090415820643,2.584229914657003,0.03178008005332801,0.016853932584269954,0.1668409057153473,2.775,0.13462912017836254,2.5832767656455626,0.04851499826247299,0.026526526526526567,0.16704290299051805
G1,27/08/2005,H,2.37,3.0,2.75,2.5,3.1,2.65,2.5,2.9,2.6,2.4,3.0,2.7,2.25,3.0,2.9,2005/6,Xanthi,PAOK,2.3,3.0,2.9,€23.15m,€25.80m,2.386666666666667,0.09339283817414602,2.5838566187398047,0.039131077447267876,0.02188081936685285,0.16692380926037556,3.0,0.05773502691896263,2.584695285475703,0.019245008972987542,0.009259259259259217,0.1667285324054663,2.75,0.11547005383792511,2.5836944741528813,0.04198911048651822,0.023232323232323188,0.1669553149925375
G1,28/08/2005,H,2.75,3.0,2.37,3.0,2.9,2.35,2.6,3.0,2.4,2.75,3.0,2.38,3.1,2.9,2.2,2005/6,Akratitos,Iraklis,2.8,3.0,2.35,€9.95m,€17.15m,2.8333333333333335,0.16749792701868152,2.582455887764842,0.05911691541835818,0.03235294117647061,0.16723074549530476,2.966666666666667,0.0471404520791032,2.584779671469649,0.015890040026664,0.007490636704119785,0.1667097107438017,2.341666666666667,0.06568020165079336,2.584386712287507,0.028048484690730256,0.013167259786476843,0.16680978586808315
G1,28/08/2005,H,2.6,3.0,2.5,2.9,2.9,2.45,2.6,3.0,2.4,2.4,3.0,2.7,2.75,2.9,2.4,2005/6,Kalamaria,OFI Crete,2.6,3.0,2.5,€10.20m,€14.55m,2.6416666666666666,0.15388487760516156,2.5825204874710117,0.058252950512994915,0.03101997896950573,0.16722754289349379,2.966666666666667,0.0471404520791032,2.584779671469649,0.015890040026664,0.007490636704119785,0.1667097107438017,2.4916666666666667,0.10172129679778093,2.5837785085620655,0.04082460072151743,0.020624303232998603,0.1669205110228961
G1,28/08/2005,A,2.37,3.0,2.75,2.45,2.95,3.0,2.5,3.0,2.7,2.4,2.8,2.88,2.3,2.8,3.0,2005/6,Panathinaikos,Olympiakos,2.4,3.0,2.8,€60.68m,€62.55m,2.4033333333333338,0.06236095644623242,2.5844763134437807,0.025947693389555788,0.014331946370781307,0.16677971763244784,2.9250000000000003,0.09013878188659982,2.5842730938306753,0.030816677568068312,0.015669515669515827,0.16683099153020056,2.855,0.116010057035299,2.583772823139145,0.040633995458948864,0.022669780112862498,0.16693994860395195
G1,28/08/2005,D,2.0,3.2,3.2,2.05,3.1,3.4,2.0,3.1,3.2,2.0,3.1,3.3,2.1,3.0,3.2,2005/6,Panionios,Larisa,2.0,3.2,3.25,€14.50m,€11.90m,2.025,0.03818813079129867,2.5847077335315944,0.018858336193233915,0.008916323731138626,0.16672352988866065,3.116666666666667,0.06871842709362774,2.5846111725387866,0.022048693185121197,0.011586452762923166,0.1667486409715368,3.2583333333333333,0.07312470322826757,2.5846017974875815,0.022442364162128154,0.011508951406649676,0.16674707503628164
G1,29/08/2005,D,4.2,3.25,1.72,4.75,3.15,1.75,4.4,3.1,1.7,4.0,3.25,1.75,4.75,3.1,1.7,2005/6,Atromitos,AEK,4.5,3.4,1.7,€11.80m,€41.05m,4.433333333333334,0.2733536577809454,2.5822030411458554,0.061658719800213244,0.034461152882205776,0.16732536169723813,3.2083333333333335,0.10573814617041262,2.5841840730700834,0.03295734426090783,0.017748917748917764,0.1668408835296071,1.72,0.022360679774997918,2.584840817070247,0.013000395218022046,0.006782945736434259,0.1666945131539379
G1,10/09/2005,H,1.16,5.5,11.0,1.15,6.0,15.0,1.15,6.0,12.0,1.17,5.5,13.0,1.15,5.5,13.0,2005/6,Olympiakos,Panionios,1.15,6.0,10.0,€62.55m,€14.50m,1.155,0.00763762615825974,2.58493103555645,0.0066126633404846235,0.0031265031265032273,0.16667384792328688,5.75,0.25,2.583598464879728,0.043478260869565216,0.021739130434782622,0.16698172652804033,12.333333333333334,1.5986105077709065,2.572867279570383,0.12961706819764107,0.07207207207207214,0.1694877226862893
G1,10/09/2005,D,1.44,3.75,6.0,1.4,3.8,7.0,1.45,3.8,5.4,1.44,3.75,6.0,1.45,3.7,6.2,2005/6,PAOK,Atromitos,1.45,3.6,6.5,€25.80m,€11.80m,1.4383333333333335,0.017716909687891098,2.5848523494753888,0.012317666063423705,0.005600617999227314,0.16669294923917327,3.733333333333334,0.06871842709362758,2.584716674784845,0.018406721542935954,0.009672619047618985,0.16672516160886008,6.183333333333334,0.4913134324327891,2.5804109915350004,0.07945769796756696,0.043575920934411455,0.16772704676487146
G1,11/09/2005,H,1.4,3.75,7.0,1.4,3.8,8.0,1.5,3.7,5.0,1.44,3.75,6.0,1.4,3.9,6.5,2005/6,AEK,Iraklis,1.4,3.75,7.0,€41.05m,€17.15m,1.4233333333333331,0.03726779962499653,2.584473415040565,0.02618346577868609,0.012099921935987551,0.16677360175367645,3.775,0.06291528696058951,2.5847632256729827,0.016666301181613115,0.008462104488594552,0.16671148483240977,6.583333333333333,0.9316949906249123,2.570230303734387,0.14152328971517655,0.07805907172995777,0.1705379209367395
