Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI
F1,29/07/2005,Paris SG,Metz,H,1.5,3.4,6.5,1.45,3.8,7.0,1.6,3.2,5.0,1.53,3.4,5.5,1.5,3.3,6.5,2005/6,€84.98m,€37.00m,1.5,3.4,7.0,1.5133333333333334,0.045338235029118185,2.58431934203842,0.029959186142589106,0.01541850220264332,0.16681065884600685,3.416666666666666,0.18633899812498242,2.582858337275106,0.0545382433536534,0.026829268292682867,0.16710958715675636,6.25,0.75,2.5742800339203447,0.12,0.06444444444444444,0.16950653582302433
F1,30/07/2005,Lille,Stade Rennais FC,H,1.8,3.0,4.33,1.9,3.0,4.25,1.9,2.9,3.8,1.91,3.0,3.75,1.83,3.0,4.0,2005/6,€76.75m,€77.55m,1.85,3.0,4.35,1.865,0.041129875597510156,2.584610732717746,0.022053552599201155,0.01206434316353891,0.16674902631354754,2.983333333333333,0.037267799624996524,2.5848490834096345,0.012491999874300512,0.004655493482309009,0.1666938775510204,4.079999999999999,0.24426761280748344,2.58236413610487,0.059869512943010655,0.03295206971677547,0.16728105756307868
F1,30/07/2005,Nancy,Monaco,A,3.75,3.1,1.9,3.8,3.2,1.9,3.3,2.8,2.1,3.4,3.0,2.0,4.0,2.87,1.9,2005/6,€28.40m,€114.00m,3.75,3.25,2.0,3.6666666666666665,0.2409472049133494,2.581821015184286,0.0657128740672771,0.03560606060606056,0.16742495857748774,3.036666666666667,0.16397831834998464,2.5828523228795,0.053999446218436206,0.030552506403219853,0.16716221427454594,1.9666666666666666,0.07453559924999306,2.583934083767496,0.03789945724575919,0.01977401129943504,0.16689569914688204
F1,30/07/2005,Nantes,Lens,H,2.25,3.0,3.0,2.1,3.1,3.35,2.3,2.7,3.0,2.2,3.0,3.0,2.3,2.9,2.9,2005/6,€51.60m,€68.00m,2.2,3.0,3.2,2.2249999999999996,0.06922186552431718,2.584259963564443,0.031110950797445927,0.016853932584269732,0.1668342693194081,2.9499999999999997,0.12583057392117913,2.5836301227164835,0.04265443183768785,0.021657250470809825,0.16699938092446645,3.0749999999999997,0.15206906325745556,2.583219063817569,0.0494533539048636,0.025745257452574638,0.16704674141345796
F1,30/07/2005,Nice,Troyes,D,1.66,3.2,5.0,1.7,3.0,5.5,1.8,2.9,4.2,1.8,3.0,4.33,1.83,2.87,4.33,2005/6,€39.50m,€28.13m,1.75,3.0,5.0,1.7566666666666666,0.06018490028422601,2.584111585790612,0.03426085405174156,0.018975332068311174,0.1668682168719417,2.9949999999999997,0.10547511554864497,2.584076009107882,0.03521706696115025,0.01808569838619914,0.166862683089843,4.726666666666667,0.4724992651375825,2.5778234108002307,0.09996458359751394,0.05394922425952045,0.16823805774596845
F1,30/07/2005,Sochaux,Toulouse,A,2.0,3.0,3.5,2.05,3.0,3.55,2.0,2.9,3.4,2.1,3.0,3.2,2.15,2.9,3.2,2005/6,€51.00m,€46.80m,2.0,3.0,3.75,2.05,0.05773502691896256,2.5843936932062195,0.028163427765347592,0.01490514905149079,0.16679428911234603,2.966666666666667,0.04714045207910321,2.584779671469649,0.015890040026664002,0.007490636704119785,0.1667097107438016,3.433333333333333,0.195078331845327,2.5826395280007084,0.05681893160543505,0.03155339805825244,0.16719773528703313
F1,30/07/2005,St Etienne,Ajaccio,D,1.66,3.2,5.0,1.8,3.15,4.5,1.7,3.0,4.6,1.73,2.88,5.0,1.66,3.1,5.0,2005/6,€62.30m,€25.10m,1.65,3.1,5.5,1.7000000000000002,0.052599112793531716,2.5842779893866594,0.03094065458443042,0.01633986928104561,0.16681809090221822,3.0716666666666668,0.10494707660954115,2.5841134674103516,0.03416616710023043,0.018538614577681273,0.1668713124604193,4.933333333333334,0.3248931448269655,2.5818504871711023,0.06585671854600653,0.03490990990991008,0.16737067722009888
F1,30/07/2005,Strasbourg,Auxerre,D,2.2,2.87,3.2,2.25,3.0,3.15,2.0,2.9,3.4,2.25,2.88,3.0,2.25,2.87,3.0,2005/6,€44.85m,€62.75m,2.25,3.0,3.2,2.1999999999999997,0.09128709291752768,2.5836908149839193,0.041494133144330765,0.01767676767676743,0.1669975160669807,2.92,0.057445626465380276,2.5846844187740676,0.019673159748417903,0.010083713850837311,0.16672964159431333,3.158333333333333,0.1366768288904727,2.583618735114258,0.043274985400677375,0.023306948109058784,0.16696967833899962
F1,31/07/2005,Le Mans,Lyon,A,4.33,3.0,1.8,5.0,3.2,1.7,3.8,3.0,1.85,4.5,2.88,1.8,4.2,3.0,1.8,2005/6,€37.50m,€173.23m,4.5,3.0,1.8,4.388333333333334,0.36149765636246606,2.580063353714661,0.08237698208031888,0.04475250031649561,0.16781960259882617,3.013333333333333,0.09428090415820643,2.584262026920498,0.03128791067197116,0.01474926253687317,0.16682246961842442,1.791666666666667,0.044876373392787564,2.5845058201081783,0.025047278172718637,0.011627906976744123,0.16677721864198086
F1,06/08/2005,Ajaccio,Lille,D,2.62,3.0,2.5,2.8,2.8,2.6,2.6,2.8,2.6,2.62,2.88,2.5,2.6,2.8,2.6,2005/6,€25.10m,€76.75m,2.5,2.75,2.75,2.623333333333333,0.08900686615212453,2.5841396276100705,0.03392891975303349,0.016730199068191537,0.16684880083971024,2.838333333333333,0.08173466556826155,2.5843701247805817,0.028796711298271833,0.01458211000195711,0.16679710866892306,2.5916666666666663,0.08374896350934075,2.584214502441409,0.032314712608105756,0.016613076098606877,0.16683377955448786
