Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SC0,30/07/2005,Dundee United,Aberdeen,1,1,D,1,0,2.5,3.2,2.5,2.45,3.1,2.65,2.5,3.0,2.5,2.4,3.25,2.5,2.62,3.1,2.37,2005/6,€9.25m,€6.45m,2.6,3.2,2.4,2.5116666666666667,0.07754926749421232,2.5842754878467105,0.030875620767436888,0.017142225171422304,0.16682471178232267,3.141666666666667,0.08374896350934077,2.5844480711696374,0.026657495016235787,0.014588859416445749,0.16678771118326285,2.486666666666667,0.08975274678557504,2.584027817550214,0.03609359790304626,0.01899016979445914,0.16687728116029274,No Consensus
SC0,30/07/2005,Falkirk,Inverness C,0,2,A,0,0,2.37,3.2,2.62,2.4,3.1,2.7,2.2,3.1,2.8,2.38,3.2,2.6,2.37,3.1,2.62,2005/6,€8.08m,€8.05m,2.4,3.2,2.6,2.3533333333333335,0.06968181653455616,2.584319309168787,0.029609837054343974,0.012983947119924372,0.1668284005710629,3.15,0.050000000000000044,2.584780747681499,0.015873015873015886,0.007936507936508047,0.16670865877215088,2.6566666666666667,0.07249521056977173,2.584430662090387,0.027288034091507554,0.013592639063153694,0.1667836267655777,H
SC0,30/07/2005,Hibernian,Dunfermline,1,1,D,0,1,1.61,3.4,5.0,1.5,3.5,6.25,1.6,3.4,4.6,1.62,3.5,4.5,1.61,3.5,4.5,2005/6,€17.43m,€8.43m,1.6,3.4,5.0,1.5899999999999999,0.04082482904638634,2.5844799118141553,0.025675993110934808,0.011180992313068044,0.16678669106287974,3.4499999999999997,0.050000000000000044,2.5848109836502617,0.01449275362318842,0.007246376811594152,0.16670167331793037,4.9750000000000005,0.6081049799719344,2.5746934347752033,0.12223215677827826,0.059463986599665036,0.16854936336316792,H
SC0,30/07/2005,Kilmarnock,Hearts,2,4,A,1,1,2.62,3.2,2.37,2.3,3.1,2.8,2.5,3.0,2.5,2.38,3.2,2.6,2.62,3.1,2.37,2005/6,€6.33m,€30.53m,2.5,3.2,2.5,2.4866666666666664,0.11699952516522841,2.5833567971177285,0.047050747385480596,0.02591599642537981,0.1670483208164326,3.1333333333333333,0.07453559924999306,2.584552207463585,0.023787957207444595,0.012411347517730459,0.1667639616687629,2.523333333333333,0.1474976459322505,2.5825303892982765,0.058453492443428214,0.0312637604579479,0.16719411614234395,A
SC0,30/07/2005,Motherwell,Celtic,4,4,D,1,3,7.5,4.0,1.44,9.0,5.0,1.25,7.5,4.0,1.33,8.0,4.33,1.3,8.0,4.33,1.3,2005/6,€9.18m,€72.83m,8.0,4.5,1.3,8.0,0.5,2.5821982518230606,0.0625,0.031249999999999917,0.16724990128130063,4.359999999999999,0.3391656429140979,2.5806697864492163,0.07779028507204082,0.04141182466870555,0.1675850738623268,1.32,0.058594652770823125,2.583563379179093,0.04438988846274479,0.02188552188552198,0.166966252210009,A
SC0,31/07/2005,Rangers,Livingston,3,0,H,1,0,1.14,6.5,21.0,1.08,9.0,13.0,1.12,6.5,13.0,1.1,6.5,17.0,1.12,6.0,15.0,2005/6,€77.98m,€10.08m,1.14,6.0,13.0,1.1166666666666665,0.021343747458109436,2.5846981144618044,0.01911380369382935,0.01044776119402982,0.16672875905080534,6.75,1.0307764064044151,2.569295693615835,0.15270761576361705,0.06790123456790123,0.16923282306870774,15.333333333333334,2.924988129130708,2.560018019956577,0.19076009537808963,0.09782608695652165,0.17118733365284375,H
SC0,06/08/2005,Aberdeen,Kilmarnock,1,2,A,1,1,1.66,3.6,4.33,1.65,3.5,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.66,3.3,4.5,2005/6,€6.45m,€6.33m,1.65,3.4,4.5,1.6566666666666665,0.007453559924999306,2.58494791268701,0.004499130739436201,0.0023474178403756485,0.16667002156737692,3.416666666666666,0.10671873729054758,2.584262095955797,0.031234752377721248,0.01707317073170747,0.16682476734878418,4.426666666666667,0.07695597587076793,2.584744180576144,0.017384633103336128,0.009161646586345468,0.1667174604070232,H
SC0,06/08/2005,Celtic,Dundee United,2,0,H,1,0,1.22,5.5,9.5,1.25,5.0,9.0,1.22,4.8,9.5,1.29,4.5,8.0,1.2,5.5,9.0,2005/6,€72.83m,€9.25m,1.22,5.5,8.5,1.2333333333333332,0.0292498812913071,2.584559719227935,0.023716119965924678,0.012162162162162288,0.16675644356883385,5.133333333333334,0.39440531887330776,2.580654230338551,0.07683220497531969,0.04112554112554126,0.1677216834337369,8.916666666666666,0.5335936864527374,2.5823509689802573,0.059842282592830365,0.03271028037383186,0.1673052987844032,H
SC0,06/08/2005,Inverness C,Rangers,0,1,A,0,0,8.0,5.5,1.25,10.5,5.5,1.2,9.0,4.5,1.25,10.0,4.5,1.25,10.0,4.5,1.25,2005/6,€8.05m,€77.98m,8.5,5.0,1.25,9.333333333333334,0.8975274678557508,2.5782361006195162,0.09616365727025901,0.05357142857142852,0.16828692255413244,4.916666666666667,0.4487637339278754,2.5790031917713905,0.09127397978194075,0.04802259887005658,0.16798110445129297,1.2416666666666667,0.018633899812498265,2.5847985624813004,0.015007167634226791,0.005592841163310963,0.16670630202140313,A
SC0,06/08/2005,Livingston,Falkirk,0,2,A,0,1,2.0,3.4,3.25,1.9,3.2,3.65,2.0,3.1,3.2,1.91,3.25,3.4,2.0,3.2,3.2,2005/6,€10.08m,€8.08m,1.9,3.25,3.5,1.9516666666666669,0.04844813951249549,2.5845178872429546,0.024823982670791882,0.012667235980643149,0.166769445712857,3.233333333333333,0.089752746785575,2.5844090789327243,0.027758581480074745,0.014604810996563439,0.16679200296217825,3.3666666666666667,0.16749792701868144,2.5831907277115436,0.04975185951049944,0.02722772277227717,0.16706063926474715,H
