Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
I1,27/08/2005,Fiorentina,Sampdoria,H,2.2,2.87,3.25,2.25,2.9,3.2,2.2,2.8,3.1,2.2,2.8,3.2,2.25,2.87,3.0,2005/6,€138.68m,€61.50m,2.2,2.9,3.1,2.216666666666667,0.0235702260395515,2.584881143960456,0.010633184679496917,0.0050125313283210515,0.16668523056359985,2.856666666666667,0.041899350299921846,2.584806973103347,0.014667217141162838,0.007779074290159477,0.1667030010363063,3.141666666666666,0.08374896350934079,2.584448071169637,0.026657495016235797,0.014588859416445749,0.16678771118326285,H
I1,27/08/2005,Livorno,Lecce,H,1.9,2.9,4.0,1.9,3.2,3.8,1.9,3.0,3.6,1.91,3.0,3.75,1.9,2.87,4.0,2005/6,€56.38m,€52.15m,1.9,3.0,3.75,1.9016666666666666,0.003726779962499653,2.5849597335461505,0.0019597440644169954,0.0007303534910899911,0.16666730230163423,2.9949999999999997,0.10547511554864497,2.584076009107882,0.03521706696115025,0.01808569838619914,0.16686268308984298,3.8166666666666664,0.14337208778404376,2.583945294904981,0.03756473915739138,0.020378457059679583,0.1669010899059235,H
I1,28/08/2005,Ascoli,Milan,D,7.5,3.75,1.4,9.0,4.5,1.3,6.5,3.7,1.4,8.0,3.75,1.36,8.0,3.75,1.36,2005/6,€24.55m,€269.75m,8.5,3.75,1.35,7.916666666666667,0.7861650943380504,2.5777019915185337,0.09930506454796426,0.05438596491228079,0.1685522158144862,3.8666666666666667,0.28382310609877337,2.5812311354832245,0.07340252743933794,0.028735632183907983,0.16737021042210254,1.3616666666666666,0.033870669054835906,2.5845141055260457,0.024874420358508623,0.013259893920848725,0.16677278115663993,A
I1,28/08/2005,Inter,Treviso,H,1.16,5.5,13.0,1.16,5.9,15.0,1.17,5.5,11.0,1.17,5.5,12.0,1.16,5.0,15.0,2005/6,€234.93m,€23.53m,1.17,5.5,12.0,1.1649999999999998,0.0050000000000000044,2.5849492135039482,0.004291845493562236,0.002145922746781187,0.16666973665629015,5.483333333333333,0.26087459737497554,2.5833179792777647,0.047575914414889155,0.022796352583586504,0.16706305405581862,13.0,1.5275252316519468,2.5750780903185593,0.1175019408963036,0.06410256410256401,0.1688669874671337,H
I1,28/08/2005,Juventus,Chievo,H,1.25,5.0,13.0,1.22,5.5,10.0,1.2,5.0,10.0,1.2,5.0,11.0,1.22,5.0,9.5,2005/6,€308.90m,€49.55m,1.22,5.0,10.0,1.2183333333333333,0.016749792701868167,2.584826578063488,0.013748119864734475,0.007067943456452591,0.16669759916396598,5.083333333333333,0.18633899812498245,2.5840135252779945,0.03665685209016049,0.013661202185792393,0.16686390532544387,10.583333333333334,1.16963907063485,2.576517468422884,0.11051707754030078,0.05380577427821512,0.16825675628350295,H
I1,28/08/2005,Lazio,Messina,H,1.9,3.1,3.75,1.9,3.1,4.0,1.9,3.0,3.6,1.83,3.0,4.0,1.83,3.0,4.0,2005/6,€83.05m,€39.98m,1.8,3.0,4.35,1.86,0.04123105625617653,2.584607517115979,0.022167234546331467,0.011648745519713316,0.16674927336509823,3.033333333333333,0.0471404520791032,2.5847889109843645,0.01554080837772633,0.007326007326007217,0.1667060491493384,3.9499999999999997,0.23452078799117135,2.5824250446728505,0.05937235139016996,0.03164556962025325,0.16724996453777438,H
I1,28/08/2005,Parma,Palermo,D,2.4,2.87,2.87,2.55,2.9,2.75,2.4,2.8,2.8,2.38,2.88,2.8,2.3,2.8,3.0,2005/6,€57.05m,€94.20m,2.4,2.9,2.8,2.405,0.07388053419767165,2.5842868425496603,0.030719556838948715,0.015130515130515138,0.16681738053390482,2.858333333333334,0.042589774463935505,2.5848019280752466,0.014900212640443906,0.007871720116618214,0.1667042538848538,2.8366666666666673,0.08096638534327419,2.584380905321824,0.02854279154286986,0.014296905601253768,0.16679432603882816,H
I1,28/08/2005,Reggina,Roma,A,3.5,3.0,2.0,3.9,3.15,1.9,3.6,2.8,2.0,3.4,2.88,2.1,3.6,2.87,2.0,2005/6,€43.65m,€193.20m,3.5,3.0,2.0,3.5833333333333335,0.15723301886761007,2.5835936196911655,0.0438789820095656,0.022480620155038628,0.16696159247127956,2.9499999999999997,0.11460075625114058,2.58387959231193,0.03884771398343749,0.021280602636534557,0.1669106947064631,2.0,0.05773502691896263,2.58436112706876,0.028867513459481315,0.013888888888888978,0.16680625193352305,A
I1,28/08/2005,Siena,Cagliari,H,2.2,3.0,3.1,2.2,2.9,3.3,2.1,2.8,3.3,2.2,2.8,3.2,2.2,2.87,3.1,2005/6,€34.98m,€35.65m,2.25,2.8,3.1,2.191666666666667,0.04487637339278752,2.584657825901779,0.020475911814199627,0.009505703422053063,0.16673976600070398,2.861666666666667,0.07312470322826775,2.5844947867611383,0.025553186917274692,0.013298388662395771,0.16677103532416107,3.1833333333333336,0.08975274678557495,2.584390771786339,0.028194580142065426,0.014834205933682482,0.16679676769001295,H
I1,28/08/2005,Udinese,Empoli,H,1.57,3.25,6.0,1.6,3.4,5.5,1.55,3.4,5.0,1.57,3.2,6.0,1.53,3.5,5.5,2005/6,€89.60m,€37.00m,1.55,3.3,5.5,1.5616666666666665,0.02192157739660986,2.584820588885507,0.01403729609174591,0.007648523657061729,0.16669920385136464,3.341666666666667,0.10172129679778082,2.5842946426127726,0.0304402883185379,0.01704073150457211,0.16682040779034624,5.583333333333333,0.3435921354681384,2.582214199693411,0.06153888993459195,0.03233830845771149,0.1673242014897109,H
