Club,Value of Club
Manchester City,€22.16m
Arsenal FC,€11.75bn
Chelsea FC,€52.63m
Liverpool FC,€1.26bn
Manchester United,€50.54m
Tottenham Hotspur,€1.16bn
Newcastle United,€32.11m
Aston Villa,€963.20m
Brighton & Hove Albion,€38.79m
West Ham United,€931.00m
Crystal Palace,€30.51m
Nottingham Forest,€854.15m
Brentford FC,€30.32m
Wolverhampton Wanderers,€788.30m
AFC Bournemouth,€21.21m
Everton FC,€657.65m
Fulham FC,€24.62m
Southampton FC,€615.45m
Leicester City,€20.43m
Ipswich Town,€572.10m
Real Madrid,€10.76m
FC Barcelona,€5.48bn
Atlético de Madrid,€61.77m
Real Sociedad,€1.36bn
Athletic Bilbao,€35.00m
Valencia CF,€945.00m
Villarreal CF,€20.44m
Girona FC,€511.00m
Real Betis Balompié,€15.85m
Sevilla FC,€443.70m
UD Las Palmas,€13.03m
CA Osasuna,€338.70m
RCD Mallorca,€10.12m
Deportivo Alavés,€253.00m
Celta de Vigo,€9.61m
RCD Espanyol Barcelona,€230.70m
Getafe CF,€8.66m
Rayo Vallecano,€216.50m
CD Leganés,€7.70m
Real Valladolid CF,€192.40m
Bayern Munich,€8.90m
Bayer 04 Leverkusen,€4.49bn
RB Leipzig,€33.56m
Borussia Dortmund,€939.70m
VfB Stuttgart,€25.37m
Eintracht Frankfurt,€634.25m
VfL Wolfsburg,€21.58m
SC Freiburg,€517.90m
TSG 1899 Hoffenheim,€19.79m
Borussia Mönchengladbach,€474.90m
1.FC Union Berlin,€10.12m
SV Werder Bremen,€313.73m
FC Augsburg,€10.76m
1.FSV Mainz 05,€279.70m
1.FC Heidenheim 1846,€6.72m
VfL Bochum,€215.00m
FC St. Pauli,€6.04m
Holstein Kiel,€169.05m
Inter Milan,€8.51m
Juventus FC,€4.95bn
AC Milan,€26.05m
Atalanta BC,€677.30m
SSC Napoli,€22.01m
AS Roma,€594.20m
Bologna FC 1909,€21.62m
ACF Fiorentina,€562.00m
SS Lazio,€16.58m
Torino FC,€447.60m
Genoa CFC,€16.50m
Udinese Calcio,€429.03m
Parma Calcio 1913,€12.79m
Como 1907,€332.50m
AC Monza,€8.93m
US Lecce,€276.80m
Hellas Verona,€9.93m
Cagliari Calcio,€258.30m
FC Empoli,€7.62m
Venezia FC,€236.35m
Paris Saint-Germain,€7.27m
AS Monaco,€3.58bn
Olympique Marseille,€34.33m
LOSC Lille,€892.50m
Olympique Lyon,€14.93m
OGC Nice,€358.20m
Stade Rennais FC,€9.85m
RC Strasbourg Alsace,€305.30m
RC Lens,€9.09m
Stade Reims,€263.70m
Stade Brestois 29,€8.29m
FC Nantes,€240.30m
Montpellier HSC,€7.94m
FC Toulouse,€214.40m
Le Havre AC,€7.82m
AJ Auxerre,€203.25m
AS Saint-Étienne,€5.69m
Angers SCO,€182.15m
Legia Warszawa,€473k
Lech Poznan,€245.55m
Raków Częstochowa,€800k
Jagiellonia Bialystok,€26.40m
Slask Wroclaw,€1.03m
Cracovia,€25.70m
Zaglebie Lubin,€821k
Pogon Szczecin,€25.45m
Lechia Gdansk,€591k
Górnik Zabrze,€15.95m
Piast Gliwice,€454k
Widzew Lodz,€15.45m
Stal Mielec,€541k
Korona Kielce,€15.15m
Motor Lublin,€458k
Radomiak Radom,€13.75m
GKS Katowice,€442k
Puszcza Niepolomice,€12.83m
