Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Season,HomeValue,AwayValue,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFH,BFD,BFA,1XBH,1XBD,1XBA,BFEH,BFED,BFEA,BFE>2.5,BFE<2.5,BFEAHH,BFEAHA,BFCH,BFCD,BFCA,1XBCH,1XBCD,1XBCA,BFECH,BFECD,BFECA,BFEC>2.5,BFEC<2.5,BFECAHH,BFECAHA,HomeMatchday,AwayMatchday
P1,28/08/2004,Belenenses,Maritimo,3.0,0.0,H,2.0,0.0,H,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.0,2.9,,,,2.25,3.2,2.75,2.15,3.2,2.9,2.1,1.6,2.25,1.49,-0.5,,,,2004/5,24.35,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
P1,28/08/2004,Sp Lisbon,Gil Vicente,3.0,2.0,H,2.0,0.0,H,1.25,4.5,10.0,1.35,4.0,8.0,1.35,4.0,8.0,1.3,4.2,8.0,,,,1.29,4.5,8.0,1.25,4.5,10.0,,,1.35,2.67,-0.5,,,,2004/5,89.4,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
P1,29/08/2004,Beira Mar,Benfica,2.0,3.0,A,0.0,2.0,A,4.33,3.4,1.66,4.5,3.5,1.65,4.5,3.3,1.7,4.4,3.3,1.65,,,,4.5,3.5,1.62,4.5,3.3,1.66,1.83,1.83,1.9,1.7,0.5,,,,2004/5,8.1,120.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
P1,29/08/2004,Boavista,Nacional,1.0,0.0,H,0.0,0.0,D,1.72,3.4,4.0,2.0,3.2,3.35,1.9,3.2,3.65,1.8,3.1,3.8,,,,1.91,3.2,3.5,1.8,3.3,3.75,2.0,1.65,1.9,1.71,-0.5,,,,2004/5,29.1,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
P1,29/08/2004,Estoril,Rio Ave,0.0,0.0,D,0.0,0.0,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,,,,2.25,3.2,2.75,2.15,3.2,2.9,1.85,1.79,2.3,1.48,-0.5,,,,2004/5,6.63,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
P1,29/08/2004,Moreirense,Guimaraes,0.0,0.0,D,0.0,0.0,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.0,3.1,3.2,,,,1.91,3.25,3.4,2.0,3.25,3.15,2.1,1.6,1.85,1.74,-0.5,,,,2004/5,6.15,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
P1,29/08/2004,Penafiel,Setubal,1.0,4.0,A,1.0,1.0,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.1,2.9,3.2,,,,1.91,3.25,3.4,1.95,3.25,3.3,1.85,1.79,1.85,1.74,-0.5,,,,2004/5,5.73,9.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
P1,30/08/2004,Academica,Sp Braga,2.0,2.0,D,1.0,2.0,A,2.3,3.25,2.62,2.3,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,,,,2.38,3.1,2.62,2.35,3.1,2.65,1.9,1.75,2.3,1.48,-0.5,,,,2004/5,13.73,33.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
P1,05/09/2004,Guimaraes,Academica,2.0,1.0,H,2.0,0.0,H,,,,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,,,,1.9,3.25,3.4,1.8,3.25,3.8,1.95,1.71,1.8,1.79,-0.5,,,,2004/5,20.4,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
P1,10/09/2004,Gil Vicente,Boavista,0.0,1.0,A,0.0,1.0,A,2.6,3.1,2.4,2.55,3.2,2.45,2.5,3.2,2.5,2.5,3.0,2.5,,,,2.5,3.1,2.5,2.5,3.1,2.5,2.0,1.65,1.9,1.9,0.0,,,,2004/5,8.2,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
