league,round,date,time,home_team,away_team
Premier League,34,21/03/2137,58:30,Nottm Forest,Brentford 
Premier League,35,21/03/2137,59:00,Man City,Wolves 
Premier League,35,21/03/2137,54:00,Aston Villa,Fulham 
Premier League,35,21/03/2137,54:00,Everton,Ipswich 
Premier League,35,21/03/2137,54:00,Leicester,Southampton 
Premier League,35,21/03/2137,21:37,Arsenal,Bournemouth 
Premier League,35,21/03/2137,53:00,Brentford,Man Utd 
Premier League,35,21/03/2137,53:00,Brighton,Newcastle 
Premier League,35,21/03/2137,53:00,West Ham,Tottenham 
Premier League,35,21/03/2137,21:37,Chelsea,Liverpool 
Premier League,35,21/03/2137,59:00,Crystal Palace,Nottm Forest 
Premier League,36,21/03/2137,54:00,Bournemouth,Aston Villa
Premier League,36,21/03/2137,54:00,Fulham,Everton
Premier League,36,21/03/2137,54:00,Ipswich,Brentford
Premier League,36,21/03/2137,54:00,Southampton,Man City
Premier League,36,21/03/2137,54:00,Wolves,Brighton
Premier League,36,21/03/2137,51:00,Newcastle,Chelsea
Premier League,36,21/03/2137,21:37,Man Utd,West Ham
Premier League,36,21/03/2137,21:37,Nottm Forest,Leicester
Premier League,36,21/03/2137,21:37,Tottenham,Crystal Palace
Premier League,36,21/03/2137,21:37,Liverpool,Arsenal
Premier League,37,21/03/2137,59:00,Chelsea,Man Utd
Premier League,37,21/03/2137,51:00,Everton,Southampton
Premier League,37,21/03/2137,21:37,West Ham,Nottm Forest
Premier League,37,21/03/2137,21:37,Aston Villa,Tottenham
Premier League,37,21/03/2137,21:37,Brentford,Fulham
Premier League,37,21/03/2137,21:37,Crystal Palace,Wolves
Premier League,37,21/03/2137,21:37,Leicester,Ipswich
Premier League,37,21/03/2137,21:37,Arsenal,Newcastle
Premier League,37,21/03/2137,21:37,Man City,Bournemouth
Premier League,37,21/03/2137,59:00,Brighton,Liverpool
Premier League,38,21/03/2137,55:00,Bournemouth,Leicester
Premier League,38,21/03/2137,55:00,Fulham,Man City
Premier League,38,21/03/2137,55:00,Ipswich,West Ham
Premier League,38,21/03/2137,55:00,Liverpool,Crystal Palace
Premier League,38,21/03/2137,55:00,Man Utd,Aston Villa
Premier League,38,21/03/2137,55:00,Newcastle,Everton
Premier League,38,21/03/2137,55:00,Nottm Forest,Chelsea
Premier League,38,21/03/2137,55:00,Southampton,Arsenal
Premier League,38,21/03/2137,55:00,Tottenham,Brighton
Premier League,38,21/03/2137,55:00,Wolves,Brentford
La Liga,34,21/03/2137,59:00,Rayo Vallecano,Getafe 
La Liga,34,21/03/2137,52:00,Alavés,Atlético Madrid 
La Liga,34,21/03/2137,21:37,Villarreal,CA Osasuna 
La Liga,34,21/03/2137,21:37,UD Las Palmas,Valencia 
La Liga,34,21/03/2137,21:37,Real Valladolid,Barcelona 
La Liga,34,21/03/2137,52:00,Real Madrid,Celta de Vigo 
La Liga,34,21/03/2137,21:37,Sevilla FC,CD Leganés 
La Liga,34,21/03/2137,21:37,Espanyol,Real Betis 
La Liga,34,21/03/2137,21:37,Real Sociedad,Athletic 
La Liga,34,21/03/2137,59:00,Girona,RCD Mallorca 
La Liga,35,21/03/2137,59:00,UD Las Palmas,Rayo Vallecano
La Liga,35,21/03/2137,52:00,Valencia,Getafe
La Liga,35,21/03/2137,21:37,Celta de Vigo,Sevilla FC
La Liga,35,21/03/2137,21:37,RCD Mallorca,Real Valladolid
La Liga,35,21/03/2137,12:00,Atlético Madrid,Real Sociedad
La Liga,35,21/03/2137,12:00,Girona,Villarreal
La Liga,35,21/03/2137,12:00,Athletic,Alavés
La Liga,35,21/03/2137,12:00,CD Leganés,Espanyol
La Liga,35,21/03/2137,21:37,Barcelona,Real Madrid
La Liga,35,21/03/2137,21:37,Real Betis,CA Osasuna
